,Instituição financeira,Código,TCB,TD,TC,Segmento,Cidade,UF,Data,Exportações,Unnamed: 10,Importações,Unnamed: 12,Total Primário Comercial,Unnamed: 14,Transferências do Exterior,Unnamed: 16,Transferências para o Exterior,Unnamed: 18,Total Primário Financeiro,Unnamed: 20,Total Primário,Unnamed: 22,Interbancário Compra,Unnamed: 24,Interbancário Venda,Unnamed: 26,Total Interbancário,Unnamed: 28,Total,Unnamed: 30,Unnamed: 31,SR
0,,,,,,,,,,N. Operações,Valor,N. Operações,Valor,N. Operações,Valor,N. Operações,Valor,N. Operações,Valor,N. Operações,Valor,N. Operações,Valor,N. Operações,Valor,N. Operações,Valor,N. Operações,Valor,N. Operações,Valor Total,,
1,SANTANDER,30.379,b1,C,3.0,199.0,SAO PAULO,SP,12/2014,10.964,6.127.456,54.730,6.733.055,65.694,12.860.511,48.684,13.366.871,89.524,15.374.445,138.208,28.741.316,203.902,41.601.827,1.780,39.866.377,1.843,39.069.434,3.623,78.935.811,207.525,120.537.638,,
2,ITAU,10.069,b1,C,2.0,199.0,SAO PAULO,SP,12/2014,21.047,5.327.088,55.180,5.351.991,76.227,10.679.079,131.046,12.981.332,100.333,13.967.913,231.379,26.949.245,307.606,37.628.324,665,26.310.394,693,26.498.273,1.358,52.808.667,308.964,90.436.991,,
3,CITIBANK,30.403,b1,C,3.0,199.0,SAO PAULO,SP,12/2014,5.319,3.772.244,18.912,5.234.520,24.231,9.006.765,27.809,26.246.909,50.880,24.620.275,78.689,50.867.184,102.920,59.873.949,1.022,8.492.653,1.060,9.719.339,2.082,18.211.992,105.002,78.085.941,,
4,HSBC,51.152,b1,C,3.0,199.0,CURITIBA,PR,12/2014,7.691,3.700.558,30.656,4.693.659,38.347,8.394.216,34.878,11.950.708,69.604,14.150.732,104.482,26.101.440,142.829,34.495.657,1.063,16.387.352,1.010,15.017.739,2.073,31.405.091,144.902,65.900.748,,
5,BB,49.906,b1,C,1.0,199.0,BRASILIA,DF,12/2014,29.865,14.258.838,58.131,12.384.353,87.996,26.643.191,71.162,11.587.221,83.617,11.963.481,154.779,23.550.703,242.775,50.193.893,919,6.487.239,836,6.043.744,1.755,12.530.982,244.530,62.724.876,,
6,JP MORGAN CHASE,20.107,b1,C,3.0,199.0,SAO PAULO,SP,12/2014,411,1.568.277,7.253,1.968.969,7.664,3.537.246,2.645,11.301.315,6.958,16.298.544,9.603,27.599.858,17.267,31.137.104,898,10.190.212,1.023,8.349.990,1.921,18.540.202,19.188,49.677.306,,
7,BTG PACTUAL,49.944,b1,C,2.0,199.0,RIO DE JANEIRO,RJ,12/2014,82,237.037,132,259.194,214,496.231,1.210,2.819.421,1.438,3.530.597,2.648,6.350.018,2.862,6.846.249,405,15.663.721,495,16.928.507,900,32.592.228,3.762,39.438.477,,
8,BRADESCO,10.045,b1,C,2.0,199.0,OSASCO,SP,12/2014,17.630,7.698.419,35.173,5.772.289,52.803,13.470.708,69.923,3.423.080,58.106,3.749.653,128.029,7.172.733,180.832,20.643.441,1.662,6.388.149,1.718,7.014.011,3.380,13.402.160,184.212,34.045.601,,
9,BNP PARIBAS,51.516,b1,C,3.0,199.0,SAO PAULO,SP,12/2014,763,1.628.228,2.822,1.400.918,3.585,3.029.145,1.839,5.313.585,5.173,5.902.832,7.012,11.216.417,10.597,14.245.562,867,8.046.133,809,8.758.326,1.676,16.804.459,12.273,31.050.021,,
10,DEUTSCHE,51.183,b1,C,3.0,199.0,SAO PAULO,SP,12/2014,541,1.538.897,2.759,1.563.663,3.300,3.102.560,1.353,3.416.018,2.791,3.745.790,4.144,7.161.808,7.444,10.264.368,682,8.606.508,674,8.588.624,1.356,17.195.132,8.800,27.459.500,,
11,Banco Central do Brasil,38.166,,,,0.0,BRASILIA,DF,12/2014,0,0,0,0,0,0,28,131.665,0,0,28,131.665,28,131.665,49,10.300.000,49,10.300.000,98,20.600.000,126,20.731.665,,
12,BOFA MERRILL LYNCH,51.255,b1,C,3.0,199.0,SAO PAULO,SP,12/2014,140,285.053,279,124.531,419,409.583,634,6.234.477,846,5.210.634,1.480,11.445.111,1.899,11.854.695,125,2.912.843,126,4.462.179,251,7.375.021,2.150,19.229.716,,
13,SOCIETE GENERALE,31.859,b1,C,3.0,199.0,SAO PAULO,SP,12/2014,41,107.228,426,33.781,467,141.009,487,3.737.731,867,4.328.089,1.354,8.065.820,1.821,8.206.829,410,3.996.094,405,3.353.103,815,7.349.198,2.636,15.556.027,,
14,MORGAN STANLEY,51.413,b1,C,3.0,199.0,SAO PAULO,SP,12/2014,0,0,0,0,0,0,1.526,4.253.712,1.370,5.178.706,2.896,9.432.417,2.896,9.432.417,122,3.371.363,116,2.595.620,238,5.966.983,3.134,15.399.401,,
15,CREDIT SUISSE,30.771,b1,C,3.0,199.0,SAO PAULO,SP,12/2014,1,5.518,0,0,1,5.518,583,2.567.797,707,2.486.969,1.290,5.054.765,1.291,5.060.284,128,3.586.638,164,4.059.648,292,7.646.286,1.583,12.706.570,,
16,BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.,60.498.557,b1,I,3.0,8.0,SAO PAULO,SP,12/2014,436,463.186,1.768,360.621,2.204,823.807,1.435,1.585.272,1.498,470.505,2.933,2.055.776,5.137,2.879.583,1.113,4.277.493,1.279,5.505.619,2.392,9.783.111,7.529,12.662.694,,
17,VOTORANTIM,51.011,b1,C,2.0,199.0,SAO PAULO,SP,12/2014,490,1.135.540,3.928,1.452.417,4.418,2.587.957,630,566.879,2.311,1.231.607,2.941,1.798.486,7.359,4.386.443,457,4.231.085,1.517,3.343.900,1.974,7.574.985,9.333,11.961.428,,
18,SOCOPA,50.328,b1,C,2.0,199.0,SAO PAULO,SP,12/2014,219,89.278,2.106,113.049,2.325,202.327,2.533,673.242,8.304,990.435,10.837,1.663.677,13.162,1.866.003,5.465,4.920.740,22.049,4.610.317,27.514,9.531.057,40.676,11.397.060,,
19,BARCLAYS,51.705,b1,C,3.0,199.0,SAO PAULO,SP,12/2014,0,0,4,25.516,4,25.516,535,1.821.036,399,2.086.728,934,3.907.764,938,3.933.279,465,2.222.181,677,1.956.903,1.142,4.179.084,2.080,8.112.363,,
20,GOLDMAN SACHS,51.585,b2,C,3.0,198.0,SAO PAULO,SP,12/2014,0,0,0,0,0,0,484,2.364.266,420,2.615.291,904,4.979.558,904,4.979.558,39,1.408.643,33,1.156.604,72,2.565.247,976,7.544.804,,
21,SAFRA,10.083,b1,C,2.0,199.0,SAO PAULO,SP,12/2014,570,309.344,4.598,538.751,5.168,848.095,2.828,1.358.400,9.045,1.061.417,11.873,2.419.816,17.041,3.267.912,312,1.253.385,309,1.535.612,621,2.788.997,17.662,6.056.909,,
