,Instituição financeira,Código,TCB,TD,TC,Cidade,UF,Data,Instituição Sujeita à Apuração da Exposição Total,Instituição Sujeita à Apuração do Patrimônio de Referência,Instituição Utiliza Metodologia Simplificada,Exposição Total ou Ativo Total (R$ mil),Total de Ativos Consolidados no Exterior (US$ mil),Data da Última Alteração de Segmento,SR,Unnamed: 15
0,BRADESCO - PRUDENCIAL,1000080075.0,b1,C,2.0,OSASCO,SP,03/2017,Sim,Sim,Não,1.083.956.147,32.599.528,01/2017,S1,
1,ITAU - PRUDENCIAL,1000080099.0,b1,C,2.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,1.302.425.229,135.574.502,01/2017,S1,
2,SANTANDER - PRUDENCIAL,1000080185.0,b1,C,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,619.863.093,28.483.441,01/2017,S1,
3,BB - PRUDENCIAL,1000080329.0,b1,C,1.0,BRASILIA,DF,03/2017,Sim,Sim,Não,1.132.202.129,48.563.981,01/2017,S1,
4,BTG PACTUAL - PRUDENCIAL,1000080336.0,b1,C,2.0,RIO DE JANEIRO,RJ,03/2017,Sim,Sim,Não,126.324.730,11.370.368,01/2017,S1,
5,CAIXA ECONÔMICA FEDERAL - PRUDENCIAL,1000080738.0,b1,C,1.0,BRASILIA,DF,03/2017,Sim,Sim,Não,1.374.513.248,NI,01/2017,S1,
6,SAFRA - PRUDENCIAL,1000080109.0,b1,C,2.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,169.754.678,5.324.013,01/2017,S2,
7,BANRISUL - PRUDENCIAL,1000080154.0,b1,C,1.0,PORTO ALEGRE,RS,03/2017,Sim,Sim,Não,71.881.763,251.044,01/2017,S2,
8,CITIBANK - PRUDENCIAL,1000080192.0,b1,C,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,78.399.214,NI,01/2017,S2,
9,CREDIT SUISSE - PRUDENCIAL,1000080219.0,b1,C,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,65.245.641,2.357.553,01/2017,S2,
10,VOTORANTIM - PRUDENCIAL,1000080484.0,b1,C,2.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,131.134.623,1.648.201,01/2017,S2,
11,BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL,1000081593.0,b1,I,1.0,FORTALEZA,CE,03/2017,Sim,Sim,Não,69.825.304,NI,01/2017,S2,
12,BNDES - PRUDENCIAL,1000081847.0,b4,C,1.0,RIO DE JANEIRO,RJ,03/2017,Sim,Sim,Não,865.339.525,NI,01/2017,S2,
13,"COOPERATIVA CENTRAL DE CRÉDITO E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ",80230774.0,b3C,I,2.0,CURITIBA,PR,03/2017,Não,Sim,Não,7.007.793,NI,01/2017,S3,
14,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE",87437687.0,b3C,I,2.0,PORTO ALEGRE,RS,03/2017,Não,Sim,Não,11.189.709,NI,01/2017,S3,
15,JP MORGAN CHASE - PRUDENCIAL,1000080116.0,b1,C,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,27.341.143,NI,01/2017,S3,
16,MERCANTIL DO BRASIL - PRUDENCIAL,1000080123.0,b1,C,2.0,BELO HORIZONTE,MG,03/2017,Sim,Sim,Não,10.387.237,36.582,01/2017,S3,
17,BANESTES - PRUDENCIAL,1000080147.0,b1,C,1.0,VITORIA,ES,03/2017,Sim,Sim,Não,19.072.557,NI,01/2017,S3,
18,BMG - PRUDENCIAL,1000080178.0,b1,C,2.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,14.415.980,57.778,01/2017,S3,
19,VOLKSWAGEN - PRUDENCIAL,1000080202.0,b2,C,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,16.524.148,NI,01/2017,S3,
20,PAN,1000080257.0,b1,C,2.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,26.558.706,NI,01/2017,S3,
21,SOCIETE GENERALE - PRUDENCIAL,1000080264.0,b1,C,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,7.367.034,NI,01/2017,S3,
22,BRB - PRUDENCIAL,1000080288.0,b1,C,1.0,BRASILIA,DF,03/2017,Sim,Sim,Não,14.689.210,NI,01/2017,S3,
23,CCB - PRUDENCIAL,1000080295.0,b1,C,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,13.675.966,1.102.562,01/2017,S3,
24,ABC-BRASIL - PRUDENCIAL,1000080312.0,b1,C,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,36.768.957,1.411.072,01/2017,S3,
25,PINE - PRUDENCIAL,1000080374.0,b1,C,2.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,9.831.773,100.723,01/2017,S3,
26,CREDIT AGRICOLE - PRUDENCIAL,1000080491.0,b1,C,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,15.264.915,NI,01/2017,S3,
27,ING - PRUDENCIAL,1000080501.0,b1,C,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,8.579.172,NI,01/2017,S3,
28,DEUTSCHE - PRUDENCIAL,1000080532.0,b1,C,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,8.053.995,20.882,01/2017,S3,
29,BOFA MERRILL LYNCH - PRUDENCIAL,1000080556.0,b1,C,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,18.378.406,NI,01/2017,S3,
30,MERCEDES-BENZ - PRUDENCIAL,1000080563.0,b2,C,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,8.184.803,NI,01/2017,S3,
31,ALFA - PRUDENCIAL,1000080570.0,b1,C,2.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,14.270.634,NI,01/2017,S3,
32,MORGAN STANLEY - PRUDENCIAL,1000080628.0,b1,C,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,12.734.490,19.498,01/2017,S3,
33,HAITONG - PRUDENCIAL,1000080666.0,b2,C,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,11.413.962,156.108,01/2017,S3,
