Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k);
;;;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
BANCO DO BRASIL S.A.;0;BB;49906;;b1;1;1;BRASILIA;DF;03/2008;6.735.230;15.444;3.709.472;-429.759;46.172;428.267;10.504.827;-4.701.792;-747.392;-13.268;0;-1.601.518;-7.063.970;3.440.857;2.316.373;0;-1.852.388;-1.337.605;-473.953;879.051;951.387;-1.076.956;-594.089;2.846.767;30.346;2.877.113;-230.572;-299.076;2.347.466;-368.987
BANCO BRADESCO S.A.;60746948;BRADESCO;10045;;b1;2;8;OSASCO;SP;03/2008;4.849.046;0;3.382.394;789.706;366.612;328.708;9.716.467;-4.951.487;-847.959;0;0;-1.168.166;-6.967.612;2.748.855;1.695.241;0;-1.346.476;-1.426.529;-343.153;1.383.022;700.298;-1.159.019;-496.615;2.252.240;-8.951;2.243.289;-140.804;0;2.102.485;-740.200
BANCO ITAÚ S.A.;60701190;ITAU;10069;;b1;2;8;SAO PAULO;SP;03/2008;2.856.549;349.433;4.319.750;257.997;0;231.405;8.015.134;-5.856.034;-86.615;-268.088;-21.330;-384.818;-6.616.886;1.398.249;1.088.802;0;-614.886;-1.169.658;-199.485;514.421;143.811;-630.636;-867.631;530.618;144.529;675.146;145.570;-232.090;588.626;-95.587
CAIXA ECONOMICA FEDERAL;360305;;;;b1;1;6;BRASILIA;DF;03/2008;2.405.254;0;3.764.382;44.513;1.484;958.405;7.174.038;-3.391.445;-461.204;0;0;-365.033;-4.217.682;2.956.356;1.819.451;0;-1.821.983;-1.015.720;-259.153;42.036;523.952;-997.528;-1.708.944;1.247.411;-15.468;1.231.944;-318.774;-40.453;872.717;-154.177
BANCO ABN AMRO REAL S.A.;33066408;ABN AMRO;10076;;b1;3;8;SAO PAULO;SP;03/2008;2.973.093;0;1.895.188;-743.797;978.249;147.248;5.249.980;-2.437.185;-383.385;0;0;-582.016;-3.402.586;1.847.395;694.906;0;-658.562;-941.438;-222.823;147.771;136.812;-319.755;-1.163.090;684.304;-21.692;662.612;-46.199;-85.511;530.902;-150.000
UNIBANCO-UNIAO DE BANCOS BRASILEIROS S.A.;33700394;UNIBANCO;10100;;b1;2;8;SAO PAULO;SP;03/2008;1.897.151;34.089;1.835.288;689.776;134.114;124.645;4.715.064;-2.636.302;-187.475;0;0;-206.073;-3.029.851;1.685.213;490.091;0;-486.912;-464.279;-56.801;378.362;169.029;-893.918;-864.427;820.786;9.373;830.159;20.434;-109.897;740.695;-289.740
BANCO SANTANDER S.A.;90400888;SANTANDER;30379;;b1;3;8;SAO PAULO;SP;03/2008;2.410.352;0;1.674.220;-167.507;527.478;103.677;4.548.220;-2.213.764;-248.588;0;0;-657.602;-3.119.954;1.428.267;955.131;0;-462.594;-743.250;-205.588;129.819;303.417;-881.090;-904.156;524.111;29.072;553.182;-61.689;-102.763;388.730;0
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;;;;b4;1;4;RIO DE JANEIRO;RJ;03/2008;2.927.166;0;282.589;14.784;0;0;3.224.539;-397.725;-2.274.763;0;-797;-87.611;-2.760.896;463.643;17.051;0;-123.484;-32.749;-40.072;137.849;500.196;-813.774;-354.983;108.661;-642;108.019;41.107;-425;148.701;0
HSBC BANK BRASIL S.A. - BANCO MULTIPLO;1701201;HSBC;51152;;b1;3;8;CURITIBA;PR;03/2008;1.900.963;406.202;604.996;-111.759;206.578;98.351;3.105.333;-1.164.784;-156.418;-286.878;0;-315.123;-1.923.203;1.182.130;560.021;0;-415.959;-743.445;-122.167;113.598;190.411;-253.827;-671.369;510.761;956;511.717;-112.880;-69.442;329.395;0
BANCO ITAÚ BBA S.A.;17298092;ITAU;10069;;b1;2;8;SAO PAULO;SP;03/2008;445.993;0;1.583.315;315.700;474.987;10;2.820.006;-1.661.007;-316.320;0;0;-21.294;-1.998.621;821.385;58.942;174;-70.552;-83.880;-36.889;-56.013;66.031;-285.333;-407.521;413.864;2;413.865;-79.015;-30.874;303.976;-90.000
BANCO ITAULEASING S.A.;49925225;ITAU;10069;;b2;2;8;SAO PAULO;SP;03/2008;24.123;2.417.888;162.770;0;0;0;2.604.781;-108;-449;-1.899.273;0;-191.699;-2.091.530;513.251;137.753;0;-1.535;-109.548;-4.040;5.321;78.228;-20.883;85.296;598.547;89.922;688.469;-232.239;-267;455.963;0
BANCO ITAUCARD S.A.;17192451;ITAU;10069;;b2;2;8;SAO PAULO;SP;03/2008;627.855;1.784.870;6.951;0;0;0;2.419.676;-223.824;-4.091;-1.395.302;0;-160.557;-1.783.774;635.902;700.448;0;-3.552;-565.406;-81.652;342.924;37.274;-217.747;212.288;848.190;125.645;973.835;-220.045;-720;753.069;0
BANCO VOTORANTIM S.A.;59588111;VOTORANTIM;51011;;b1;2;8;SAO PAULO;SP;03/2008;385.650;0;1.401.965;366.109;31.655;25.567;2.210.946;-1.531.268;-204.293;0;0;-21.222;-1.756.783;454.163;17.310;74;-32.872;-27.461;-5.596;106.889;141.508;-460.217;-260.366;193.797;4;193.801;-6.058;-100;187.643;0
BANCO FINASA S.A.;57561615;BRADESCO;10045;;b1;2;8;OSASCO;SP;03/2008;1.287.286;820.310;94.120;0;0;0;2.201.716;-817.182;-21;-606.422;0;-428.167;-1.851.792;349.924;30.309;0;-3.679;-66.582;-35.520;58.847;20.280;-332.940;-329.284;20.640;-39.815;-19.176;23.059;0;3.884;0
BANCO SAFRA S.A.;58160789;SAFRA;10083;;b1;2;8;SAO PAULO;SP;03/2008;875.856;114.935;775.455;51.329;23.647;18.574;1.859.797;-1.301.925;-134.537;-91.814;0;-50.082;-1.578.358;281.440;41.258;22.715;-161.991;-157.717;-5.064;130.946;210.243;-128.365;-47.974;233.466;1.708;235.173;-39.037;0;196.136;0
BANCO NOSSA CAIXA S.A.;43073394;;;;b1;1;8;SAO PAULO;SP;03/2008;796.141;0;781.393;-470;2.482;92.301;1.671.847;-715.304;-23.652;0;0;-185.104;-924.059;747.787;251.416;0;-328.512;-278.864;-69.945;65;59.023;-280.514;-647.331;100.457;-10.059;90.398;39.654;-15.202;114.851;-9.085
