Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BANCO DO BRASIL S.A.;0;BB;49906;;b1;1;1;BRASILIA;DF;03/2013;1.024.181.184;468.361.235;962.332.362;794.361.720;61.848.822;2.583.016;5.391;1.588
BANCO BRADESCO S.A.;60746948;BRADESCO;10045;;b1;2;8;OSASCO;SP;03/2013;849.807.526;207.865.632;780.365.428;705.150.507;69.442.098;2.919.118;4.663;1.399
ITAÚ UNIBANCO S.A.;60701190;ITAU;10069;;b1;2;8;SAO PAULO;SP;03/2013;845.329.111;150.526.457;802.210.642;709.999.112;43.118.469;1.281.253;3.861;886
CAIXA ECONOMICA FEDERAL;360305;;;;b1;1;6;BRASILIA;DF;03/2013;731.083.735;390.649.602;705.651.734;614.740.243;25.432.000;1.310.110;2.973;671
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;;;;b4;1;4;RIO DE JANEIRO;RJ;03/2013;678.175.230;251.775.796;631.376.219;433.320.231;46.799.011;1.585.237;4;0
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER;30379;;b1;3;8;SAO PAULO;SP;03/2013;458.423.566;154.395.809;395.186.348;307.775.825;63.237.218;450.363;2.607;1.366
BANCO ITAÚ BBA S.A.;17298092;ITAU;10069;;b1;2;8;SAO PAULO;SP;03/2013;196.712.843;58.478.915;191.041.070;174.665.744;5.671.773;273.718;10;0
DIBENS LEASING S.A. ARRENDAMENTO MERCANTIL;65654303;ITAU;10069;;n1;2;19;SAO PAULO;SP;03/2013;163.186.951;22.388;130.492.048;129.994.752;32.694.903;201.836;1;0
BANCO ITAUCARD S.A.;17192451;ITAU;10069;;b2;2;8;SAO PAULO;SP;03/2013;151.912.989;74.028.361;135.035.708;81.062.353;16.877.281;244.958;1;0
HSBC BANK BRASIL S.A. - BANCO MULTIPLO;1701201;HSBC;51152;;b1;3;8;CURITIBA;PR;03/2013;136.170.018;49.558.172;126.088.712;89.215.166;10.081.306;259.198;867;406
BANCO VOTORANTIM S.A.;59588111;VOTORANTIM;51011;;b1;2;8;SAO PAULO;SP;03/2013;122.902.642;16.664.021;115.231.871;81.856.309;7.670.771;-278.145;33;0
BANCO SAFRA S.A.;58160789;SAFRA;10083;;b1;2;8;SAO PAULO;SP;03/2013;117.697.826;33.225.092;110.580.258;90.929.381;7.117.568;258.042;105;8
BANCO BTG PACTUAL S.A.;30306294;BTG PACTUAL;49944;;b1;2;8;RIO DE JANEIRO;RJ;03/2013;87.983.723;8.361.768;77.432.621;61.944.518;10.551.102;482.606;6;0
ITAÚ UNIBANCO HOLDING S.A.;60872504;ITAU;10069;;b1;2;8;SAO PAULO;SP;03/2013;87.127.674;0;1.953.250;100.103;85.174.424;2.472.977;1;0
BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL;47509120;BRADESCO;10045;;n1;2;19;OSASCO;SP;03/2013;73.248.041;5.985.468;68.840.552;64.162.450;4.407.489;85.640;1;0
BANCO BRADESCO FINANCIAMENTOS S.A.;7207996;BRADESCO;10045;;b1;2;8;OSASCO;SP;03/2013;73.183.282;38.256.573;46.177.686;39.120.098;27.005.595;245.378;19;0
BV FINANCEIRA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;1149953;VOTORANTIM;51011;;n1;2;14;SAO PAULO;SP;03/2013;54.686.277;36.182.254;51.964.301;38.684.145;2.721.975;-280.908;73;0
BANCO CITIBANK S.A.;33479023;CITIBANK;30403;;b1;3;8;SAO PAULO;SP;03/2013;53.936.493;14.894.729;48.985.648;30.248.608;4.950.845;85.284;126;17
BANCO BERJ S.A.;33147315;BRADESCO;10045;;b1;2;8;OSASCO;SP;03/2013;51.178.251;1.420.427;2.797.370;2.101.367;48.380.881;457.152;2;0
BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;92702067;BANRISUL;30173;;b1;1;8;PORTO ALEGRE;RS;03/2013;48.086.420;24.711.753;43.307.252;32.439.493;4.779.168;204.693;479;226
SANTANDER LEASING S.A. ARRENDAMENTO MERCANTIL;47193149;SANTANDER;30379;;n1;3;19;SAO PAULO;SP;03/2013;47.161.835;3.777.255;42.185.132;36.351.840;4.976.703;172.882;1;0
BANCO J.P. MORGAN S.A.;33172537;JP MORGAN CHASE;20107;;b1;3;8;SAO PAULO;SP;03/2013;46.579.595;1.314.372;43.375.726;27.818.977;3.203.869;-21.481;5;1
BANCO ITAULEASING S.A.;49925225;ITAU;10069;;b2;2;8;SAO PAULO;SP;03/2013;42.414.592;191.572;536.745;186.252;41.877.847;421.491;1;0
UNIBANCO - UNIÃO DE BANCOS BRASILEIROS S.A.;33700394;ITAU;10069;;b1;2;8;SAO PAULO;SP;03/2013;35.306.951;0;494.374;0;34.812.577;443.089;1;0
BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;33987793;CREDIT SUISSE;30771;;b2;3;13;SAO PAULO;SP;03/2013;33.928.633;572.653;30.420.972;22.695.721;3.507.661;87.405;4;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;;;;b1;1;8;FORTALEZA;CE;03/2013;32.388.390;11.649.075;29.900.650;15.555.752;2.487.741;-22.184;208;5
DEUTSCHE BANK S.A. - BANCO ALEMAO;62331228;DEUTSCHE;51183;;b1;3;8;SAO PAULO;SP;03/2013;31.589.023;2.092.694;30.074.712;8.116.556;1.514.311;15.683;2;0
BANCO BRADESCO CARTÕES S.A.;59438325;BRADESCO;10045;;b1;2;8;OSASCO;SP;03/2013;30.665.645;10.211.105;26.133.244;17.980.647;4.532.401;19.617;2;0
AYMORÉ CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;7707650;SANTANDER;30379;;n1;3;14;SAO PAULO;SP;03/2013;29.867.544;27.098.545;28.750.049;27.699.339;1.117.495;-463;97;0
BV LEASING - ARRENDAMENTO MERCANTIL S.A.;1858774;VOTORANTIM;51011;;n1;2;19;SAO PAULO;SP;03/2013;29.860.032;1.686.909;28.522.928;24.951.890;1.337.104;15.288;1;0
BANCO BMG S.A.;61186680;BMG;30290;;b1;2;8;BELO HORIZONTE;MG;03/2013;25.641.253;17.021.682;22.406.485;9.214.401;3.234.768;121.296;16;0
