Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;03/2017;509.061.010;2.010.964;6.015.261;15.278.531;25.184.071;11.707.809;5.399.610;458;65.596.703;948.208;1.156.285;2.029.045;1.477.682;1.877;0;6.765;5.619.862;430.911;1.485.222;3.451.785;4.121.455;357.754;86;1.037;9.848.250;1.633.681;12.117.233;32.829.255;74.896.930;59.464.454;158.006.213;58.848.717;397.796.483;1.984.560;5.687.516;1.643.622;129.542;1.509;1.069;0;9.447.818;212.681;1.329.946;903.648;928.320;439.186;155.057;0;3.968.839;2.326.149;4.282.246;3.833.032;3.467.476;1.371.324;1.419.866;82.962;16.783.055;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;03/2017;307.270.011;199.785;4.283.409;11.880.218;23.658.743;14.713.371;7.505.587;381.965;62.623.077;649.981;2.694.699;7.643.030;8.872.114;4.014.903;1.590.905;1.149.939;26.615.570;63.256;725.484;1.757.486;2.196.848;312.235;102;26.748;5.082.160;48.460;590.810;1.201.723;3.196.906;3.131.953;15.179.224;18.709.182;42.058.259;1.125.385;18.856.538;3.048.303;74.084;54;0;740.021;23.844.385;2.249.139;12.391.914;46.537.143;33.246.167;21.360.983;21.033.205;1.067.070;137.885.621;367.482;982.148;2.497.536;1.400.144;945.615;831.311;297.910;7.322.145;1.838.793
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;03/2017;223.487.507;423.030;4.048.543;10.103.705;18.663.790;9.560.926;2.050.070;27;44.850.092;587.708;1.455.212;2.442.658;4.126.155;943.890;27.223;0;9.582.845;261.252;1.879.579;4.556.880;6.978.276;1.147.403;1.563;0;14.824.953;72.192;600.334;1.440.602;3.721.965;3.500.697;14.071.528;12.160.749;35.568.067;4.623.810;38.454.376;12.939.128;200.255;8;0;0;56.217.576;1.192;107.916;461.489;172.320;81.044;26.670;0;850.631;1.872.198;5.582.088;3.156.348;4.844.765;1.750.612;204.157;0;17.410.168;44.183.176
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;03/2017;169.230.645;255.708;4.217.419;10.886.745;16.752.242;6.475.859;1.289.412;438;39.877.824;1.265.354;4.876.840;5.745.934;2.941.277;202.368;8.766;48;15.040.587;396.875;3.111.267;7.256.368;7.995.972;762.145;4.071;0;19.526.698;84.703;620.815;1.362.675;3.484.731;3.227.555;12.608.751;9.751.072;31.140.303;5.288.186;19.060.388;8.393.164;214.535;497;0;0;32.956.769;340.606;1.485.453;7.165.909;3.479.596;1.467.032;814.576;14;14.753.185;2.072.893;5.877.444;3.113.058;3.173.669;867.805;285.896;23.310;15.414.074;521.205
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;03/2017;132.793.709;319.489;2.031.610;5.124.894;7.750.962;2.965.951;1.079.170;223;19.272.298;362.729;1.011.158;2.193.728;3.100.305;921.534;58.620;103;7.648.176;570.517;4.486.084;10.649.360;13.188.996;1.679.411;12.644;2.367;30.589.380;45.513;1.080.506;2.659.036;5.595.524;4.059.078;9.697.125;3.922.530;27.059.312;1.353.419;15.028.592;4.291.620;468.828;121.997;40.927;23;21.305.404;46.504;726.225;1.348.135;1.018.013;430.880;290.165;0;3.859.923;1.575.439;4.355.305;3.163.872;3.528.152;1.440.740;567.473;841;14.631.822;8.427.392
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;03/2017;33.155.587;79.282;458.737;1.051.077;1.337.565;421.629;57.728;0;3.406.018;8.841;14.754;125.861;17.634;0;0;0;167.091;668.659;4.160.797;9.645.694;11.779.919;1.410.033;622;0;27.665.724;0;0;0;0;0;0;0;0;319.890;1.022.380;314.346;4.837;0;0;0;1.661.453;18;12.379;18.457;54.169;12.716;5.635;0;103.375;413;24.467;31.709;81.974;7.239;6.125;0;151.927;0
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;03/2017;18.063.179;123.875;798.629;2.116.335;3.596.204;1.743.787;820.184;81;9.199.095;75.384;330.656;445.659;155.958;61.509;33.512;12;1.102.690;454;8.297;20.353;27.067;2.579;47;0;58.797;2.877;49.211;136.505;352.786;328.752;1.280.534;961.268;3.111.932;46.752;733.610;167.601;195;0;0;0;948.158;28.587;574.752;252.292;371.783;288.711;310.294;8.986;1.835.404;118.090;1.021.893;226.219;239.064;117.688;84.090;60;1.807.103;0
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;03/2017;16.143.153;75.054;672.457;1.811.166;3.190.536;1.534.309;596.281;0;7.879.803;15.418;56.268;123.886;132.452;10.422;3;0;338.448;189.597;732.286;1.662.384;2.038.857;261.178;160;0;4.884.463;1.034;5.977;15.391;33.185;25.170;55.541;10.450;146.747;287.653;1.647.435;142.419;17.502;1.435;669;0;2.097.113;0;0;0;0;0;0;0;0;18.060;91.079;133.972;253.881;117.202;173.255;9.131;796.579;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;03/2017;9.157.424;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.968;608.306;1.821.042;1.113.274;528.972;324.727;0;4.449.288;52.748;708.904;1.328.168;1.669.734;742.306;206.276;0;4.708.136;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;03/2017;8.906.109;10.283;325.913;872.788;1.575.762;791.890;167.013;0;3.743.649;4.353;159.579;211.777;154.695;32.003;2.553;0;564.961;37.836;597.858;1.467.855;1.809.166;181.324;68;0;4.094.108;47;95;525;1.006;1.029;630;0;3.332;1.623;128.250;34.102;23;0;0;0;163.998;1;28.787;41.089;31.149;16.711;3.655;0;121.393;3.141;164.897;21.512;12.246;2.286;772;0;204.854;9.814
