Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Quantidade de Clientes;Quantidade de Operações;
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;03/2017;27.302.528;152.356.966
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;03/2017;25.754.997;117.928.198
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;03/2017;15.056.827;51.705.934
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;03/2017;11.725.941;43.145.503
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;03/2017;10.302.133;34.084.974
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;03/2017;3.579.669;6.033.000
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;03/2017;2.859.253;7.543.276
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;03/2017;2.377.206;5.903.993
BANCO CSF S.A.;8.357.240;b2;I;3;S3;8;SAO PAULO;SP;03/2017;2.043.876;5.162.759
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;03/2017;1.943.428;7.953.044
OMNI;50.940;n1;C;2;S4;197;SAO PAULO;SP;03/2017;1.787.209;4.210.578
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;03/2017;1.763.688;10.347.204
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.464.032;n1;I;2;S4;14;SAO PAULO;SP;03/2017;1.265.510;20.942.466
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60.779.196;n1;I;2;S4;14;SAO PAULO;SP;03/2017;1.161.802;1.861.316
PORTO SEGURO;51.444;n1;C;2;S4;197;SAO PAULO;SP;03/2017;994.855;1.893.376
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;03/2017;755.731;5.168.658
MERCANTIL DO BRASIL;20.152;b1;C;2;S3;199;BELO HORIZONTE;MG;03/2017;752.718;2.030.350
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;03/2017;720.943;1.045.668
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;03/2017;720.682;1.772.887
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;03/2017;679.604;1.111.435
DACASA FINANCEIRA;51.891;n1;C;2;S4;197;VITORIA;ES;03/2017;590.229;2.427.735
BANCOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;03/2017;560.821;1.247.172
BANCO CBSS S.A.;27.098.060;b2;I;3;S4;8;BARUERI;SP;03/2017;488.047;3.117.358
BANCO GMAC S.A.;59.274.605;b2;I;3;S3;8;SAO PAULO;SP;03/2017;478.965;546.149
SOCIETE GENERALE;31.859;b1;C;3;S3;199;SAO PAULO;SP;03/2017;460.334;2.369.419
HONDA;51.396;b2;C;3;S4;198;SAO PAULO;SP;03/2017;430.900;459.295
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;03/2017;428.292;559.087
PARANÁ BANCO;30.881;b1;C;2;S4;199;CURITIBA;PR;03/2017;400.800;1.805.571
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;03/2017;281.730;1.070.944
CCB;32.119;b1;C;3;S3;199;SAO PAULO;SP;03/2017;272.511;448.173
AGIPLAN;51.956;b1;C;2;S4;199;PORTO ALEGRE;RS;03/2017;252.252;730.304
BANESTES;30.159;b1;C;1;S3;199;VITORIA;ES;03/2017;244.271;798.175
NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS;4.379.829;n1;I;2;S4;14;CURITIBA;PR;03/2017;214.239;685.861
BANCO DO ESTADO DE SERGIPE S.A.;13.009.717;b1;I;1;S4;8;ARACAJU;SE;03/2017;193.008;653.689
BANCO SEMEAR S.A.;795.423;b1;I;2;S4;8;BELO HORIZONTE;MG;03/2017;186.648;632.480
BANCO DO ESTADO DO PARÁ S.A.;4.913.711;b1;I;1;S4;8;BELEM;PA;03/2017;179.726;659.777
