Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;03/2019;526.148.152;2.861.179;5.301.108;13.518.508;22.799.960;10.278.034;4.813.537;7.849;59.580.175;615.905;939.804;1.532.163;1.121.934;98.414;340;9.526;4.318.086;132.257;468.604;859.785;457.443;19.188;67;731;1.938.075;1.360.519;12.952.795;34.632.939;79.501.373;64.055.904;175.174.967;67.454.857;435.133.355;1.473.819;5.979.192;1.926.794;129.226;16.115;15.320;0;9.540.465;156.965;1.339.518;953.038;644.105;197.522;72.950;0;3.364.098;1.574.479;3.539.932;2.797.727;2.279.311;1.090.418;943.123;48.909;12.273.899;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;03/2019;344.294.907;277.387;4.569.028;12.599.474;26.934.229;17.155.945;10.813.610;368.426;72.718.098;516.390;2.692.952;8.087.199;9.968.459;4.474.804;2.240.927;806.155;28.786.886;34.351;453.525;1.138.144;1.608.780;321.224;45;102.953;3.659.023;72.255;624.392;1.335.776;3.566.307;3.505.191;17.656.234;21.616.898;48.377.052;942.080;21.166.208;4.459.182;285.463;0;0;342.827;27.195.760;2.127.687;16.874.235;49.133.017;37.511.488;25.732.986;20.994.043;178.838;152.552.294;597.020;885.961;2.712.139;1.557.551;1.105.059;937.915;208.876;8.004.521;3.001.273
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;03/2019;273.178.062;439.109;4.974.273;12.573.486;20.352.837;8.409.170;1.758.002;62;48.506.940;530.196;2.767.280;5.249.633;4.306.826;720.097;15.204;0;13.589.236;200.620;2.263.744;5.485.906;7.540.814;1.074.082;1.290;0;16.566.456;87.369;723.636;1.684.788;4.374.491;4.121.497;16.409.118;13.733.977;41.134.874;5.232.758;49.291.856;20.883.020;1.034.629;3.154;1;0;76.445.419;1.996;209.574;534.224;127.868;48.131;27.652;0;949.445;2.121.909;7.392.322;4.898.751;4.024.364;784.545;192.621;0;19.414.512;56.571.181
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;03/2019;198.192.531;244.797;5.231.973;13.093.672;21.995.047;9.677.447;3.245.810;444;53.489.191;966.487;5.471.312;7.054.728;4.860.558;750.309;135.821;285;19.239.499;257.954;3.448.225;8.291.567;11.083.859;1.541.460;4.614;0;24.627.679;76.992;748.491;1.633.085;4.226.362;3.927.851;15.838.787;12.755.353;39.206.920;3.826.921;22.584.974;7.130.044;376.490;8.455;893;0;33.927.779;172.024;2.033.524;5.751.141;4.223.325;1.259.845;559.727;0;13.999.586;1.429.955;5.430.950;2.474.806;2.757.755;820.660;317.668;506;13.232.301;469.575
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;03/2019;181.354.549;570.558;3.129.006;8.101.299;13.336.249;6.225.709;3.071.794;752;34.435.366;893.423;1.370.117;2.988.288;4.172.642;1.478.392;318.573;17.423;11.238.857;595.013;5.734.173;14.431.384;20.813.642;3.315.948;14.301;3.500;44.907.961;41.398;1.329.462;3.198.904;6.763.323;4.935.258;11.978.652;5.036.109;33.283.106;2.033.211;21.696.264;7.010.136;705.433;141.074;54.325;29;31.640.471;40.957;1.289.763;2.174.156;1.420.822;791.660;541.086;0;6.258.444;2.131.758;5.259.569;3.855.378;4.334.061;2.326.188;1.273.037;30.716;19.210.706;379.637
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;03/2019;38.762.664;61.664;280.968;641.951;734.886;145.017;21.190;0;1.885.676;17.948;47.600;86.347;138.164;3.101;52;0;293.213;691.980;4.770.015;11.300.767;15.499.324;1.826.943;697;0;34.089.725;0;0;0;0;0;0;0;0;348.286;1.387.090;552.957;19.036;0;0;0;2.307.369;138;12.882;16.777;11.713;3.177;1.206;0;45.894;1.540;13.179;31.654;72.728;11.374;10.155;158;140.788;0
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;03/2019;24.458.592;155.224;1.014.481;2.781.414;5.407.881;3.303.802;1.575.720;66;14.238.587;27.715;663.433;1.011.319;205.946;70.015;7.713;0;1.986.141;488;3.053;6.995;6.884;1.602;8;0;19.029;3.823;64.457;148.684;390.445;363.400;1.422.326;1.069.770;3.462.905;63.880;980.218;258.328;1.557;0;0;0;1.303.983;30.475;414.727;447.642;377.790;254.391;176.877;19.815;1.721.718;115.908;1.036.034;213.595;200.405;91.988;68.236;64;1.726.230;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;03/2019;20.759.586;24.867;698.664;1.909.987;3.653.568;2.044.870;404.011;0;8.735.966;6.020;226.388;323.571;229.199;48.864;188;0;834.231;73.565;1.334.683;3.367.366;5.019.460;671.855;481;0;10.467.409;19;67;386;886;468;389;2;2.217;5.248;191.747;59.717;92;0;0;0;256.804;59;30.057;68.062;64.664;28.726;14.685;0;206.253;2.659;151.671;78.012;12.287;2.791;0;0;247.420;9.286
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;03/2019;19.764.955;98.505;764.399;2.040.448;3.728.479;1.950.828;767.287;0;9.349.945;5.247;18.811;34.320;17.143;113;0;0;75.634;205.006;1.009.915;2.395.871;3.327.759;374.807;52;0;7.313.411;871;4.596;11.590;25.588;19.019;40.480;6.754;108.897;304.039;1.879.951;207.188;14.565;1.509;2;0;2.407.254;0;0;0;0;0;0;0;0;62.093;37.122;80.153;138.293;81.336;107.437;3.380;509.814;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;03/2019;12.868.309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71.900;951.948;2.082.144;1.356.371;724.028;424.357;0;5.610.747;62.492;1.384.792;1.850.571;2.477.167;1.178.982;303.559;0;7.257.562;0
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;03/2019;10.121.856;60.853;588.616;1.675.909;2.920.616;1.193.625;201.471;0;6.641.091;9.611;43.189;80.790;25.398;0;0;0;158.989;1;44;116;233;84;0;0;478;0;0;0;0;0;0;0;0;154.175;2.060.750;745.851;167.449;8.665;0;0;3.136.891;0;0;2.800;2.095;0;0;0;4.896;25.153;35.853;58.037;56.310;4.158;0;0;179.511;0
