Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Capital de Giro;;;;;;;;Investimento;;;;;;;;Capital de Giro Rotativo;;;;;;;;Operações com Recebíveis;;;;;;;;Comércio Exterior;;;;;;;;Outros Créditos;;;;;;;;Financiamento de Infraestrutura/Desenvolvimento/Projeto e Outros Créditos;;;;;;;;Rural e Agroindustrial;;;;;;;;Habitacional;;;;;;;;Total Exterior Pessoa Jurídica;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;03/2019;315.134.246;918.878;8.448.137;13.820.134;13.210.880;2.488.027;375.544;0;39.261.599;13.723;749.013;1.702.085;2.246.704;464.675;19.306;0;5.195.506;628.071;8.964.700;255.534;0;0;0;0;9.848.305;55.902;12.151.975;2.622.473;64.390;23.538;3.649;0;14.921.927;104.617;4.083.589;6.448.124;3.741.531;3.835.780;1.971.109;0;20.184.750;803.919;2.915.584;4.087.230;3.286.693;1.173.463;602.849;0;12.869.738;227.155;1.566.509;4.080.473;6.371.518;2.711.724;2.186.184;331.660;17.475.223;2.272;1.374.095;3.286.797;348.890;219.165;231.407;0;5.462.626;117.023;261.656;1.136.572;1.367.483;126.995;43.196;49;3.052.975;186.861.598
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;03/2019;292.400.400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;605.811;12.607.290;24.823.491;60.822.998;43.407.524;118.299.375;31.405.376;291.971.866;0;12.327;63.120;152.741;101.600;98.746;0;428.534;0;0;0;0;0;0;0;0;0
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;03/2019;276.318.190;605.784;7.477.719;14.480.314;15.074.137;3.503.952;400.470;200;41.542.575;130.230;2.123.418;4.203.953;4.771.849;902.254;93.206;0;12.224.910;412.150;6.861.041;1.226.434;300;0;0;0;8.499.925;143.586;16.253.692;4.492.256;56.033;6.970;606;0;20.953.143;212.542;10.664.030;18.111.955;4.977.178;4.574.180;4.043.974;0;42.583.858;1.251.749;4.530.227;3.144.763;3.440.247;1.309.805;1.811.107;843.154;16.331.051;28.163;2.228.491;4.206.661;8.048.371;4.248.569;7.676.363;404.100;26.840.717;7.535;921.378;1.584.991;1.058.031;137.811;90.392;0;3.800.138;79.564;266.607;1.083.790;3.116.183;991.765;93.055;6.363;5.637.328;97.904.545
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;03/2019;272.071.046;652.542;5.941.334;13.701.139;19.087.661;4.947.936;1.634.289;544.783;46.509.684;508.107;4.657.479;4.825.875;12.309.160;8.939.487;27.197.895;211.550;58.649.552;153.616;2.162.061;681.997;44.514;0;0;28.751;3.070.939;119.370;4.584.623;1.312.195;150.915;44.454;0;0;6.211.556;616.322;11.304.357;12.856.046;3.944.765;6.109.666;3.971.212;0;38.802.368;1.854.134;3.762.510;2.676.513;3.524.556;2.119.676;3.043.098;933.984;17.914.471;347.632;3.088.252;6.778.696;11.682.270;7.122.789;13.038.037;7.179.858;49.237.534;79.533;2.094.791;5.365.969;5.331.171;1.271.695;1.362.305;11;15.505.475;317.600;459.866;792.546;891.193;44.798;0;69.735;2.575.740;33.593.727
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;03/2019;149.446.551;1.724.704;2.821.930;7.596.454;12.639.464;4.676.001;1.632.729;5.025;31.096.306;30.006;55.320;171.437;231.530;256.737;177.379;227;922.635;339.775;393.030;1.215.730;4.209;0;0;0;1.952.744;21.105;210.277;13.851;0;0;0;0;245.233;122.211;885.059;1.327.849;3.934.601;4.335;0;0;6.274.055;1.497.782;794.001;944.238;1.296.648;639.271;390.687;1.056;5.563.683;247.434;6.259.273;10.524.223;18.254.431;12.679.415;33.637.359;8.553.931;90.156.065;10.187;1.443.284;2.449.646;28.973;7.886;2.726;0;3.942.702;564.863;1.587.042;3.265.480;3.527.737;190.629;157.339;37;9.293.128;0
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;03/2019;128.379.161;632.455;4.570.719;7.434.601;7.183.711;1.814.633;815.592;443.926;22.895.636;56.528;973.039;2.202.393;2.900.707;664.932;149.173;488;6.947.261;291.952;4.243.065;1.160.911;276.845;83.430;70.900;9.625;6.136.729;85.903;15.160.924;6.916.538;131.008;17.869;11.800;5.807;22.329.849;84.424;6.382.526;5.631.261;1.475.525;537.221;3.104.263;131.780;17.347.000;855.142;1.981.133;2.099.326;3.214.488;681.114;370.383;25.337;9.226.922;164.789;725.087;1.587.133;2.802.801;1.712.753;3.364.724;613.827;10.971.115;5.692;1.084.882;3.088.510;373.296;119.080;59.382;0;4.730.841;68.772;485.321;825.655;495.321;20.826;30.754;254;1.926.904;25.866.904
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;03/2019;45.653.124;39.865;3.477.330;4.822.186;4.642.849;1.161.549;127.329;0;14.271.108;4.155;428.962;815.423;794.511;122.918;22.851;0;2.188.820;16.298;852.634;78.451;7.017;2.371;0;0;956.771;11.993;4.222.447;1.717.654;17.196;0;0;0;5.969.290;4.274;2.011.935;2.762.808;1.945.584;533.256;1.869.571;0;9.127.428;10.516;293.659;305.774;108.375;1.809;0;0;720.134;2.129;208.061;566.225;1.051.453;504.022;321.565;0;2.653.455;165;517.773;502.456;304.654;187.768;137.568;0;1.650.384;0;13.037;39.052;235.618;7.669;0;0;295.375;7.820.360
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;03/2019;20.402.804;266.323;801.842;550.235;1.138.215;308.237;1.130.098;0;4.194.950;0;0;0;0;0;0;0;0;0;10.060;0;0;0;0;0;10.060;1.000;83.725;65.812;59.318;969;761;0;211.586;3.858;362.603;883.920;1.130.745;172.658;0;0;2.553.784;301.122;58.553;370.125;131.387;5.100;464;0;866.750;0;24.993;50.599;148.595;154.204;979.073;1.539.427;2.896.891;0;0;2.573;5.146;0;0;0;7.719;0;0;0;0;0;0;0;0;9.661.064
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;03/2019;12.812.783;28.180;772.770;1.568.284;1.292.079;203.146;5.183;0;3.869.643;1.587;213.959;613.180;594.108;107.891;3.333;0;1.534.058;1.241;85.101;59.117;0;0;0;0;145.459;0;357.082;234.249;11.312;0;0;0;602.643;16.795;723.488;1.321.057;817.629;67.602;12.489;0;2.959.060;103.414;74.349;69.755;157.169;28.293;5.343;0;438.323;514;95.353;115.111;239.883;107.716;22.024;0;580.601;453;129.535;386.968;228.771;105.124;124.661;0;975.512;0;0;0;0;0;0;0;0;1.707.484
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;03/2019;11.985.757;16.170;328.306;691.118;881.181;122.128;30.400;0;2.069.303;14.951;195.492;429.950;459.369;46.180;57;0;1.146.000;0;0;1.000;0;0;0;0;1.000;0;1.087.321;358.337;68.402;73.479;8.879;0;1.596.419;52.668;388.943;1.533.283;967.572;235.619;7.028;0;3.185.113;0;5.975;61.202;32.468;29.269;77.975;674.314;881.205;6.826;128.641;268.437;496.384;313.884;135.245;0;1.349.418;4.206;38.142;101.627;88.231;15.187;3.617;0;251.010;0;0;0;0;0;0;0;0;1.506.289
