Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;06/2018;683.711.428;362.919.045;61.538.815;117.616.640;74.279.664;31.442.718;6.226.726;9.444.234;2.919.040;17.324.546;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;06/2018;624.290.395;293.170.655;61.800.287;126.227.893;53.303.206;11.821.258;12.631.578;4.747.859;5.934.854;17.165.689;37.487.115
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;06/2018;536.766.101;124.311.789;129.421.489;16.845.246;14.767.037;8.333.400;4.201.814;4.386.613;4.280.230;10.869.643;219.348.841
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;06/2018;439.634.074;108.324.639;122.975.465;38.914.294;36.364.148;8.448.709;5.350.959;4.705.606;2.812.253;16.811.869;94.926.133
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;06/2018;298.905.127;40.231.647;94.874.558;111.633.387;29.507.030;5.591.683;11.621.029;304.129;3.253.628;1.888.035;0
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;06/2018;289.347.125;87.386.239;112.349.405;20.392.313;13.751.512;10.187.582;4.415.465;2.811.282;1.983.112;9.199.550;26.870.665
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;06/2018;64.282.665;33.445.242;15.647.809;2.738.885;1.457.830;673.456;73.382;52.620;50.233;1.222.511;8.920.696
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;06/2018;49.151.884;3.646.281;21.397.571;8.643.764;8.519.169;1.485.461;781.458;468.296;1.140.356;1.511.413;1.558.114
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;06/2018;31.076.524;2.351.527;19.909.984;3.547.825;1.296.166;918.762;567.695;300.765;324.643;1.736.501;122.656
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;06/2018;19.109.065;0;15.428.792;923.505;624.158;535.123;321.434;287.643;209.035;779.376;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;06/2018;18.738.882;2.344.817;3.866.918;10.239.496;803.917;563.506;212.832;52.134;112.293;542.970;0
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;06/2018;17.606.836;1.253.348;3.006.122;1.320.941;1.308.230;1.171.333;451.594;304.798;233.879;198.941;8.357.650
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;06/2018;16.138.073;4.459.248;9.589.161;786.268;541.855;77.856;53.915;187.503;47.219;395.048;0
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;06/2018;15.049.699;363;6.927.901;5.711.501;1.146.772;239.103;62.656;92.650;48.840;706.319;113.595
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;06/2018;13.895.131;6.417.854;5.693.423;696.006;300.471;208.150;88.072;26.279;64.227;400.649;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;06/2018;13.150.861;675.386;7.753.248;2.166.430;1.287.129;428.961;297.487;80.704;52.726;408.791;0
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;06/2018;12.458.064;783.382;3.544.449;4.135.057;1.264.758;257.171;184.494;24.653;30.349;37.152;2.196.601
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;06/2018;10.446.094;3.581.908;4.525.625;973.392;399.667;184.756;67.657;81.759;80.886;550.445;0
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;06/2018;10.249.829;4.666.325;4.364.225;782.722;121.715;79.196;11.405;96.831;7.272;120.136;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;06/2018;9.402.078;9.202.740;195.238;3.062;701;53;54;19;21;189;0
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;06/2018;8.623.970;4.973.552;1.333.031;1.031.427;564.870;292.562;107.930;52.371;34.962;233.266;0
BANCO GMAC S.A.;59.274.605;b2;I;3;S3;8;SAO PAULO;SP;06/2018;8.530.506;15.389;6.350.470;706.561;1.124.562;150.232;42.183;27.877;23.118;90.115;0
