Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
BANCO ITAÚ S.A.;60701190;ITAU;10069;;b1;2;8;SAO PAULO;SP;09/2009;5.577.143;187.940.375;111.833.714;92.326.238;-12.683.910;79.642.328;468.370;3.797.026;1.945.717;-118.816;6.092.297;34.514.667;18.319.947;121.760.993;565.681.464;1.945.717;563.735.747
BANCO DO BRASIL S.A.;0;BB;49906;;b1;1;1;BRASILIA;DF;09/2009;7.327.944;136.215.165;72.614.503;212.338.586;-16.044.290;196.294.296;3.977;55.127;0;0;59.104;78.567.198;26.752.206;24.991.360;542.821.776;0;542.821.776
BANCO BRADESCO S.A.;60746948;BRADESCO;10045;;b1;2;8;OSASCO;SP;09/2009;6.613.603;131.781.619;97.284.588;109.755.448;-10.768.304;98.987.144;14.794;5.968.323;2.922.331;-137.460;8.767.988;39.864.446;20.138.469;79.787.352;483.225.209;2.922.331;480.302.878
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;;;;b4;1;4;RIO DE JANEIRO;RJ;09/2009;10.382;1.627.136;54.255.329;143.044.904;-3.069.721;139.975.183;0;0;0;0;0;2.531.597;132.023.132;30.050.808;360.473.568;0;360.473.568
CAIXA ECONOMICA FEDERAL;360305;;;;b1;1;6;BRASILIA;DF;09/2009;2.951.898;54.840.094;108.516.987;111.958.070;-8.525.292;103.432.778;0;0;0;0;0;17.240.376;50.997.086;3.984.603;341.963.822;0;341.963.822
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER;30379;;b1;3;8;SAO PAULO;SP;09/2009;3.884.289;41.226.987;82.254.632;95.665.631;-8.162.666;87.502.965;3.643;1.221.257;512.467;-45.642;1.691.725;57.934.363;10.043.379;50.947.703;335.486.043;512.467;334.973.576
BANCO ITAÚ BBA S.A.;17298092;ITAU;10069;;b1;2;8;SAO PAULO;SP;09/2009;125.947;42.310.738;31.800.796;31.643.797;-1.518.675;30.125.122;163.367;3.928.797;1.441.463;-103.224;5.430.403;9.930.819;253.520;5.849.445;125.826.790;1.441.463;124.385.327
HSBC BANK BRASIL S.A. - BANCO MULTIPLO;1701201;HSBC;51152;;b1;3;8;CURITIBA;PR;09/2009;1.452.392;24.951.692;16.873.051;28.877.904;-2.418.895;26.459.009;26.052;6.414.902;2.501.859;-177.593;8.765.220;21.091.413;4.376.143;5.101.436;109.070.356;2.501.859;106.568.497
BANCO VOTORANTIM S.A.;59588111;VOTORANTIM;51011;;b1;2;8;SAO PAULO;SP;09/2009;10.638;42.342.977;32.002.273;14.881.646;-255.124;14.626.522;0;0;0;0;0;2.715.163;156.200;3.226.576;95.080.349;0;95.080.349
BFB LEASING S.A. ARRENDAMENTO MERCANTIL;43425008;ITAU;10069;;n1;2;19;SAO PAULO;SP;09/2009;10.866;54.697.647;184.640;0;0;0;888.285;25.129.429;11.568.005;-579.756;37.005.963;364.007;248.402;4.756.400;97.267.926;11.568.005;85.699.921
BANCO FINASA BMC S.A.;7207996;BRADESCO;10045;;b1;2;8;OSASCO;SP;09/2009;146;28.475.901;272.908;20.280.958;-1.499.235;18.781.723;58.073;17.110.663;7.106.815;-889.118;23.386.433;2.955.704;1.024.097;504.186;75.401.099;7.106.815;68.294.284
DIBENS LEASING S.A. ARRENDAMENTO MERCANTIL;65654303;ITAU;10069;;n1;2;19;SAO PAULO;SP;09/2009;10.491;44.361.066;182.291;0;0;0;90.301;15.260.217;7.232.314;-383.714;22.199.117;1.421.266;523.605;6.154.258;74.852.094;7.232.314;67.619.780
ITAÚ UNIBANCO HOLDING S.A.;60872504;ITAU;10069;;b1;2;8;SAO PAULO;SP;09/2009;0;6.731.450;29.947;0;0;0;0;0;0;0;0;1.059.552;2.893;57.536.031;65.359.873;0;65.359.873
BANCO NOSSA CAIXA S.A.;43073394;BB;49906;;b1;1;8;BRASILIA;DF;09/2009;457.674;7.733.605;26.824.010;19.213.110;-1.216.225;17.996.885;0;0;0;0;0;4.323.457;5.979.821;1.683.494;64.998.947;0;64.998.947
BANCO ITAUCARD S.A.;17192451;ITAU;10069;;b2;2;8;SAO PAULO;SP;09/2009;109.615;3.511.935;1.242.865;14.412.654;-4.008.182;10.404.472;264.615;14.466.105;7.721.863;-423.473;22.029.109;15.679.146;516.329;18.041.863;71.535.334;7.721.863;63.813.471
BANCO SAFRA S.A.;58160789;SAFRA;10083;;b1;2;8;SAO PAULO;SP;09/2009;84.889;16.848.982;15.078.926;15.554.850;-493.832;15.061.018;956.686;4.250.421;2.792.843;-194.598;7.805.352;3.763.600;916.806;4.133.972;63.693.545;2.792.843;60.900.701
BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL;47509120;BRADESCO;10045;;n1;2;19;OSASCO;SP;09/2009;88;40.988.668;1.249.305;0;0;0;105.698;10.086.060;2.846.339;-453.982;12.584.115;1.263.952;24.719;131.893;56.242.740;2.846.339;53.396.401
BANCO ITAULEASING S.A.;49925225;ITAU;10069;;b2;2;8;SAO PAULO;SP;09/2009;9.707;19.160.872;308.553;0;0;0;382.399;22.619.482;9.831.733;-1.145.635;31.687.979;3.271.877;457.232;1.457.908;56.354.127;9.831.733;46.522.394
SANTANDER LEASING S.A. ARRENDAMENTO MERCANTIL;47193149;SANTANDER;30379;;n1;3;19;SAO PAULO;SP;09/2009;35.165;22.481.951;3.536;0;0;0;289.472;20.484.714;8.593.731;-520.466;28.847.451;1.911.533;128.410;77.168;53.485.213;8.593.731;44.891.482
BANCO CITIBANK S.A.;33479023;CITIBANK;30403;;b1;3;8;SAO PAULO;SP;09/2009;130.213;6.589.831;10.609.766;7.326.591;-754.071;6.572.520;0;0;0;0;0;11.261.030;1.987.634;1.704.015;38.855.010;0;38.855.010
BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;92702067;BANRISUL;30173;;b1;1;8;PORTO ALEGRE;RS;09/2009;358.789;5.726.304;7.315.609;11.844.657;-990.427;10.854.231;317;139.258;42.758;-8.903;173.431;1.743.421;1.950.723;752.938;28.875.446;42.758;28.832.688
BV LEASING - ARRENDAMENTO MERCANTIL S.A.;1858774;VOTORANTIM;51011;;n1;2;19;SAO PAULO;SP;09/2009;5.197;0;19.693.445;0;0;0;18.957;4.847.348;1.775.347;-54.418;6.587.233;653.058;17.150;7.471;26.963.553;1.775.347;25.188.206
BV FINANCEIRA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;1149953;VOTORANTIM;51011;;n1;2;14;SAO PAULO;SP;09/2009;43.533;794.250;339.162;21.549.305;-1.019.779;20.529.526;0;0;0;0;0;1.390.044;407.182;57.378;23.561.075;0;23.561.075
BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;33987793;CREDIT SUISSE;30771;;b2;3;13;SAO PAULO;SP;09/2009;33.290;10.838.140;1.907.394;558.067;-5.814;552.253;0;0;0;0;0;5.088.103;54;1.805.420;20.224.653;0;20.224.653
AYMORÉ CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;7707650;SANTANDER;30379;;n1;3;14;SAO PAULO;SP;09/2009;40.465;9.489.024;0;8.979.462;-406.407;8.573.055;0;0;0;0;0;1.735.557;163.136;18.544;20.019.781;0;20.019.781
BANCO UBS PACTUAL S.A.;30306294;UBS PACTUAL;49944;;b1;3;8;RIO DE JANEIRO;RJ;09/2009;12.037;7.425.917;4.453.712;1.178.330;-100.286;1.078.043;0;0;0;0;0;3.024.637;82.957;1.711.462;17.788.765;0;17.788.765
BANCO ALVORADA S.A.;33870163;BRADESCO;10045;;b1;2;8;OSASCO;SP;09/2009;236;4.841.591;749.494;0;0;0;15.917;2.539.831;894.283;-129.090;3.320.942;3.586.954;1.920;6.092.491;18.593.628;894.283;17.699.345
BANCO BNP PARIBAS BRASIL S.A.;1522368;BNP PARIBAS;51516;;b1;3;8;SAO PAULO;SP;09/2009;8.328;8.304.315;3.334.755;529.684;-31.657;498.027;6.006;162.611;163;0;168.779;5.277.029;26.328;33.363;17.650.925;163;17.650.762
BANCO DO NORDESTE DO BRASIL S.A.;7237373;;;;b1;1;8;FORTALEZA;CE;09/2009;67.320;1.644.449;5.320.649;8.743.089;-446.175;8.296.915;0;0;0;0;0;1.046.934;328.873;199.538;16.904.678;0;16.904.678
SAFRA LEASING S/A ARRENDAMENTO MERCANTIL;62063177;SAFRA;10083;;n1;2;19;SAO PAULO;SP;09/2009;139;2.921.632;5.975.298;0;0;0;73.123;7.308.252;3.566.546;-145.728;10.802.192;207.810;340;63.968;19.971.378;3.566.546;16.404.833
HIPERCARD BANCO MÚLTIPLO S.A.;3012230;ITAU;10069;;b1;2;8;SAO PAULO;SP;09/2009;25;11.231.897;181.715;1.509.637;-491.091;1.018.546;0;0;0;0;0;3.222.475;71.220;136.903;15.862.781;0;15.862.781
BANCO VOLKSWAGEN S.A.;59109165;;;;b2;3;8;SAO PAULO;SP;09/2009;3.285;340.897;0;10.608.495;-505.544;10.102.951;14.697;3.840.880;1.672.322;-149.584;5.378.316;885.956;124.937;135.888;16.972.230;1.672.322;15.299.908
BANCO FIAT S.A.;61190658;ITAU;10069;;b2;2;8;SAO PAULO;SP;09/2009;8.249;12.293.654;37.436;2.432.530;-140.460;2.292.071;0;-4;0;0;-4;412.638;28.678;206.625;15.279.348;0;15.279.348
BANCO ITAUCRED FINANCIAMENTOS S.A.;59461152;ITAU;10069;;b2;2;8;SAO PAULO;SP;09/2009;3.245;11.820.989;62.747;322.619;-180.909;141.710;0;0;0;0;0;167.227;984;833.617;13.030.520;0;13.030.520
