Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Sudeste;Centro-oeste;Nordeste;Norte;Sul;Região não Informada;Total Exterior;
BB;49.906;b1;C;1;;199;BRASILIA;DF;09/2015;693.020.198;323.245.081;77.537.657;75.450.532;28.643.236;116.025.041;2.092.063;70.026.590
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;09/2015;659.318.979;327.214.760;78.421.484;102.679.683;27.338.150;121.946.628;1.718.275;0
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;09/2015;558.032.367;214.444.016;20.614.011;41.155.707;11.894.102;47.731.622;7.369.506;214.823.404
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;09/2015;434.416.244;169.822.028;24.627.243;43.467.653;14.178.396;45.223.367;6.567.007;130.530.550
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;09/2015;383.632.101;234.061.087;34.431.459;42.348.638;6.295.944;27.870.163;38.624.811;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;09/2015;261.195.237;144.392.143;14.211.558;21.200.613;5.337.754;31.769.981;1.875.787;42.407.400
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;09/2015;74.304.360;7.090.563;2.768.568;664.285;654;385.094;20.145;63.375.051
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;09/2015;71.099.571;31.782.339;5.742.202;4.511.692;2.167.996;14.768.190;1.197.608;10.929.543
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;09/2015;54.810.228;24.470.084;3.273.218;3.875.960;1.184.710;6.915.921;721.074;14.369.261
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;09/2015;52.075.378;24.984.054;3.810.239;8.101.327;1.898.453;9.916.296;456.153;2.908.857
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;09/2015;30.364.596;4.147.120;426.856;1.098.855;372.273;23.817.355;231.329;270.807
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;09/2015;19.786.559;13.972.645;950.572;1.111.441;453.722;3.197.121;101.058;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;09/2015;19.636.407;8.639.153;1.859.256;3.697.657;1.210.922;4.209.922;19.498;0
PAN;31.323;b1;C;2;;199;SAO PAULO;SP;09/2015;17.704.331;8.717.414;2.395.533;2.983.350;1.215.017;2.174.850;218.167;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;;8;SAO PAULO;SP;09/2015;16.175.580;5.778.600;7.501.156;1.546.951;33.579;1.315.294;0;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;;11;PORTO ALEGRE;RS;09/2015;14.088.367;50.158;3.674.431;3.611;42.441;10.309.175;8.550;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;09/2015;13.996.014;2.509.626;568.217;10.569.936;153.972;145.884;48.378;0
ABC-BRASIL;41.856;b1;C;3;;199;SAO PAULO;SP;09/2015;13.706.886;5.595.142;816.492;622.990;181.280;1.781.566;45;4.709.371
BANCO DAYCOVAL S.A.;62.232.889;b1;I;2;;8;SAO PAULO;SP;09/2015;12.686.862;6.308.269;1.373.137;2.344.677;592.464;1.845.878;93.457;128.981
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;;5;PORTO ALEGRE;RS;09/2015;12.040.878;376.944;280.268;22.637;2.586;11.356.761;1.682;0
BANCO GMAC S.A.;59.274.605;b2;I;3;;8;SAO PAULO;SP;09/2015;10.899.583;4.434.131;1.243.722;2.289.403;836.607;2.087.808;7.912;0
MERCEDES-BENZ;51.262;b2;C;3;;198;SAO PAULO;SP;09/2015;10.318.592;5.700.817;762.942;1.469.378;315.865;2.069.377;213;0
BANCOOB;51.750;b1;C;2;;199;BRASILIA;DF;09/2015;10.283.101;6.248.084;776.738;139.215;571.182;2.441.633;106.249;0
BNP PARIBAS;51.516;b1;C;3;;199;SAO PAULO;SP;09/2015;10.161.926;5.809.181;836.892;1.127.683;311.366;1.654.369;422.435;0
BRB;31.976;b1;C;1;;199;BRASILIA;DF;09/2015;9.361.853;455.243;8.760.854;73.680;34.228;26.049;11.798;0
MERCANTIL DO BRASIL;20.152;b1;C;2;;199;BELO HORIZONTE;MG;09/2015;8.423.132;6.125.072;384.974;1.096.061;122.063;493.008;201.954;0
ALFA;51.293;b1;C;2;;199;SAO PAULO;SP;09/2015;7.910.044;4.544.697;938.339;793.930;345.585;1.247.379;40.115;0
BIC;32.119;b1;C;3;;199;SAO PAULO;SP;09/2015;7.698.490;3.134.061;840.816;1.320.088;148.501;1.243.586;27.225;984.216
BMG;30.290;b1;C;2;;199;SAO PAULO;SP;09/2015;7.596.677;4.185.105;1.207.046;713.922;519.990;812.201;158.414;0
CREDIT SUISSE;30.771;b1;C;3;;199;SAO PAULO;SP;09/2015;7.552.139;2.543.875;288.475;114.318;0;328.156;0;4.277.314
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;;8;CURITIBA;PR;09/2015;6.438.359;1.456.240;1.711.782;541.770;256.959;2.469.210;2.397;0
JOHN DEERE;50.071;b1;C;3;;199;INDAIATUBA;SP;09/2015;6.095.632;770.495;3.024.434;654.563;301.905;1.339.002;5.233;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;;5;BELO HORIZONTE;MG;09/2015;5.690.721;5.525.008;64.858;72.002;1.457;27.383;13;0
DEUTSCHE;51.183;b1;C;3;;199;SAO PAULO;SP;09/2015;4.862.524;3.023.816;153.072;62.832;3.882;139.007;0;1.479.914
PINE;50.304;b1;C;2;;199;SAO PAULO;SP;09/2015;4.680.103;2.836.888;255.938;349.362;57.019;605.382;130;575.384
BANCO CSF S.A.;8.357.240;b2;I;3;;8;SAO PAULO;SP;09/2015;4.654.504;2.684.691;347.015;441.121;132.220;367.222;682.235;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;;8;PORTO ALEGRE;RS;09/2015;4.609.176;1.364.632;948.286;422.982;139.772;1.731.227;2.277;0
BANCO FIDIS S/A;62.237.425;b2;I;3;;8;BETIM;MG;09/2015;4.582.842;2.092.718;550.562;819.807;240.732;878.801;223;0
PORTO SEGURO;51.444;n1;C;2;;197;SAO PAULO;SP;09/2015;4.218.403;3.249.632;194.757;305.789;49.703;251.430;167.091;0
