Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BB;49906;b1;;C;1;BRASILIA;DF;09/2016;1.446.003.540;671.573.045;1.370.631.476;1.131.168.561;75.372.063;2.294.507;5.452;1.401
ITAU;10069;b1;;C;2;SAO PAULO;SP;09/2016;1.319.086.107;500.175.679;1.188.327.152;903.182.554;130.758.955;4.959.768;3.601;933
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;09/2016;1.231.805.987;699.587.617;1.204.880.329;1.051.565.092;26.925.658;837.546;3.412;836
BRADESCO;10045;b1;;C;2;OSASCO;SP;09/2016;1.062.155.465;399.139.343;962.983.688;795.907.029;99.171.777;3.238.004;5.352;1.604
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;09/2016;955.043.710;362.389.719;904.024.246;600.135.304;51.019.464;6.413.521;4;0
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;09/2016;664.671.016;247.121.143;601.132.395;453.764.263;63.538.622;1.490.093;2.763;1.176
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;09/2016;195.087.628;40.578.990;173.820.644;96.251.414;21.266.984;717.080;11;0
SAFRA;10083;b1;;C;2;SAO PAULO;SP;09/2016;143.350.693;46.882.725;133.639.670;117.945.535;9.711.023;409.187;113;5
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;09/2016;103.828.591;46.642.962;95.412.213;67.490.075;8.416.378;112.059;93;0
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;09/2016;81.439.642;20.550.670;72.956.252;44.444.702;8.483.390;199.942;134;14
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;09/2016;66.847.679;30.146.654;60.377.654;52.094.542;6.470.025;105.020;537;202
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;09/2016;43.567.609;12.992.825;40.541.731;15.640.250;3.025.878;-52.797;319;2
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;09/2016;42.232.272;6.512.005;38.465.245;28.011.386;3.767.028;80.488;10;0
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;09/2016;41.742.776;1.435.631;37.301.467;22.774.956;4.441.309;77.295;8;1
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;09/2016;41.441.990;11.645.803;38.636.562;19.068.770;2.805.428;49.037;9;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;09/2016;40.470.839;14.778.031;39.186.198;37.794.522;1.284.641;33.235;5;0
BANCOOB;51750;b1;;C;2;BRASILIA;DF;09/2016;32.940.766;10.974.901;31.799.519;28.242.511;1.141.247;44.809;4;0
PAN;31323;b1;;C;2;SAO PAULO;SP;09/2016;27.852.653;18.445.096;24.441.075;20.182.597;3.411.578;-12.967;4;0
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;;I;3;SAO PAULO;SP;09/2016;23.816.113;1.073.769;22.445.469;5.659.018;1.370.645;13.273;2;0
SOCIETE GENERALE;31859;b1;;C;3;SAO PAULO;SP;09/2016;23.777.156;1.944.880;22.427.225;9.674.616;1.349.931;14.083;5;0
BANESTES;30159;b1;;C;1;VITORIA;ES;09/2016;23.690.330;3.789.410;22.457.499;21.631.498;1.232.830;33.672;134;28
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;09/2016;23.552.572;10.654.305;20.721.265;17.373.819;2.831.308;102.787;6;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;09/2016;21.194.974;14.975.066;19.412.383;16.233.450;1.782.591;79.738;17;0
DAYCOVAL;51987;b1;;C;2;SAO PAULO;SP;09/2016;21.002.028;12.958.285;18.464.553;15.130.266;2.537.475;90.565;39;0
BOFA MERRILL LYNCH;51255;b1;;C;3;SAO PAULO;SP;09/2016;19.678.956;707.264;17.829.069;6.775.404;1.849.887;73.546;2;0
BANCO VOLKSWAGEN S.A.;59109165;b2;;I;3;SAO PAULO;SP;09/2016;19.179.162;15.887.480;16.515.695;12.154.910;2.663.467;42.838;1;0
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;09/2016;18.761.236;3.317.228;17.098.978;6.638.188;1.662.258;-14.730;2;0
CCB;32119;b1;;C;3;SAO PAULO;SP;09/2016;18.155.816;6.705.779;17.084.193;14.138.767;1.071.623;-111.741;36;0
BMG;30290;b1;;C;2;SAO PAULO;SP;09/2016;16.805.110;8.704.677;13.749.741;8.943.573;3.055.368;7.923;30;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;;I;1;PORTO ALEGRE;RS;09/2016;15.875.693;13.010.381;13.460.107;12.750.018;2.415.585;-7.264;3;0
BRB;31976;b1;;C;1;BRASILIA;DF;09/2016;13.782.968;9.503.821;12.578.098;10.624.233;1.204.870;111.552;123;6
MORGAN STANLEY;51413;b1;;C;3;SAO PAULO;SP;09/2016;13.631.625;0;10.989.256;6.631.064;2.642.369;28.903;2;0
ALFA;51293;b1;;C;2;SAO PAULO;SP;09/2016;13.442.558;7.062.584;11.203.780;10.570.833;2.238.778;29.031;41;1
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;09/2016;13.188.064;3.647.646;11.287.195;4.208.374;1.900.869;-63.500;124;3
BANCO GMAC S.A.;59274605;b2;;I;3;SAO PAULO;SP;09/2016;12.169.420;9.401.690;10.410.387;5.469.550;1.759.034;67.052;1;0
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87437687;b3C;;I;2;PORTO ALEGRE;RS;09/2016;11.501.719;310.539;11.140.215;0;361.504;0;0;0
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;09/2016;11.350.193;7.014.400;10.445.121;8.515.405;905.071;4.389;201;7
CREDIT AGRICOLE;51066;b1;;C;3;SAO PAULO;SP;09/2016;10.759.174;1.341.065;9.913.279;3.369.230;845.895;14.099;3;0
MERCEDES-BENZ;51262;b2;;C;3;SAO PAULO;SP;09/2016;9.200.200;8.541.097;7.706.198;6.964.950;1.494.001;18.800;2;0
ING;51073;b1;;C;3;SAO PAULO;SP;09/2016;9.037.991;3.591.290;8.224.206;5.149.553;813.785;-22.835;2;0
GOLDMAN SACHS;51585;b2;;C;3;SAO PAULO;SP;09/2016;8.751.637;0;7.327.176;2.727.140;1.424.461;29.842;2;0
PINE;50304;b1;;C;2;SAO PAULO;SP;09/2016;8.329.426;3.655.094;7.177.450;6.026.159;1.151.976;-6.603;8;0
HAITONG;51482;b2;;C;3;SAO PAULO;SP;09/2016;8.030.580;523.347;7.375.745;6.845.116;654.835;-1.239;3;0
BANCO CLASSICO S.A.;31597552;b1;;I;2;RIO DE JANEIRO;RJ;09/2016;7.608.218;0;2.100.489;15;5.507.729;2.233;1;0
ORIGINAL;51781;b1;;C;2;SAO PAULO;SP;09/2016;7.519.736;4.478.045;5.368.812;5.067.838;2.150.923;-56.245;2;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;;I;1;BELO HORIZONTE;MG;09/2016;7.473.027;5.810.207;5.804.993;4.974.352;1.668.033;1.274;1;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;;I;3;CURITIBA;PR;09/2016;7.035.804;6.525.284;5.799.034;5.436.718;1.236.770;22.737;1;0
BANCO FIBRA S.A.;58616418;b1;;I;2;SAO PAULO;SP;09/2016;6.875.803;3.063.571;5.874.303;5.146.871;1.001.500;-11.882;7;0
JOHN DEERE;50071;b1;;C;3;INDAIATUBA;SP;09/2016;6.286.343;6.316.126;5.407.883;5.091.561;878.460;15.662;2;0
COOPERATIVA CENTRAL DE CRÉDITO E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;;I;2;CURITIBA;PR;09/2016;6.274.310;109.008;6.113.033;0;161.278;-55;0;0
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;;I;2;BRASILIA;DF;09/2016;6.253.480;1.628.442;985.531;833.724;5.267.949;27.697;54;0
BANCO CSF S.A.;8357240;b2;;I;3;SAO PAULO;SP;09/2016;5.984.687;5.046.681;3.839.948;563.371;2.144.739;83.200;1;0
PARANÁ BANCO;30881;b1;;C;2;CURITIBA;PR;09/2016;5.959.921;3.869.962;4.519.931;4.418.674;1.439.989;20.266;2;0
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;;I;1;BELEM;PA;09/2016;5.914.057;3.646.321;5.139.154;4.814.498;774.903;34.563;105;29
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;;I;2;BELO HORIZONTE;MG;09/2016;5.457.901;11.575;5.061.138;252.702;396.764;11.104;0;0
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;;I;3;SAO PAULO;SP;09/2016;5.345.500;3.856.466;4.727.543;4.101.875;617.958;15.583;1;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;;I;3;SAO PAULO;SP;09/2016;5.049.487;1.318.033;4.177.959;3.675.619;871.528;25.646;1;0
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;;I;2;FLORIANOPOLIS;SC;09/2016;5.025.683;101.043;4.765.857;4.593.499;259.826;0;0;0
SOFISA;31873;b1;;C;2;SAO PAULO;SP;09/2016;4.949.733;2.110.722;4.210.209;3.917.865;739.524;11.140;15;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;;I;3;PORTO ALEGRE;RS;09/2016;4.924.197;4.483.258;4.103.192;3.896.756;821.004;33.538;2;0
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;;I;2;RIBEIRAO PRETO;SP;09/2016;4.768.269;0;4.518.778;4.281.226;249.490;7.827;0;0
PORTO SEGURO;51444;n1;;C;2;SAO PAULO;SP;09/2016;4.660.146;4.572.327;4.109.995;1.018.182;550.151;26.201;3;0
MIZUHO;51554;b1;;I;3;SAO PAULO;SP;09/2016;4.524.114;595.834;3.962.718;2.713.664;561.395;754;1;0
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;;I;2;BEBEDOURO;SP;09/2016;4.455.723;2.466.586;3.226.797;2.487.369;1.228.926;47.348;0;55
BANCO FIDIS S/A;62237425;b2;;I;3;BETIM;MG;09/2016;4.219.868;3.473.211;3.578.921;3.394.684;640.947;7.558;2;0
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60779196;n1;;I;2;SAO PAULO;SP;09/2016;4.214.410;2.102.264;578.045;0;3.636.365;312.342;1;0
BBM;30207;b1;;C;2;SALVADOR;BA;09/2016;4.184.553;1.493.224;3.601.541;3.456.549;583.012;10.630;9;0
BANCO VOLVO BRASIL S.A.;58017179;b2;;I;3;CURITIBA;PR;09/2016;4.127.436;3.730.690;3.407.089;3.287.042;720.348;23.057;1;0
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;;I;1;ARACAJU;SE;09/2016;4.091.842;2.115.994;3.774.311;3.352.783;317.531;18.127;63;10
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;;I;1;PORTO ALEGRE;RS;09/2016;3.966.068;3.282.320;3.249.811;3.110.259;716.258;-7.983;1;0
BANCO IBM S.A.;34270520;b2;;I;3;RIO DE JANEIRO;RJ;09/2016;3.958.468;2.538.707;3.499.187;3.123.631;459.281;10.726;2;0
INDUSVAL;50531;b1;;C;2;SAO PAULO;SP;09/2016;3.809.573;1.160.894;3.285.468;3.092.976;524.104;-28.222;13;0
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;;I;2;BELO HORIZONTE;MG;09/2016;3.697.421;52.404;3.543.246;120.358;154.175;4.472;0;0
BANCO CARGILL S.A.;3609817;b1;;I;3;SAO PAULO;SP;09/2016;3.662.728;2.960.642;3.242.587;2.867.848;420.141;-26.736;1;0
HONDA;51396;b2;;C;3;SAO PAULO;SP;09/2016;3.647.260;3.349.359;2.966.582;2.780.142;680.678;23.278;2;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;;I;2;BLUMENAU;SC;09/2016;3.581.053;2.074.602;2.717.978;2.514.767;863.075;33.468;0;83
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29030467;b1;;I;3;SAO PAULO;SP;09/2016;3.454.571;858.912;2.930.518;2.548.449;524.052;8.638;1;0
BANCO CATERPILLAR S.A.;2658435;b2;;I;3;SAO PAULO;SP;09/2016;3.216.945;2.761.703;2.506.557;2.373.930;710.388;20.657;1;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;;I;2;SAO PAULO;SP;09/2016;3.117.691;2.663.413;2.510.490;1.122.895;607.200;58.015;1;0
INTERMEDIUM;51884;b1;;C;2;BELO HORIZONTE;MG;09/2016;3.075.751;2.291.062;2.728.455;2.609.777;347.296;9.589;42;0
COOPERATIVA CENTRAL DE CRÉDITO DO CENTRO NORTE DO BRASIL   CENTRAL SICREDI CENTRO NORTE;33667205;b3C;;I;2;CUIABA;MT;09/2016;2.980.218;61.377;2.859.050;0;121.168;8;0;0
COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA;71328769;b3S;;I;2;SERTAOZINHO;SP;09/2016;2.821.426;1.752.873;2.471.575;1.473.527;349.852;3.042;0;27
INDUSTRIAL DO BRASIL;50988;b1;;C;2;SAO PAULO;SP;09/2016;2.691.137;1.843.456;2.190.456;2.035.145;500.681;16.996;8;0
HSBC BRASIL S.A. - BANCO DE INVESTIMENTO;53518684;b2;;I;3;SAO PAULO;SP;09/2016;2.678.883;0;1.111.265;0;1.567.619;17.836;1;0
SOCOPA;50328;b1;;C;2;SAO PAULO;SP;09/2016;2.644.624;406.033;2.454.238;1.743.392;190.386;8.129;2;0
CREDICOAMO CREDITO RURAL COOPERATIVA;81723108;b3S;;I;2;CAMPO MOURAO;PR;09/2016;2.534.723;1.187.485;2.056.384;1.950.517;478.339;22.113;0;40
STANDARD CHARTERED BANK (BRASIL) S.A. - BANCO DE INVESTIMENTO;11932017;b2;;I;3;SAO PAULO;SP;09/2016;2.512.427;0;2.188.371;1.065.511;324.057;9.674;1;0
OMNI;50940;n1;;C;2;SAO PAULO;SP;09/2016;2.469.329;2.682.967;2.213.823;1.572.851;255.506;11.086;2;0
BANCO TRIANGULO S.A.;17351180;b1;;I;2;UBERLANDIA;MG;09/2016;2.465.373;1.465.422;2.034.638;1.670.763;430.736;18.328;17;0
MODAL;51963;b1;;C;2;RIO DE JANEIRO;RJ;09/2016;2.463.344;608.652;2.101.656;1.803.832;361.688;-5.057;3;0
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43180355;n1;;I;2;SAO PAULO;SP;09/2016;2.344.046;2.100.272;1.764.888;345.301;579.157;25.021;1;0
CAIXA GERAL;51815;b1;;C;3;SAO PAULO;SP;09/2016;2.322.759;705.221;1.989.788;1.579.109;332.972;-3.831;2;0
COOPERATIVA CENTRAL DE CRÉDITO URBANO - CECRED;5463212;b3C;;I;2;BLUMENAU;SC;09/2016;2.262.196;91.051;2.055.119;1.939.695;207.077;0;0;0
BANCO BONSUCESSO S.A.;71027866;b1;;I;2;BELO HORIZONTE;MG;09/2016;2.158.648;260.778;1.657.921;1.007.965;500.727;11.001;2;0
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;;I;2;MARINGA;PR;09/2016;2.078.782;1.212.438;1.830.591;1.260.914;248.191;10.416;0;75
COOPERATIVA CENTRAL DE CRÉDITO DO NORTE/NORDESTE - CENTRAL SICREDI NORTE/NORDESTE;70119680;b3C;;I;2;CABEDELO;PB;09/2016;2.078.024;95.568;1.945.265;0;132.759;4.543;0;0
BANCO RODOBENS S.A.;33603457;b1;;I;2;SAO PAULO;SP;09/2016;2.071.906;1.511.248;1.495.279;1.353.071;576.627;32.155;2;0
COOPERATIVA CENTRAL DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER;1401771;b3C;;I;2;FRANCISCO BELTRAO;PR;09/2016;2.046.717;7.034;1.976.227;1.345.798;70.490;2.591;0;0
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;;I;2;BRASILIA;DF;09/2016;1.958.526;1.419.705;1.505.879;1.441.805;452.648;19.566;0;5
COOPERATIVA CENTRAL DE CREDITO DO ESPIRITO SANTO - SICOOB CENTRAL ES;32428294;b3C;;I;2;VITORIA;ES;09/2016;1.898.647;47.600;1.790.423;277.971;108.224;281;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PIONEIRA DA SERRA GAÚCHA   SICREDI PIONEIRA RS;91586982;b3S;;I;2;NOVA PETROPOLIS;RS;09/2016;1.855.613;659.749;1.570.262;1.406.433;285.351;12.929;0;41
SCANIA BANCO S.A.;11417016;b2;;I;3;SAO BERNARDO DO CAMPO;SP;09/2016;1.821.263;1.579.281;1.576.863;1.456.201;244.400;1.612;1;0
BANCO ABN AMRO S.A.;3532415;b1;;I;3;SAO PAULO;SP;09/2016;1.786.893;1.023.798;1.257.991;1.153.829;528.901;5.734;1;0
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3584906;n1;;I;1;CURITIBA;PR;09/2016;1.739.599;1.078.568;259.381;161.563;1.480.217;14.348;1;0
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;;I;2;MEDIANEIRA;PR;09/2016;1.729.816;922.474;1.459.518;1.085.750;270.298;12.862;0;46
