Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;09/2019;27.337.460;269.733.357;311.240.882;492.172.014;-31.020.082;461.151.932;7.197.417;1.089.958;778.661;-261.295;8.804.741;276.831.778;111.740.533;108.504.322;1.575.345.004;778.661;1.574.566.343
BB;49906;b1;S1;C;1;BRASILIA;DF;09/2019;14.237.152;463.709.621;184.141.216;570.454.728;-34.830.375;535.624.353;47.245;232.556;77.011;-4.716;352.097;188.900.169;77.751.506;35.160.976;1.499.877.090;77.011;1.499.800.079
CAIXA ECONOMICA FEDERAL;360305;b1;S1;I;1;BRASILIA;DF;09/2019;8.041.843;209.210.078;208.762.256;673.924.039;-34.175.156;639.748.883;0;0;0;0;0;81.834.502;138.709.718;13.403.267;1.299.710.547;0;1.299.710.547
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;09/2019;16.265.705;70.652.833;321.531.804;372.573.013;-33.365.853;339.207.160;21.676;3.984.594;1.405.894;-145.874;5.266.290;211.067.970;96.641.892;90.243.084;1.150.876.739;1.405.894;1.149.470.844
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;09/2019;10.290.943;36.193.155;208.656.227;267.920.954;-17.107.032;250.813.922;17.046;4.931.257;2.127.875;-63.113;7.013.064;213.742.170;86.287.965;20.082.940;833.080.387;2.127.875;830.952.512
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;09/2019;264.619;54.021.897;115.349.633;274.495.627;-12.703.029;261.792.599;0;0;0;0;0;24.239.866;189.269.747;116.760.445;761.698.807;0;761.698.807
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;09/2019;1.517.290;52.503.052;38.520.457;63.253.684;-2.386.589;60.867.095;11.318;1.416.167;485.091;-14.276;1.898.300;13.698.147;15.491.802;5.895.291;190.391.432;485.091;189.906.341
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;09/2019;720.452;36.445.649;55.489.550;25.732.239;-1.089.977;24.642.262;0;0;0;0;0;59.756.284;1.518.511;10.750.099;189.322.806;0;189.322.806
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;09/2019;129.481;7.946.456;30.585.949;48.570.679;-3.159.176;45.411.502;-12;105.887;973;-3.320;103.527;12.509.871;2.142.408;2.180.988;101.010.184;973;101.009.212
CIELO S.A.;1027058;n4;;I;2;BARUERI;SP;09/2019;15.645;0;9.263.720;0;0;0;0;0;0;0;0;3.182.686;67.251.485;10.161.145;89.874.681;0;89.874.681
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;09/2019;1.304.584;17.455.199;33.139.782;6.303.711;-163.599;6.140.112;-297;81.436;18.938;-1.034;99.044;24.112.415;3.774.927;286.289;86.312.352;18.938;86.293.414
BANRISUL;30173;b1;S2;C;1;PORTO ALEGRE;RS;09/2019;915.142;4.415.143;22.261.299;31.640.533;-2.529.665;29.110.868;229;72.566;43.695;-2.291;114.200;6.627.451;13.785.619;2.790.858;80.020.580;43.695;79.976.884
REDECARD S.A.;1425787;n4;;I;2;SAO PAULO;SP;09/2019;256.161;0;8.686.630;0;0;0;0;0;0;0;0;587.097;53.010.151;1.276.636;63.816.676;0;63.816.676
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;S2;I;1;FORTALEZA;CE;09/2019;138.500;6.220.699;39.142.029;9.579.622;-663.341;8.916.280;0;0;0;0;0;4.650.173;704.092;231.483;60.003.255;0;60.003.255
JP MORGAN CHASE;20107;b1;S3;C;3;SAO PAULO;SP;09/2019;34.604;25.846.664;23.815.430;1.260.004;-4.041;1.255.962;0;0;0;0;0;8.554.915;8.005;97.604;59.613.185;0;59.613.185
BANCOOB;51750;b1;S3;C;2;BRASILIA;DF;09/2019;20.819;16.371.156;14.793.919;4.898.776;-77.881;4.820.895;0;0;0;0;0;4.133.964;14.985.529;225.855;55.352.136;0;55.352.136
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;S3;I;2;PORTO ALEGRE;RS;09/2019;87.373;10.150.005;9.976.164;10.236.376;-1.665;10.234.711;0;0;0;0;0;2.515.884;19.233.542;205.973;52.403.653;0;52.403.653
BNP PARIBAS;51516;b1;S3;C;3;SAO PAULO;SP;09/2019;83.937;4.049.668;10.808.939;11.785.233;-499.984;11.285.249;0;0;0;0;0;24.624.327;193.899;289.620;51.335.638;0;51.335.638
ING;51073;b1;S3;C;3;SAO PAULO;SP;09/2019;2.213;6.989.978;1.617.127;1.265.878;-1.379;1.264.500;0;0;0;0;0;39.618.790;1.507;8.719;49.502.833;0;49.502.833
CREDIT SUISSE;30771;b1;S3;C;3;SAO PAULO;SP;09/2019;27.024;14.982.832;12.926.396;3.338.011;-167.997;3.170.014;0;0;0;0;0;18.025.108;4.003;88.354;49.223.730;0;49.223.730
CREDIT AGRICOLE;51066;b1;S3;C;3;SAO PAULO;SP;09/2019;4.440;5.248.363;1.519.130;1.032.988;0;1.032.988;0;0;0;0;0;34.097.729;2.373;32.431;41.937.454;0;41.937.454
ABC-BRASIL;41856;b1;S3;C;3;SAO PAULO;SP;09/2019;57.667;6.407.064;9.395.635;12.785.774;-236.704;12.549.070;0;0;0;0;0;8.088.823;406.770;173.525;37.078.555;0;37.078.555
DAYCOVAL;51987;b1;S3;C;2;SAO PAULO;SP;09/2019;263.528;4.752.322;1.733.130;16.133.618;-1.078.864;15.054.754;30.723;1.094.017;159.977;-18.927;1.265.791;8.691.416;178.558;941.258;32.880.757;159.977;32.720.780
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;S3;I;3;SAO PAULO;SP;09/2019;47.737;2.645.491;3.900.229;19.591.755;-764.153;18.827.602;0;0;0;0;0;7.055.107;48.731;24.249;32.549.147;0;32.549.147
BANCO MUFG BRASIL S.A.;60498557;b1;S3;I;3;SAO PAULO;SP;09/2019;16.031;4.890.236;3.374.812;1.150.119;-1.788;1.148.331;0;0;0;0;0;22.818.409;15.799;49.264;32.312.883;0;32.312.883
PAN;31323;b1;S3;C;2;SAO PAULO;SP;09/2019;2.981;59.998;2.162.318;22.417.330;-1.320.133;21.097.197;0;0;0;0;0;6.926.889;705.671;891.292;31.846.346;0;31.846.346
XP INVESTIMENTOS CORRETORA DE CÂMBIO,TÍTULOS E VALORES MOBILIÁRIOS S/A;2332886;n2;S4;I;2;RIO DE JANEIRO;RJ;09/2019;3.351;16.414.154;13.511.671;0;0;0;0;0;0;0;0;1.293.709;66.799;502.584;31.792.268;0;31.792.268
