Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;12/2015;481.262.062;2.381.972;5.068.611;13.591.287;27.191.766;10.955.605;375.016;0;59.564.258;1.447.920;1.265.443;2.666.145;2.877.489;258.100;0;283;8.515.379;510.506;1.575.575;3.698.424;5.063.000;579.772;288;0;11.427.565;2.198.703;11.678.694;31.211.845;70.778.137;55.857.736;145.279.991;52.695.452;369.700.557;2.625.073;6.019.982;1.632.970;107.963;278;0;0;10.386.266;270.037;392.312;2.597.941;664.102;470.568;221.549;0;4.616.510;2.532.373;4.240.586;3.790.526;3.152.519;1.636.181;1.605.149;94.193;17.051.528;0
BB;49.906;b1;C;1;;199;BRASILIA;DF;12/2015;291.860.367;173.582;4.442.103;12.072.585;23.670.031;13.656.505;8.377.688;277.532;62.670.025;396.150;3.209.180;7.298.419;9.757.653;3.955.744;1.831.450;405.498;26.854.095;55.263;1.021.454;2.598.711;3.421.932;543.063;181;24.383;7.664.987;24.191;520.881;1.095.268;2.940.882;2.833.081;13.495.214;15.931.524;36.841.041;1.040.521;19.155.564;3.017.584;123.578;32;0;318.796;23.656.075;1.662.014;9.783.558;42.115.790;28.900.322;19.675.770;22.093.375;211.085;124.441.915;301.147;1.158.753;2.708.553;1.135.890;661.887;671.799;99.073;6.737.101;2.995.129
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;12/2015;208.425.383;371.175;4.005.955;10.316.935;19.308.956;9.498.175;1.936.200;40;45.437.434;855.790;2.135.735;3.295.085;4.709.038;941.409;103.361;0;12.040.418;481.743;2.828.275;6.519.907;8.829.014;1.103.644;1.968;0;19.764.552;59.147;549.189;1.276.423;3.361.098;3.154.970;12.534.211;11.051.049;31.986.087;5.380.300;39.635.174;13.362.684;165.906;0;0;0;58.544.064;320;64.788;221.828;141.042;91.207;40.373;0;559.558;1.925.748;5.273.452;3.256.139;4.969.879;1.569.868;160.329;0;17.155.414;22.937.856
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;12/2015;145.792.505;198.741;3.717.821;9.229.694;14.577.218;5.622.276;1.194.571;73;34.540.395;798.362;4.250.220;4.511.527;2.522.984;190.508;10.561;36;12.284.197;402.963;3.493.547;7.935.190;8.988.242;830.433;4.128;0;21.654.503;47.682;435.681;957.791;2.469.456;2.264.967;8.748.030;6.901.953;21.825.559;3.859.017;16.542.712;7.171.936;286.703;2.033;25;0;27.862.426;260.859;1.200.431;7.418.339;3.572.911;1.600.254;787.969;60;14.840.822;1.451.890;4.784.063;2.211.352;2.264.468;721.987;233.647;15.874;11.683.281;1.101.323
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;12/2015;123.983.720;279.789;1.583.136;3.947.225;5.730.986;1.922.659;547.021;185;14.011.001;439.214;907.924;1.959.366;2.672.929;549.335;62.508;88;6.591.365;599.997;4.528.829;10.588.211;12.810.027;1.249.719;12.134;2.187;29.791.103;44.850;1.043.671;2.549.353;5.293.333;3.849.817;9.291.453;3.859.385;25.931.863;1.371.635;14.811.697;2.960.818;475.792;118.099;30.254;20;19.768.315;67.023;304.942;1.691.534;851.545;359.706;178.154;0;3.452.903;1.767.098;3.982.039;3.174.100;3.606.476;1.413.653;439.379;828;14.383.573;10.053.596
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;12/2015;34.030.798;105.666;664.975;1.466.276;1.828.749;572.879;83.908;0;4.722.453;12.270;21.949;79.952;15.815;2.772;2.929;0;135.687;704.980;4.228.919;9.741.040;11.876.838;1.089.988;530;0;27.642.295;0;0;0;0;0;0;0;0;243.026;791.651;228.022;178;0;0;0;1.262.878;166;2.420;21.623;47.944;47.592;4.013;0;123.757;274;10.941;70.423;46.230;15.862;0;0;143.729;0
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;12/2015;22.973.602;0;0;0;0;0;0;0;0;0;133.129;575.404;107.301;4.431;0;0;820.264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62;54;4.214;5.206;5.495;27.708;0;42.739;1.057;27.260;72.022;11.285;1.824;297;0;113.744;21.996.855
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;12/2015;22.242.276;16.181;136.166;339.497;604.849;155.672;8.884;5;1.261.254;571.785;1.329.317;1.922.607;1.732.328;477.814;520;1.153;6.035.524;30.271;219.066;529.636;805.172;139.211;272;0;1.723.629;8.913;115.459;251.691;653.620;347.206;2.742.866;1.733.189;5.852.944;502.968;3.077.061;528.165;8;0;0;19.236;4.127.438;34.780;101.616;1.218.603;224.371;1.744;0;0;1.581.114;265.402;602.410;501.626;76.189;9.915;27.110;2.969;1.485.621;174.753
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;12/2015;16.648.484;129.074;750.872;2.018.572;3.390.370;1.398.904;567.260;111;8.255.162;36.420;366.630;1.373.250;184.142;20.775;50.310;3;2.031.530;533;13.859;37.297;52.068;11.461;100;0;115.317;2.501;48.829;131.639;340.632;314.290;1.233.425;953.321;3.024.636;38.370;71.228;7.127;0;0;0;0;116.725;21.048;155.267;696.021;370.061;272.743;332.695;39.939;1.887.774;112.304;537.642;177.898;216.151;99.753;73.472;120;1.217.340;0
PAN;31.323;b1;C;2;;199;SAO PAULO;SP;12/2015;13.189.348;58.068;427.331;1.142.949;2.053.213;913.416;316.115;0;4.911.092;5.891;8.049;19.320;8.784;7;0;0;42.050;173.701;637.325;1.569.802;2.667.922;511.300;701;0;5.560.752;1.369;6.954;18.241;38.469;28.182;68.448;21.805;183.467;231.922;1.112.776;159.638;15.605;765;115;0;1.520.821;0;0;0;0;0;0;0;0;20.303;56.733;228.464;289.378;129.952;218.673;27.663;971.166;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;;8;SAO PAULO;SP;12/2015;9.927.004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;146.452;266.369;2.946.275;1.160.524;568.951;330.352;0;5.418.922;125.596;223.762;1.614.192;1.624.601;738.204;181.728;0;4.508.082;0
