Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;12/2016;502.271.739;1.826.243;5.845.927;14.907.972;24.512.654;11.377.776;5.437.883;368;63.908.824;1.163.968;1.216.975;2.153.549;1.569.114;14.150;0;6.155;6.123.912;444.035;1.558.766;3.628.731;4.548.446;426.320;365;1.001;10.607.666;1.584.562;12.140.230;32.346.079;73.821.730;58.529.215;155.069.007;57.649.207;391.140.031;1.980.091;5.929.143;1.692.516;147.415;12;0;0;9.749.178;221.025;312.908;1.905.524;824.124;459.838;175.712;0;3.899.131;2.438.888;4.040.011;3.720.932;3.608.445;1.452.363;1.494.582;87.777;16.842.998;0
BB;49.906;b1;C;1;;199;BRASILIA;DF;12/2016;304.667.144;175.906;4.532.042;11.833.607;23.611.297;14.339.252;7.827.555;357.822;62.677.482;515.040;3.230.565;6.803.759;9.278.581;4.093.536;1.703.001;948.192;26.572.674;55.904;796.872;1.912.302;2.381.900;342.263;116;24.704;5.514.062;33.046;588.471;1.198.272;3.160.212;3.090.090;14.940.923;18.430.710;41.441.723;1.083.578;19.786.231;3.057.381;80.898;35;0;672.568;24.680.690;1.842.859;10.150.145;47.045.194;32.378.306;20.742.857;20.983.392;1.100.711;134.243.464;359.175;1.030.325;2.316.539;1.381.400;924.144;836.289;234.859;7.082.731;2.454.319
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;12/2016;226.355.720;424.283;3.954.370;10.100.412;18.781.820;9.522.375;1.854.834;32;44.638.126;646.120;1.621.339;2.450.724;3.821.907;909.096;23.937;0;9.473.122;289.329;2.032.396;4.747.085;7.219.366;1.130.431;1.961;0;15.420.568;69.992;650.560;1.391.786;3.678.714;3.453.861;13.874.174;12.079.303;35.198.390;4.720.593;40.683.017;13.418.618;202.354;15;0;0;59.024.597;2.021;44.283;499.265;179.184;79.155;24.475;0;828.383;1.946.660;4.913.942;3.341.679;4.944.927;1.786.724;220.360;0;17.154.292;44.618.242
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;12/2016;170.107.840;235.557;4.377.434;10.469.802;16.314.516;6.295.455;1.184.871;462;38.878.097;1.454.711;5.287.462;5.911.787;3.168.777;214.869;7.285;34;16.044.925;418.111;3.255.065;7.359.649;8.184.411;731.543;2.566;4;19.951.350;82.978;613.596;1.348.382;3.451.785;3.184.975;12.438.063;9.643.222;30.763.001;5.376.277;20.047.806;8.725.341;259.688;454;1;0;34.409.568;443.959;1.140.691;7.022.824;3.425.702;1.509.341;785.201;0;14.327.717;2.209.000;5.702.601;3.043.523;3.054.511;836.200;307.941;34.713;15.188.491;544.691
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;12/2016;129.770.914;304.669;1.926.283;4.785.666;7.175.132;2.678.383;923.894;214;17.794.242;332.902;963.598;2.016.142;2.856.802;817.951;64.160;100;7.051.655;560.585;4.454.146;10.325.439;12.550.288;1.461.977;14.817;2.390;29.369.641;43.142;1.106.988;2.674.159;5.585.335;4.050.660;9.701.751;3.991.206;27.153.241;1.389.329;15.327.836;4.254.572;489.966;129.701;43.457;26;21.634.887;70.850;272.137;1.556.647;888.354;387.809;251.561;0;3.427.357;1.560.954;3.980.315;3.171.315;3.603.766;1.473.746;545.414;881;14.336.390;9.003.500
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;12/2016;32.885.717;84.282;494.968;1.106.190;1.411.789;451.166;54.602;0;3.602.997;9.528;17.581;127.430;29.658;6.352;5.512;0;196.061;655.969;4.153.118;9.540.844;11.590.942;1.325.031;779;0;27.266.683;0;0;0;0;0;0;0;0;300.246;993.260;302.789;412;0;0;0;1.596.706;75;3.748;22.973;55.714;17.592;4.624;0;104.727;10;7.884;39.374;68.189;3.085;0;0;118.542;0
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;12/2016;17.457.717;122.625;760.093;2.026.358;3.407.465;1.584.327;726.815;119;8.627.800;40.009;366.587;415.084;157.437;50.767;38.974;4;1.068.863;513;9.369;23.162;31.249;3.479;55;0;67.827;2.588;48.599;135.492;351.319;326.150;1.273.620;960.459;3.098.228;43.861;747.940;167.331;127;0;0;0;959.260;29.660;128.843;692.688;380.791;268.955;320.941;7.263;1.829.141;116.224;1.000.770;245.399;242.300;117.961;83.847;97;1.806.598;0
PAN;31.323;b1;C;2;;199;SAO PAULO;SP;12/2016;15.341.684;79.481;628.747;1.694.478;3.007.276;1.429.912;571.091;0;7.410.984;15.594;56.005;117.700;126.325;9.811;3;0;325.438;192.283;728.307;1.576.820;1.858.667;208.213;245;0;4.564.535;966;6.237;15.617;33.672;25.544;56.722;10.720;149.478;285.065;1.618.269;146.492;18.834;1.099;350;0;2.070.109;0;0;0;0;0;0;0;0;24.706;62.218;172.215;254.240;120.278;177.703;9.779;821.139;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;;8;SAO PAULO;SP;12/2016;9.205.721;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76.667;246.544;2.279.183;1.058.729;493.336;306.058;0;4.460.518;53.596;164.784;1.962.101;1.635.524;736.151;193.047;0;4.745.203;0
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;12/2016;8.327.458;9.577;296.975;789.738;1.422.207;721.520;151.242;0;3.391.258;6.860;135.203;227.812;147.126;31.777;3.837;0;552.616;36.233;579.060;1.383.999;1.699.087;167.643;52;0;3.866.074;21;351;294;1.050;1.050;799;0;3.566;1.337;131.884;32.201;20;0;0;0;165.442;2;26.449;41.192;29.995;17.023;3.244;0;117.905;4.092;161.804;35.086;9.026;76;889;0;210.972;19.625
BNP PARIBAS;51.516;b1;C;3;;199;SAO PAULO;SP;12/2016;8.217.990;45.083;507.979;1.407.064;2.359.340;1.051.417;148.469;0;5.519.352;900;10.531;20.991;5.939;0;0;0;38.361;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;162.048;1.714.074;517.623;69.728;0;0;0;2.463.472;0;0;6.671;2.095;2.095;0;0;10.861;33.256;48.632;70.066;33.966;21;0;0;185.942;0
