Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;12/2018;684.564.499;112.831.493;492.628.781;29.649.606;0;0;22;34.920.452;0;0;431.361;3.686.366;0;0;10.357.649;58.768;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;12/2018;630.208.603;375.696.776;62.272.688;13.957.144;4.506.492;64.439;4.667;89.947.067;0;39.518.619;2.083.972;293.381;0;0;3.912.265;79.732;37.871.362
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;12/2018;554.859.269;244.868.128;46.952.289;6.770.998;2.429.880;858.004;10.912.416;23.608.414;38.670;208.416;421.092;37.186;0;0;4.779;394.101;217.354.895
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;12/2018;463.031.453;238.490.812;55.437.036;8.028.489;2.568.178;18.050;17.541.255;38.712.356;1.035.303;0;1.910.015;195.353;0;41.055;0;416.879;98.636.671
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;12/2018;304.159.608;208.484.296;44.500.134;5.109.307;894.477;147;135.126;18.334.698;921.169;0;514.134;305.358;0;760;675.809;125.988;24.158.206
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;12/2018;296.606.737;53.387.032;31.963;201.467.517;7.755.207;6.725.899;8.214.026;1.568.117;8.785.812;0;25.292;8.645.871;0;0;0;0;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;12/2018;69.260.629;41.060.731;336.388;1.034.012;452.934;0;9.631;17.582.959;234.611;0;31.839;123;0;2.846;0;1.191;8.513.365
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;12/2018;50.271.837;42.728.251;701.668;374.655;52.221;70.957;428.804;4.054.160;34.828;0;0;39.357;0;0;241.244;6.227;1.539.466
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;12/2018;33.342.998;24.036.686;5.484.765;189.454;12.573;0;8.783;3.353.198;19.905;0;45.792;0;0;0;47.539;16.251;128.053
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;12/2018;21.145.832;17.232.580;94.017;246.696;44.453;0;0;3.525.606;0;0;0;0;0;0;2.479;0;0
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;12/2018;20.277.331;19.015.997;314.606;0;0;0;0;521.043;0;0;300.503;70.381;0;0;41.663;13.137;0
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;12/2018;19.586.427;2.162.795;67.631;2.571.504;0;209.819;0;5.516.411;0;0;43.167;39.462;0;0;64.083;0;8.911.556
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;12/2018;18.216.597;13.345.200;2.990;52.121;137.314;0;135.698;2.541.683;625.007;222.466;119;8.110;0;1.478;734.327;1.863;408.219
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;12/2018;17.109.347;11.728.838;0;1.270;0;0;3.877.257;1.481.687;0;0;0;0;0;0;0;20.294;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;12/2018;14.323.553;9.714.124;0;1.184.130;902.851;0;0;2.291.924;7.966;0;0;0;0;0;222.511;48;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;12/2018;13.578.611;8.809.662;54.491;3.194.872;0;0;0;0;570.320;0;526.995;0;0;3.999;418.269;2;0
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;12/2018;12.978.938;3.051.075;0;225.942;118.909;0;664;6.873.674;55.842;0;0;18.883;0;0;697.345;1;1.936.603
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;12/2018;12.351.494;8.799.902;0;2.980;0;0;0;3.548.476;135;0;0;0;0;0;0;1;0
BANCO GMAC S.A.;59.274.605;b2;I;3;S3;8;SAO PAULO;SP;12/2018;10.579.107;10.579.105;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;12/2018;10.543.329;6.220.802;24.676;968.937;0;0;1.398.730;547.187;0;22;1.363.400;0;0;19.006;0;570;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;12/2018;10.498.467;9.114.824;178.928;302.063;242.167;0;382.539;277.871;0;0;0;0;0;0;0;75;0
MERCEDES-BENZ;51.262;b2;C;3;S3;198;SAO PAULO;SP;12/2018;9.628.891;6.662.667;165.367;1.474.062;945.572;0;0;0;381.223;0;0;0;0;0;0;0;0
CCB;32.119;b1;C;3;S3;199;SAO PAULO;SP;12/2018;9.033.615;2.405.536;14.398;0;0;0;0;1.109.472;0;1.437.552;12.488;0;0;0;0;317;4.053.852
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;12/2018;8.953.216;8.590.215;0;359.785;0;0;0;0;3.216;0;0;0;0;0;0;0;0
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;12/2018;8.794.868;8.043.144;0;0;0;0;19.660;402.768;0;0;0;0;0;0;25.779;4.553;298.963
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;12/2018;8.547.534;7.562.920;916.499;45.186;0;0;21.417;0;0;0;1.242;0;0;0;0;269;0
BANCO CSF S.A.;8.357.240;b2;I;3;S3;8;SAO PAULO;SP;12/2018;7.690.216;7.658.126;0;0;0;0;0;0;0;0;0;0;0;0;0;32.090;0
JOHN DEERE;50.071;b1;C;3;S4;199;INDAIATUBA;SP;12/2018;7.558.766;7.052.902;0;106.622;26.699;346.559;0;0;25.984;0;0;0;0;0;0;0;0
BANCOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;12/2018;7.463.835;6.742.391;0;174.890;0;0;0;430.756;16.335;0;0;90.663;0;0;0;8.800;0
ALFA;51.293;b1;C;2;S3;199;SAO PAULO;SP;12/2018;7.296.444;5.412.932;0;250.310;165.484;0;3.634;1.339.921;124.095;0;0;0;0;0;0;67;0
NU PAGAMENTOS S.A.;18.236.120;n4;I;2;;41;SAO PAULO;SP;12/2018;7.050.101;7.050.101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PORTO SEGURO;51.444;n1;C;2;S4;197;SAO PAULO;SP;12/2018;6.656.941;6.645.134;0;0;0;0;0;0;0;0;0;0;0;0;0;11.806;0
BANCO TOYOTA DO BRASIL S.A.;3.215.790;b2;I;3;S4;8;SAO PAULO;SP;12/2018;6.169.272;6.156.906;0;0;0;0;0;12.365;0;0;0;0;0;0;0;1;0
ORIGINAL;51.781;b1;C;2;S3;199;SAO PAULO;SP;12/2018;5.973.309;3.378.943;0;0;0;0;0;1.231.756;0;0;5.536;0;0;0;1.318.367;1.552;37.154
MERCANTIL DO BRASIL;20.152;b1;C;2;S3;199;BELO HORIZONTE;MG;12/2018;5.648.144;4.420.259;135.932;0;0;0;292.654;754.014;5.303;0;17;0;0;0;0;5.197;34.769
BANCO FIDIS S/A;62.237.425;b2;I;3;S4;8;BETIM;MG;12/2018;5.413.650;5.413.650;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;S4;8;PORTO ALEGRE;RS;12/2018;5.395.263;5.254.592;0;40.307;32.446;0;0;59.810;8.109;0;0;0;0;0;0;0;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;S3;5;BELO HORIZONTE;MG;12/2018;5.193.284;1.747.776;116.001;1.393.083;0;0;70;16.601;759.267;7.271;206.134;212.620;0;10.821;723.639;0;0
BANCO DO ESTADO DO PARÁ S.A.;4.913.711;b1;I;1;S4;8;BELEM;PA;12/2018;4.237.605;4.232.425;0;0;390;0;331;0;0;0;4.223;0;0;0;0;235;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.464.032;n1;I;2;S4;14;SAO PAULO;SP;12/2018;4.152.411;4.011.040;0;0;0;0;0;0;0;0;0;0;0;0;0;141.371;0
BANESTES;30.159;b1;C;1;S3;199;VITORIA;ES;12/2018;4.109.360;2.452.036;525.967;39.953;2.688;0;2.470;958.098;0;0;13.884;0;0;0;112.816;1.450;0
