Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
BB;49906;b1;;C;1;BRASILIA;DF;12/2000;138.363.406;47.519.704;130.398.405;109.113.079;7.965.001;584.250;7.965.001;8,54%;0,00%;2.933;1.471
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;12/2000;126.080.241;69.991.573;123.010.217;74.193.987;3.070.024;266.355;3.070.024;5,04%;0,00%;1.697;247
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;12/2000;101.140.806;78.382.090;89.308.987;67.570.754;11.831.818;344.741;11.831.818;12,38%;0,00%;5;0
BRADESCO;10045;b1;;C;2;SAO GONCALO;RJ;12/2000;83.448.796;38.800.789;75.355.147;64.427.526;8.093.650;780.479;8.093.650;13,21%;0,00%;2.602;459
ITAU;10069;b1;;C;2;SAO PAULO;SP;12/2000;65.439.168;21.795.832;57.696.851;48.812.449;7.742.316;1.098.008;7.742.316;15,13%;0,00%;2.044;948
UNIBANCO;10100;b1;;C;2;SAO PAULO;SP;12/2000;48.485.067;18.441.161;42.873.438;35.777.555;5.611.629;396.483;5.611.629;16,38%;0,00%;925;598
BANESPA;30135;b1;;C;3;SAO PAULO;SP;12/2000;29.360.872;5.544.746;27.325.894;15.550.282;2.034.979;-2.409.896;2.034.979;13,88%;0,00%;575;741
ABN AMRO;10076;b1;;C;3;SAO PAULO;SP;12/2000;28.936.799;11.909.720;24.204.286;15.699.415;4.732.513;140.719;4.732.513;23,50%;0,00%;685;569
SANTANDER BRASIL;30379;b1;;C;3;SAO PAULO;SP;12/2000;25.179.166;7.171.564;23.047.038;18.184.169;2.132.128;106.639;2.132.128;14,36%;0,00%;421;140
SAFRA;10083;b1;;C;2;SAO PAULO;SP;12/2000;25.097.583;6.963.737;23.633.421;20.836.082;1.464.162;148.697;1.464.162;13,07%;0,00%;81;9
HSBC;51152;b1;;C;3;CURITIBA;PR;12/2000;21.556.682;6.996.721;19.971.016;15.051.812;1.585.666;100.300;1.666.266;14,62%;0,00%;993;450
BANKBOSTON;30300;b1;;C;3;SAO PAULO;SP;12/2000;21.131.246;6.066.545;19.934.705;13.546.849;1.196.541;144.407;1.196.541;11,19%;0,00%;92;10
NOSSA CAIXA - NOSSO BANCO S.A.;43073394;b1;;I;1;SAO PAULO;SP;12/2000;18.475.844;2.297.247;17.341.492;15.728.691;1.134.352;140.503;1.134.352;25,83%;0,00%;487;113
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;12/2000;17.140.461;7.748.157;15.124.708;9.982.431;2.015.753;303.148;2.015.753;12,69%;0,00%;88;4
