Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;12/2001;5.666.726;12.614.332;62.464.219;42.410.208;-2.184.870;40.225.338;89.073;661.516;295.202;-16.859;1.028.931;30.786.045;8.917.304;3.712.331;165.415.226;295.202;165.120.025
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;12/2001;194.367;2.528;7.737.701;33.875.883;-1.282.679;32.593.205;0;0;0;0;0;1.935.548;60.192.521;12.037.604;114.693.473;0;114.693.473
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;12/2001;476.450;4.823.752;42.632.383;19.660.935;-3.383.795;16.277.139;0;0;0;0;0;6.514.642;28.123.208;2.483.077;101.330.651;0;101.330.651
BRADESCO;10045;b1;;C;2;SAO GONCALO;RJ;12/2001;3.037.163;3.866.989;24.757.006;37.888.854;-2.757.494;35.131.359;88.326;2.912.617;1.290.682;-122.619;4.169.006;14.225.300;5.631.901;5.545.969;96.364.693;1.290.682;95.074.011
ITAU;10069;b1;;C;2;SAO PAULO;SP;12/2001;1.884.774;10.069.403;14.952.605;24.103.169;-1.962.677;22.140.492;204.485;2.468.426;1.330.085;-112.983;3.890.012;13.354.813;5.662.739;8.012.689;79.967.527;1.330.085;78.637.442
SANTANDER BANESPA;30379;b1;;C;3;SAO PAULO;SP;12/2001;2.463.458;2.846.816;26.325.440;11.607.193;-938.824;10.668.370;180.831;941.108;462.659;-77.195;1.507.403;10.189.746;1.785.997;2.111.828;57.899.058;462.659;57.436.399
UNIBANCO;10100;b1;;C;2;SAO PAULO;SP;12/2001;933.912;4.454.053;12.662.833;20.626.570;-1.090.223;19.536.347;30.435;1.634.630;924.439;-72.545;2.516.958;6.391.757;1.858.189;4.324.128;52.678.177;924.439;51.753.738
ABN AMRO;10076;b1;;C;3;SAO PAULO;SP;12/2001;559.974;1.271.270;9.757.139;11.875.790;-597.326;11.278.464;206.166;1.043.583;466.656;-301.165;1.415.240;4.468.262;1.406.878;2.430.903;32.588.129;466.656;32.121.472
SAFRA;10083;b1;;C;2;SAO PAULO;SP;12/2001;2.324.565;2.335.121;11.985.599;7.359.418;-175.104;7.184.314;31.148;2.346.118;1.107.694;-96.431;3.388.530;3.238.926;465.299;521.090;31.443.442;1.107.694;30.335.748
BANKBOSTON;30300;b1;;C;3;SAO PAULO;SP;12/2001;469.337;8.083.398;4.764.836;8.648.056;-236.103;8.411.953;87.060;383.649;55.373;-16.861;509.221;2.592.022;516.707;474.053;25.821.526;55.373;25.766.153
