Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
BANCO DO BRASIL S.A.;0;BB;49906;;b1;1;1;BRASILIA;DF;06/2005;25.869.433;31.606.595;749.074;34.986.760;10.721.419;103.933.280;36.242.008;0;0;0;0;0;0;23.600.577;163.775.866;1.519.085;40.800.321;206.095.272;114.457;15.392.613;221.602.342
CAIXA ECONOMICA FEDERAL;360305;;;;b1;1;6;BRASILIA;DF;06/2005;5.974.866;50.173.393;0;36.271.412;6.906.210;99.325.881;22.492.565;0;0;0;0;10.759.554;10.759.554;13.211.445;145.789.445;124.552;14.269.370;160.183.367;0;6.777.559;166.960.926
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;;;;b4;1;4;RIO DE JANEIRO;RJ;06/2005;353.918;0;0;0;16.772.014;17.125.932;0;0;0;0;0;0;0;41.027.883;58.153.815;51.321;88.616.748;146.821.883;0;15.064.727;161.886.610
BANCO BRADESCO S.A.;60746948;BRADESCO;10045;;b1;2;8;OSASCO;SP;06/2005;14.773.038;24.517.141;15.175.284;28.797.353;156.488;83.419.303;20.013.871;0;0;0;1.912.451;800.197;2.712.648;14.516.785;120.662.607;1.553.487;16.727.252;138.943.346;2.777;17.448.450;156.394.573
BANCO ITAÚ S.A.;60701190;ITAU;10069;;b1;2;8;SAO PAULO;SP;06/2005;9.364.878;18.319.348;35.220.644;8.892.237;216.075;72.013.181;18.858.423;0;0;0;1.369.702;0;1.369.702;2.215.550;94.456.857;1.590.856;23.977.749;120.025.461;6.813;8.460.985;128.493.259
UNIBANCO-UNIAO DE BANCOS BRASILEIROS S.A.;33700394;UNIBANCO;10100;;b1;2;8;SAO PAULO;SP;06/2005;3.052.548;5.161.290;2.244.304;25.470.487;1.116;35.929.745;4.754.976;0;0;0;2.318.899;225.985;2.544.884;6.910.851;50.140.456;426.095;7.362.735;57.929.286;10.728;8.659.700;66.599.714
BANCO ABN AMRO REAL S.A.;33066408;ABN AMRO;10076;;b1;3;8;SAO PAULO;SP;06/2005;3.707.425;5.421.447;3.916.279;20.782.013;17.485;33.844.649;3.159.576;0;0;0;3.469.479;233.869;3.703.348;2.883.617;43.591.190;1.047.277;7.952.217;52.590.684;7.981;8.731.520;61.330.185
HSBC BANK BRASIL S.A. - BANCO MULTIPLO;1701201;HSBC;51152;;b1;3;8;CURITIBA;PR;06/2005;3.570.522;1.610.592;1.804.564;21.962.860;8.547;28.957.084;4.712.974;0;0;0;0;0;0;2.114.325;35.784.383;1.192.950;5.786.147;42.763.479;12.813;2.884.520;45.660.812
BANCO SANTANDER BRASIL S.A.;61472676;SANTANDER BANESPA;30379;;b1;3;8;SAO PAULO;SP;06/2005;556.394;347.483;3.014.966;11.483.794;12.208;15.414.845;10.268.240;0;0;0;0;0;0;2.804.105;28.487.189;827.891;7.022.878;36.337.958;16.575;1.509.448;37.863.981
BANCO SAFRA S.A.;58160789;SAFRA;10083;;b1;2;8;SAO PAULO;SP;06/2005;966.367;475.448;574.926;5.514.004;24.709;7.555.454;6.220.418;0;0;0;738.219;16.245;754.464;2.930.061;17.460.397;6.716.960;4.674.355;28.851.713;12.187;3.535.380;32.399.280
