Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BANCO DO BRASIL S.A.;0;BB;49906;;b1;1;1;BRASILIA;DF;09/2005;231.501.625;85.601.415;214.675.372;166.631.999;16.826.253;1.437.953;3.981;1.333
CAIXA ECONOMICA FEDERAL;360305;;;;b1;1;6;BRASILIA;DF;09/2005;175.357.488;36.686.836;168.007.285;152.561.381;7.350.203;297.836;1.875;449
BANCO BRADESCO S.A.;60746948;BRADESCO;10045;;b1;2;8;OSASCO;SP;09/2005;164.556.482;56.393.020;146.294.889;126.152.050;18.261.594;1.430.228;2.924;948
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;;;;b4;1;4;RIO DE JANEIRO;RJ;09/2005;161.979.677;60.558.426;146.243.303;56.916.699;15.736.374;636.764;4;0
BANCO ITAÚ S.A.;60701190;ITAU;10069;;b1;2;8;SAO PAULO;SP;09/2005;137.348.600;25.547.204;129.808.507;107.657.368;7.540.093;333.589;2.231;742
UNIBANCO-UNIAO DE BANCOS BRASILEIROS S.A.;33700394;UNIBANCO;10100;;b1;2;8;SAO PAULO;SP;09/2005;71.103.596;25.712.062;62.117.569;53.586.333;8.986.027;474.807;929;469
BANCO ABN AMRO REAL S.A.;33066408;ABN AMRO;10076;;b1;3;8;SAO PAULO;SP;09/2005;63.377.506;27.837.067;54.478.807;46.489.778;8.898.699;179.097;777;729
HSBC BANK BRASIL S.A. - BANCO MULTIPLO;1701201;HSBC;51152;;b1;3;8;CURITIBA;PR;09/2005;49.627.509;19.054.833;46.654.849;38.932.516;2.972.660;110.505;931;406
BANCO SANTANDER BRASIL S.A.;61472676;SANTANDER BANESPA;30379;;b1;3;8;SAO PAULO;SP;09/2005;46.956.146;10.919.743;45.437.307;39.627.697;1.518.839;6.267;229;79
CIA ITAULEASING DE ARRENDAMENTO MERCANTIL;49925225;ITAU;10069;;n1;2;19;SAO PAULO;SP;09/2005;37.627.843;6.429.975;22.176.075;14.672.034;15.451.768;478.640;2;0
