Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
BANCO DO BRASIL S.A.;0;BB;49906;;b1;1;1;BRASILIA;DF;12/2006;3.960.121;28.962.454;69.103.184;110.074.808;-8.159.641;101.915.167;5.633;102.121;1.076;-1.962;106.868;40.565.687;29.195.873;9.853.883;283.663.236;1.076;283.662.160
BANCO BRADESCO S.A.;60746948;BRADESCO;10045;;b1;2;8;OSASCO;SP;12/2006;4.561.262;44.252.763;52.874.537;62.186.063;-5.349.365;56.836.699;0;0;0;0;0;19.791.975;20.028.863;36.357.088;234.703.187;0;234.703.187
CAIXA ECONOMICA FEDERAL;360305;;;;b1;1;6;BRASILIA;DF;12/2006;1.715.323;16.865.765;93.680.526;45.688.652;-4.468.699;41.219.953;0;0;0;0;0;9.106.219;44.536.806;2.408.244;209.532.835;0;209.532.835
BANCO ITAÚ S.A.;60701190;ITAU;10069;;b1;2;8;SAO PAULO;SP;12/2006;2.787.100;48.405.544;40.342.870;28.996.356;-4.349.235;24.647.120;631.772;1.272.607;651.199;-29.073;2.526.505;18.566.841;15.432.336;40.668.801;193.377.118;651.199;192.725.919
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;;;;b4;1;4;RIO DE JANEIRO;RJ;12/2006;2.234;783;13.489.617;70.514.338;-3.393.410;67.120.928;0;0;0;0;0;3.627.221;83.155.112;17.749.673;185.145.568;0;185.145.568
BANCO ABN AMRO REAL S.A.;33066408;ABN AMRO;10076;;b1;3;8;SAO PAULO;SP;12/2006;1.670.183;9.248.647;26.523.177;38.600.233;-1.914.346;36.685.887;0;0;0;0;0;28.068.189;7.869.308;12.116.259;122.181.650;0;122.181.650
BANCO SANTANDER BANESPA S.A.;90400888;SANTANDER BANESPA;30379;;b1;3;8;SAO PAULO;SP;12/2006;1.134.209;4.904.310;41.706.216;29.859.575;-1.548.365;28.311.210;0;0;0;0;0;14.260.732;5.549.586;3.196.650;99.062.914;0;99.062.914
UNIBANCO-UNIAO DE BANCOS BRASILEIROS S.A.;33700394;UNIBANCO;10100;;b1;2;8;SAO PAULO;SP;12/2006;1.176.440;22.102.224;17.939.445;28.839.173;-1.598.210;27.240.963;87.778;0;0;-469;87.309;8.082.321;5.834.895;11.488.934;93.952.531;0;93.952.531
BANCO VOTORANTIM S.A.;59588111;VOTORANTIM;51011;;b1;2;8;SAO PAULO;SP;12/2006;13.230;28.053.404;23.086.259;5.368.190;-57.699;5.310.491;0;0;0;0;0;1.003.252;1.440.652;2.692.349;61.599.637;0;61.599.637
BANCO SAFRA S.A.;58160789;SAFRA;10083;;b1;2;8;SAO PAULO;SP;12/2006;166.148;2.188.737;31.729.509;17.167.250;-584.310;16.582.940;0;0;0;0;0;2.798.657;1.845.014;3.249.266;58.560.270;0;58.560.270
