Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k);
;;;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
BANCO DO BRASIL S.A.;0;BB;49906;;b1;1;1;BRASILIA;DF;06/2011;26.422.791;11.316;11.745.886;-817.455;864.107;3.175.198;41.401.843;-21.959.979;-1.443.060;-8.665;0;-4.791.880;-28.203.583;13.198.260;4.011.112;2.312.378;-6.186.770;-5.252.490;-1.574.564;1.405.291;5.909.366;-4.406.649;-3.782.326;9.415.935;107.755;9.523.689;-2.462.219;-799.103;6.262.367;-1.460.600
ITAÚ UNIBANCO S.A.;60701190;ITAU;10069;;b1;2;8;SAO PAULO;SP;06/2011;18.280.431;322.541;17.407.490;587.629;0;4.158.389;40.756.480;-29.214.703;-530.659;-272.436;-132.477;-6.359.761;-36.510.037;4.246.443;1.914.958;1.571.429;-2.556.138;-5.138.732;-843.955;4.042.734;2.785.788;-3.234.659;-1.458.573;2.787.870;146.360;2.934.230;939.722;-892.084;2.981.868;0
BANCO BRADESCO S.A.;60746948;BRADESCO;10045;;b1;2;8;OSASCO;SP;06/2011;16.265.360;1.295.904;15.089.486;1.495.946;0;2.871.048;37.017.744;-24.346.296;-991.771;-1.140.274;-55.778;-3.676.446;-30.210.565;6.807.179;2.275.000;1.360.519;-3.895.215;-4.590.155;-933.960;3.701.634;5.087.914;-4.214.766;-1.209.027;5.598.152;-39.408;5.558.744;-71.316;0;5.487.428;-1.560.353
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER;30379;;b1;3;8;SAO PAULO;SP;06/2011;15.063.397;7.993;7.492.385;1.213.788;745.899;1.855.712;26.379.174;-12.519.916;-354.065;-75.633;0;-4.954.044;-17.903.658;8.475.516;3.043.414;899.269;-2.533.855;-5.027.195;-1.263.985;502.311;2.212.029;-3.944.491;-6.112.502;2.363.014;235.231;2.598.245;-193.222;-587.485;1.817.537;-1.150.000
CAIXA ECONOMICA FEDERAL;360305;;;;b1;1;6;BRASILIA;DF;06/2011;12.688.824;0;8.453.225;-36.825;500;3.320.722;24.426.447;-11.665.175;-2.556.867;0;0;-2.975.824;-17.197.866;7.228.581;5.568.785;567.395;-5.612.652;-3.125.883;-802.659;101.610;2.721.902;-4.710.967;-5.292.469;1.936.113;-110.023;1.826.090;555.423;-107.205;2.274.308;-428.819
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;;;;b4;1;4;RIO DE JANEIRO;RJ;06/2011;12.227.478;0;3.079.728;-803.029;9.980;0;14.514.157;-631.230;-9.094.974;0;0;625.873;-9.100.331;5.413.827;50.582;0;-306.358;-143.045;-155.310;3.182.642;1.050.302;-2.736.401;942.412;6.356.238;5.967;6.362.205;-1.072.507;-10.504;5.279.194;0
HSBC BANK BRASIL S.A. - BANCO MULTIPLO;1701201;HSBC;51152;;b1;3;8;CURITIBA;PR;06/2011;4.798.596;859.755;1.822.007;-43.176;296.980;1.133.338;8.867.500;-4.432.514;-163.465;-618.802;0;-1.096.651;-6.311.431;2.556.069;807.230;325.211;-1.153.612;-1.967.413;-288.299;467.440;575.996;-400.298;-1.633.744;922.325;-8.006;914.319;-156.614;-146.985;610.720;0
BANCO ITAÚ BBA S.A.;17298092;ITAU;10069;;b1;2;8;SAO PAULO;SP;06/2011;1.987.203;628.490;4.160.826;1.263.229;0;180.533;8.220.281;-5.142.330;-362.850;-489.028;-151.826;-160.682;-6.306.716;1.913.565;454.279;2.761;-199.922;-465.715;-131.285;131.207;681.216;-1.010.497;-537.956;1.375.609;70.571;1.446.180;-463.477;-211.400;771.303;0
BANCO ITAUCARD S.A.;17192451;ITAU;10069;;b2;2;8;SAO PAULO;SP;06/2011;5.628.416;1.780.269;230.183;-54.031;0;0;7.584.836;-2.541.117;-219.666;-1.448.869;-60;-1.697.696;-5.907.408;1.677.428;2.207.131;250.412;-32.186;-2.662.869;-297.858;814.756;486.952;-1.592.852;-826.512;850.916;133.227;984.143;-48.477;-2.538;933.128;0
BFB LEASING S.A. ARRENDAMENTO MERCANTIL;43425008;ITAU;10069;;n1;2;19;SAO PAULO;SP;06/2011;133.013;2.286.034;4.154.271;0;0;0;6.573.318;-3.034.278;0;-1.871.437;0;-189.292;-5.095.007;1.478.310;4.893;0;0;-62.601;-273;457.803;19.851;-40.758;378.915;1.857.225;64.387;1.921.613;-582.968;0;1.338.645;0
