Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;09/2014;68.476.426;148.995.605;27.638.128;215.237.141;6.457.399;466.804.700;311.188.772;7.771.827;104.093.829;2.475.177;28.564.674;2.244;142.907.750;104.795.804;1.025.697.026;2.108.999;191.854.442;1.219.660.467;410.386;71.488.952;1.291.559.805
ITAU;10069;b1;;C;2;SAO PAULO;SP;09/2014;59.518.561;113.675.506;3.641.785;119.528.237;627.007;296.991.096;312.369.339;10.218.488;7.044.170;24.261.567;14.921.914;2.219.482;58.665.621;80.819.302;748.845.358;16.805.669;204.402.367;970.053.394;1.280.838;98.217.297;1.069.551.529
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;09/2014;24.573.919;228.727.162;4.738.348;137.322.929;7.679.716;403.042.074;162.868.667;76.210.183;2.423.266;35.457.768;10.021.352;611.658;124.724.227;187.282.119;877.917.087;79.348;112.346.218;990.342.653;0;28.521.935;1.018.864.588
BRADESCO;10045;b1;;C;2;OSASCO;SP;09/2014;33.514.032;87.293.425;676.556;91.264.278;105.975;212.854.266;305.139.889;11.647.542;4.676.898;57.590.198;8.543.050;757.697;83.215.385;56.543.804;657.753.344;5.077.858;106.332.884;769.164.087;262.338;79.411.885;848.838.310
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;09/2014;0;0;0;0;17.336.532;17.336.532;12.285.682;0;724.836;0;21.296.327;0;22.021.164;482.071.337;533.714.716;1.022.503;247.542.752;782.279.971;0;41.221.840;823.501.811
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;09/2014;13.957.541;36.627.149;3.747.317;81.164.373;155.509;135.651.889;109.471.334;21.743.402;2.085.120;36.570.554;11.760.287;1.310.433;73.469.796;35.623.840;354.216.858;5.486.443;104.318.368;464.021.670;340.940;59.197.870;523.560.479
HSBC;51152;b1;;C;3;CURITIBA;PR;09/2014;12.101.603;6.699.962;636.337;36.531.813;276.327;56.246.041;6.404.592;3.731.121;1.794.302;29.067.742;1.892.007;0;36.485.171;8.856.887;107.992.692;4.892.184;27.013.598;139.898.474;0;9.978.097;149.876.571
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;09/2014;224.941;0;690.829;21.041.067;0;21.956.837;34.104.285;774.374;2.445.793;9.947.606;5.553.068;36.055;18.756.896;4.604.712;79.422.731;22.563.228;22.326.564;124.312.523;126.790;14.220.828;138.660.142
SAFRA;10083;b1;;C;2;SAO PAULO;SP;09/2014;720.738;1.488.650;2.837.785;4.099.309;111;9.146.592;60.784.985;2.144.299;3.964.648;14.482.158;2.372.765;894.967;23.858.837;13.069.620;106.860.034;7.768.999;12.551.626;127.180.659;29.105;8.462.038;135.671.802
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;09/2014;281.702;0;1.785.901;3.244.302;0;5.311.904;24.414.618;443.360;2.851.812;12.718.013;6.101.003;1.585.752;23.699.941;6.451.965;59.878.428;1.720.817;29.417.340;91.016.585;35.894;7.682.955;98.735.434
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;09/2014;5.475.248;1.235.758;11.096;7.072.070;94.408;13.888.580;8.140.587;84.648;1.115.647;493.728;0;116.775;1.810.799;4.916.815;28.756.781;4.916.359;20.595.532;54.268.672;22.256;6.911.994;61.202.922
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;09/2014;2.963.194;7.583.331;450.516;22.076.416;5.463;33.078.920;5.815.238;919.739;0;1.874.862;0;0;2.794.600;3.861.141;45.549.899;25.794;7.644.940;53.220.632;16.300;5.419.433;58.656.365
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;09/2014;227.640;1.794.956;1.292.603;7.203.667;939.356;11.458.223;1.604.965;0;57.230;0;1.552.002;0;1.609.232;3.339.525;18.011.945;0;16.648.655;34.660.601;0;3.400.014;38.060.615
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;09/2014;146.115;0;0;1.382.582;0;1.528.697;2.763.295;0;0;0;0;0;0;9.029.882;13.321.874;4.115.315;12.337.104;29.774.292;1.511;3.722.428;33.498.231
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;09/2014;360.939;0;49.548;1.218.362;0;1.628.848;1.343.120;0;0;0;0;0;0;2.051.244;5.023.212;1.161.284;22.112.611;28.297.108;2.954;1.670.166;29.970.228
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;09/2014;154.616;0;0;3.618.113;0;3.772.729;8.025.472;0;0;217.532;0;15.333;232.865;6.910.420;18.941.486;334.170;7.069.533;26.345.189;41.797;3.321.762;29.708.748
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;09/2014;202.983;0;360.941;3.923.649;80.878;4.568.451;3.542.529;0;47.428;2.309.308;0;0;2.356.736;2.325.180;12.792.896;1.679.192;8.985.170;23.457.258;21.063;2.818.846;26.297.166
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;09/2014;46.070;4.346.952;6.629.972;101.991;0;11.124.985;7.495.459;0;89.867;0;0;0;89.867;5.220.046;23.930.357;468;926.644;24.857.469;0;1.058.938;25.916.407
PAN;31323;b1;;C;2;SAO PAULO;SP;09/2014;157.513;0;8.370.303;2.728.346;0;11.256.162;1.481.944;1.396.070;784.323;2.123.569;711.825;0;5.015.787;101.694;17.855.587;26.346;3.746.140;21.628.073;1.780;3.584.566;25.214.419
BANCO VOLKSWAGEN S.A.;59109165;b2;;I;3;SAO PAULO;SP;09/2014;0;0;580.848;3.397.697;0;3.978.545;0;0;0;1.618.911;0;0;1.618.911;11.845.500;17.442.956;55.007;4.850.147;22.348.110;188.730;2.406.350;24.943.190
BANCOOB;51750;b1;;C;2;BRASILIA;DF;09/2014;21.238;2.383.984;14.712.236;96.459;0;17.213.917;1.795.300;0;3.770;0;0;0;3.770;1.586.520;20.599.507;0;1.590.534;22.190.041;21;720.713;22.910.775
SOCIETE GENERALE;31859;b1;;C;3;SAO PAULO;SP;09/2014;4.105;0;0;292.879;0;296.984;253.497;0;0;0;0;0;0;4.439.806;4.990.288;1.066.346;12.612.824;18.669.457;32.185;1.047.557;19.749.199
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;09/2014;49.030;0;383.386;4.111.628;0;4.544.044;25.226;533.404;1.458.812;2.899.735;227.152;0;5.119.103;4.548.063;14.236.436;255.648;2.572.121;17.064.206;24.576;2.127.742;19.216.524
BMG;30290;b1;;C;2;SAO PAULO;SP;09/2014;74.308;0;76.804;5.288.449;0;5.439.562;0;61.748;92.272;1.060.036;1.334.636;0;2.548.692;462.085;8.450.339;104.335;6.540.653;15.095.327;0;3.561.002;18.656.329
BANCO DAYCOVAL S.A.;62232889;b1;;I;2;SAO PAULO;SP;09/2014;325.786;0;305.270;3.345.947;6.924;3.983.927;731.849;373.675;220.958;3.697.037;2.972.421;0;7.264.091;1.674.776;13.654.644;14.126;1.647.372;15.316.142;10.927;2.480.695;17.807.764
BANESTES;30159;b1;;C;1;VITORIA;ES;09/2014;1.287.622;2.453.596;136.702;4.465.613;0;8.343.534;4.519.637;167.319;0;223.719;0;0;391.038;635.929;13.890.138;0;731.632;14.621.770;1.776;1.041.046;15.664.593
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;09/2014;10.939;0;127.243;51.222;0;189.404;460.792;0;2.737.870;0;0;0;2.737.870;8.219.553;11.607.619;64.957;2.104.608;13.777.184;0;1.286.289;15.063.473
BIC;32119;b1;;C;3;SAO PAULO;SP;09/2014;218.785;12.768;407.063;6.612.454;584;7.251.654;23.000;228.251;407.673;164.793;979.036;203;1.779.956;2.334.497;11.389.107;9.532;2.172.392;13.571.031;25.225;1.448.654;15.044.910
ALFA;51293;b1;;C;2;SAO PAULO;SP;09/2014;19.676;0;287.807;371.785;0;679.268;2.000.000;23.143;412.953;5.730.693;0;1.146.937;7.313.727;1.390.856;11.383.850;74.966;1.033.274;12.492.090;32.006;2.078.292;14.602.388
BANCO GMAC S.A.;59274605;b2;;I;3;SAO PAULO;SP;09/2014;0;0;2.533.150;1.301.354;0;3.834.504;0;0;0;712.207;0;0;712.207;0;4.546.711;0;7.503.370;12.050.081;396.677;1.510.219;13.956.977
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;;I;3;SAO PAULO;SP;09/2014;144.387;0;0;2.022.382;0;2.166.769;154.324;0;0;0;0;0;0;2.392.806;4.713.900;328.529;7.500.526;12.542.955;724;1.173.652;13.717.331
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;09/2014;582.900;311.087;95.577;7.175.976;3;8.165.543;943.121;8.492;149.360;245.520;46.488;0;449.860;55.663;9.614.186;0;2.744.730;12.358.916;934;769.682;13.129.532
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;;I;1;PORTO ALEGRE;RS;09/2014;0;0;0;0;0;0;0;0;0;0;0;0;0;10.424.546;10.424.546;0;528.115;10.952.661;3.917;2.052.862;13.009.440
BRB;31976;b1;;C;1;BRASILIA;DF;09/2014;808.412;1.666.605;137.539;6.219.279;6.926;8.838.761;341.083;166.431;0;280.899;0;0;447.329;254.448;9.881.621;0;1.431.074;11.312.695;159;1.133.961;12.446.815
MORGAN STANLEY;51413;b1;;C;3;SAO PAULO;SP;09/2014;0;0;0;4.224.420;0;4.224.420;2.386.032;0;0;0;0;0;0;160.464;6.770.917;1.903.607;1.368.924;10.043.448;0;2.001.906;12.045.354
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;09/2014;777.910;584.942;20.788;1.385.702;577.667;3.347.010;174.998;0;0;0;0;0;0;619.289;4.141.297;0;5.656.441;9.797.738;0;1.666.078;11.463.816
BOFA MERRILL LYNCH;51255;b1;;C;3;SAO PAULO;SP;09/2014;308.903;0;8.856;1.504.375;0;1.822.134;791.593;0;0;0;0;0;0;0;2.613.727;3.341.733;3.798.660;9.754.121;2.613;1.336.239;11.092.973
MERCEDES-BENZ;51262;b2;;C;3;SAO PAULO;SP;09/2014;0;0;324.195;163.150;0;487.346;0;0;0;454.853;0;0;454.853;7.858.477;8.800.676;0;760.637;9.561.313;90.371;1.410.778;11.062.463
PINE;50304;b1;;C;2;SAO PAULO;SP;09/2014;29.738;0;98.035;2.626.825;0;2.754.598;634.551;342.192;599.408;835.200;184.151;0;1.960.951;2.912.816;8.262.916;164.839;1.130.187;9.557.942;77.768;1.273.419;10.909.130
BARCLAYS;51705;b1;;C;3;SAO PAULO;SP;09/2014;23;0;19.274;693.504;0;712.801;1.465.362;0;0;0;115.356;0;115.356;0;2.293.520;292.345;5.296.906;7.882.771;0;590.624;8.473.396
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87437687;b3C;;I;2;PORTO ALEGRE;RS;09/2014;0;0;9.898;0;0;9.898;0;0;0;0;0;0;0;0;9.898;0;7.283.908;7.293.806;0;349.104;7.642.910
BANCO FIBRA S.A.;58616418;b1;;I;2;SAO PAULO;SP;09/2014;59.090;0;67.566;3.004.967;0;3.131.623;101.316;156.902;259.816;946.410;674.823;0;2.037.952;561.160;5.832.050;128.821;623.715;6.584.586;4.687;992.085;7.581.358
BES;51482;b2;;C;3;SAO PAULO;SP;09/2014;0;0;322.570;1.278.934;0;1.601.504;2.414.779;0;137.779;253.203;807.921;0;1.198.904;307.954;5.523.141;537.691;700.934;6.761.765;891;684.284;7.446.941
BANCO IBM S.A.;34270520;b2;;I;3;RIO DE JANEIRO;RJ;09/2014;0;0;23.806;6.638.737;0;6.662.543;0;0;0;0;0;0;0;168.323;6.830.866;0;177.876;7.008.742;0;426.638;7.435.380
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;;I;3;CURITIBA;PR;09/2014;0;0;0;726.638;0;726.638;0;0;106.394;1.103.027;0;0;1.209.421;3.612.378;5.548.437;5.093;260.887;5.814.416;169.897;1.178.547;7.162.860
