Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Capital de Giro;;;;;;;;Investimento;;;;;;;;Capital de Giro Rotativo;;;;;;;;Operações com Recebíveis;;;;;;;;Comércio Exterior;;;;;;;;Outros Créditos;;;;;;;;Financiamento de Infraestrutura/Desenvolvimento/Projeto e Outros Créditos;;;;;;;;Rural e Agroindustrial;;;;;;;;Habitacional;;;;;;;;Total Exterior Pessoa Jurídica;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
BB;49.906;b1;C;1;;199;BRASILIA;DF;12/2014;383.327.346;1.461.345;11.532.725;27.493.990;31.603.502;8.911.326;2.917.336;65.560;83.985.784;81.189;1.358.251;3.953.807;8.092.668;15.172.606;19.779.604;4.765.322;53.203.447;200.448;3.463.500;897.912;497.943;0;0;9.962;5.069.765;579.733;11.508.541;2.858.774;92.560;71.268;526.459;252.185;15.889.520;185.979;5.373.809;8.806.292;243.080;27.141;1.279;0;14.637.579;510.499;3.121.656;2.609.838;3.635.738;1.731.193;4.817.217;65.753;16.491.894;533.358;6.697.432;17.587.234;28.961.417;12.301.024;17.921.385;8.143.345;92.145.196;93.146;6.206.454;14.867.034;11.194.402;7.495.034;3.211.371;20.658;43.088.100;2.132;194.152;1.144.972;3.120.149;551.839;19.654;0;5.032.898;53.783.161
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;12/2014;340.429.962;988.680;9.976.210;14.373.507;14.376.014;1.872.079;546.436;6.661;42.139.587;94.111;1.329.270;3.527.461;4.799.586;1.267.544;135.702;0;11.153.673;794.715;8.498.162;523.238;0;0;0;0;9.816.116;138.790;14.027.150;2.274.560;53.977;2.138;0;0;16.496.615;201.799;2.561.573;4.181.054;4.065.272;1.077.917;475.311;0;12.562.926;536.100;2.909.370;2.566.782;2.521.134;554.025;120.492;0;9.207.905;136.469;3.557.585;9.727.150;18.545.472;6.783.784;5.252.275;299.362;44.302.097;1.072;2.052.227;4.500.301;663.606;412.932;112.950;141;7.743.229;22.813;591.556;3.294.478;4.696.564;599.090;1.006.294;21.385;10.232.180;176.775.634
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;12/2014;333.440.610;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;149.426;11.582.651;29.874.536;80.721.043;60.755.892;127.277.859;22.476.179;332.837.588;0;29.357;68.664;213.420;127.281;164.301;0;603.022;0;0;0;0;0;0;0;0;0
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;12/2014;250.196.180;789.663;9.010.212;16.076.353;16.180.969;2.501.370;475.736;0;45.034.303;180.390;1.951.154;4.027.030;4.217.935;555.010;52.091;24;10.983.634;536.918;8.659.920;2.796.481;2.140;0;0;0;11.995.458;270.855;8.276.276;1.150.719;416.080;302.345;21.909;0;10.438.183;97.786;3.611.478;4.918.250;6.264.840;1.041.815;437.429;0;16.371.598;906.415;2.545.094;1.871.021;2.311.429;789.539;268.969;13.493;8.705.960;112.031;2.773.707;8.113.116;14.427.347;5.170.645;3.536.196;422.539;34.555.582;13.921;992.923;3.284.507;219.901;1.384.732;1.067.829;0;6.963.813;11.872;172.828;1.561.353;8.062.229;4.567.074;3.264.081;130.693;17.770.129;87.377.520
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;12/2014;171.683.237;3.471.490;6.370.823;17.032.531;26.385.471;8.659.289;149.485;0;62.069.089;996.814;465.563;1.275.503;2.857.050;1.792.117;98.702;5;7.485.754;632.232;1.085.832;3.783.937;45.588;25.304;0;0;5.572.892;111.799;1.355.408;84.894;0;0;0;0;1.552.101;3.128;120.778;1.845.607;3.180.820;3.695.557;3.892.857;0;12.738.749;380.728;1.647.033;742.836;37.912;9.178;5.896;0;2.823.584;285.938;5.246.389;7.691.006;16.563.205;9.206.298;23.460.045;6.789.199;69.242.080;0;0;0;0;0;0;0;0;40.004;3.702.999;2.905.020;2.669.311;425.344;444.342;11.970;10.198.989;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;12/2014;123.822.902;755.188;6.562.798;9.575.544;10.058.642;2.295.429;820.383;305.388;30.373.373;93.804;919.737;1.914.613;2.212.000;435.578;721.302;555.050;6.852.084;351.333;4.117.910;1.328.405;451.115;189.787;81.674;409;6.520.633;41.181;12.887.145;3.692.562;171.778;14.426;6.326;605;16.814.022;77.934;4.228.435;4.547.154;4.394.188;468.371;227.334;0;13.943.416;444.030;1.066.782;1.629.665;1.799.918;609.786;272.910;36.198;5.859.290;72.778;1.219.210;2.619.092;4.139.448;1.666.552;866.575;0;10.583.655;5.789;655.378;1.771.978;199.559;70.788;17.485;0;2.720.977;30.289;551.436;2.584.009;4.221.146;215.968;2.185.990;2.388;9.791.227;20.364.225
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;12/2014;47.135.238;139.532;4.850.143;4.873.369;4.138.509;800.528;81.197;0;14.883.278;17.083;764.598;1.032.305;807.333;105.246;5.823;0;2.732.387;58.454;1.726.987;86.766;24.266;0;0;0;1.896.472;2.515;2.510.275;483.733;16.708;58;72.439;0;3.085.727;22.772;1.471.308;1.579.503;707.668;685.794;704.049;0;5.171.095;15.125;40.400;51.409;11.343;20.684;20.684;0;159.645;39.827;1.047.090;2.421.569;3.143.553;805.932;462.573;0;7.920.545;8.705;422.714;689.985;23.725;12.725;5.102;0;1.162.956;0;11.521;70.903;264.861;16.799;0;0;364.085;9.759.049
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;12/2014;46.004.739;186.150;2.974.599;4.010.472;3.770.181;629.098;47.951;0;11.618.451;15.593;207.848;491.477;606.898;82.280;18;0;1.404.113;85.661;1.514.208;676.769;44.206;0;0;0;2.320.845;46.484;3.980.384;676.590;17.056;1.232;976;3.779;4.726.501;252.784;2.401.958;2.902.593;2.079.713;575.068;124.323;1.038;8.337.477;143.720;92.995;51.558;89.263;71.091;56.981;1.610;507.219;22.247;595.564;1.289.009;1.424.762;366.952;180.701;0;3.879.235;14.313;424.005;1.827.680;153.082;13.467;7.147;0;2.439.694;7.358;381.912;687.201;349.939;43.463;0;0;1.469.873;9.301.331
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;12/2014;17.804.214;469.116;752.349;1.052.998;1.268.628;539.973;169.650;0;4.252.714;27.505;205.036;533.012;479.723;21.073;1;0;1.266.350;1.578;9.059;0;0;0;0;0;10.637;0;132.391;6.686;0;0;0;0;139.078;74.279;465.686;1.188.635;949.244;681.895;539.349;0;3.899.088;609.191;631.054;42.334;1.047;0;0;0;1.283.626;12.260;291.668;731.652;1.159.475;532.513;565.474;1.645;3.294.687;415;73.008;217.155;73.594;31.411;9.451;0;405.033;0;0;0;0;0;0;0;0;3.253.002
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;12/2014;16.350.444;921.279;1.517.884;1.682.520;1.183.501;265.667;234.556;187.479;5.992.885;0;192.462;913.924;1.010.170;163.863;62.618;0;2.343.036;0;16.575;19.139;0;0;0;0;35.713;50.970;367.288;111.269;282.273;118.422;63.555;655;994.432;25.074;34.087;685.029;0;0;0;0;744.190;415;11.658;8.040;23.373;18.305;48.267;0;110.058;0;3.290;6.780;37.936;89.115;474.670;1.076.130;1.687.922;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.442.208
