Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BB;49906;b1;;C;1;BRASILIA;DF;03/2015;1.365.384.594;680.859.599;1.291.697.842;1.084.112.773;73.686.752;5.760.593;5.549;1.499
ITAU;10069;b1;;C;2;SAO PAULO;SP;03/2015;1.206.461.770;468.049.346;1.103.312.494;817.674.973;103.149.276;5.783.162;3.886;925
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;03/2015;1.078.421.169;626.809.481;1.051.950.657;928.406.290;26.470.512;1.174.255;3.401;841
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;03/2015;892.413.411;353.057.765;861.600.876;595.878.486;30.812.535;1.585.371;4;0
BRADESCO;10045;b1;;C;2;OSASCO;SP;03/2015;880.778.819;352.434.838;796.189.715;682.158.747;84.589.104;4.254.340;4.678;1.264
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;03/2015;620.001.841;257.974.042;561.421.648;395.350.752;58.580.194;721.574;2.745;1.160
HSBC;51152;b1;;C;3;CURITIBA;PR;03/2015;187.333.844;67.215.074;177.727.920;120.228.521;9.605.924;-108.702;856;454
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;03/2015;161.999.426;18.958.702;146.531.605;87.602.459;15.467.821;937.274;13;0
SAFRA;10083;b1;;C;2;SAO PAULO;SP;03/2015;152.054.699;55.934.402;142.984.340;124.264.089;9.070.359;456.607;111;6
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;03/2015;105.734.915;54.505.521;98.056.203;66.064.160;7.678.712;121.854;111;0
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;03/2015;73.479.173;17.548.411;66.661.769;34.554.498;6.817.404;132.803;134;18
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;03/2015;60.728.726;31.026.989;54.987.984;46.917.232;5.740.742;147.032;530;206
SOCIETE GENERALE;31859;b1;;C;3;SAO PAULO;SP;03/2015;41.161.528;3.662.817;40.279.478;6.287.024;882.050;-144.685;5;0
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;03/2015;40.735.282;9.430.148;37.883.424;15.422.374;2.851.858;65.021;10;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;03/2015;39.409.982;13.743.280;36.372.572;19.239.744;3.037.410;56.772;295;3
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;03/2015;38.036.056;1.806.178;34.184.507;13.032.375;3.851.549;94.733;8;0
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;03/2015;36.927.460;6.018.510;33.579.003;23.973.938;3.348.458;-72.640;10;0
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;03/2015;30.989.103;3.480.423;29.285.380;7.790.649;1.703.722;47.806;3;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;03/2015;29.363.941;13.765.461;28.247.115;27.240.320;1.116.826;33.537;5;0
PAN;31323;b1;;C;2;SAO PAULO;SP;03/2015;26.252.140;17.843.203;22.554.878;18.263.080;3.697.262;-86.638;4;0
BANCO VOLKSWAGEN S.A.;59109165;b2;;I;3;SAO PAULO;SP;03/2015;25.946.245;21.752.279;23.238.157;19.176.931;2.708.088;86.718;1;0
BANCOOB;51750;b1;;C;2;BRASILIA;DF;03/2015;23.761.055;9.356.606;22.953.173;21.312.410;807.882;20.500;4;0
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;03/2015;23.134.261;11.564.665;20.858.365;16.998.588;2.275.896;80.255;6;0
BANCO DAYCOVAL S.A.;62232889;b1;;I;2;SAO PAULO;SP;03/2015;19.745.837;11.381.212;17.151.238;15.171.232;2.594.600;105.087;39;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;03/2015;19.721.326;13.253.473;18.357.710;15.316.500;1.363.616;20.443;17;0
BOFA MERRILL LYNCH;51255;b1;;C;3;SAO PAULO;SP;03/2015;18.593.467;489.324;17.208.671;2.541.537;1.384.795;35.235;2;0
BMG;30290;b1;;C;2;SAO PAULO;SP;03/2015;17.350.013;7.851.574;14.134.739;8.817.650;3.215.274;31.879;23;0
BIC;32119;b1;;C;3;SAO PAULO;SP;03/2015;15.822.819;9.051.861;14.784.437;12.368.364;1.038.381;-177.770;36;0
BANESTES;30159;b1;;C;1;VITORIA;ES;03/2015;15.783.041;4.342.428;14.692.587;13.986.099;1.090.454;38.777;135;27
MORGAN STANLEY;51413;b1;;C;3;SAO PAULO;SP;03/2015;15.570.794;0;13.502.830;7.514.706;2.067.964;66.086;2;0
BANCO GMAC S.A.;59274605;b2;;I;3;SAO PAULO;SP;03/2015;14.734.397;12.121.427;13.167.596;5.702.503;1.566.802;48.372;1;0
ALFA;51293;b1;;C;2;SAO PAULO;SP;03/2015;14.455.569;7.634.136;12.332.487;11.071.658;2.123.082;29.217;46;1
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;;I;1;PORTO ALEGRE;RS;03/2015;13.752.554;11.566.643;11.643.619;11.107.280;2.108.936;41.340;3;0
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;;I;3;SAO PAULO;SP;03/2015;13.360.314;1.854.497;12.139.549;5.818.318;1.220.765;26.198;2;0
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;03/2015;13.315.885;8.717.415;12.601.363;9.927.313;714.523;5.158;194;3
BRB;31976;b1;;C;1;BRASILIA;DF;03/2015;12.984.068;9.256.424;11.802.689;10.293.319;1.181.380;19.604;117;8
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;03/2015;12.282.778;3.554.106;10.506.115;4.100.148;1.776.663;62.338;124;3
MERCEDES-BENZ;51262;b2;;C;3;SAO PAULO;SP;03/2015;11.052.634;10.755.031;9.686.035;9.001.227;1.366.599;-20.106;2;0
PINE;50304;b1;;C;2;SAO PAULO;SP;03/2015;10.589.641;5.981.039;9.345.859;7.993.894;1.243.782;10.060;12;0
BARCLAYS;51705;b1;;C;3;SAO PAULO;SP;03/2015;10.379.140;0;9.808.866;2.453.289;570.274;-6.303;1;0
GOLDMAN SACHS;51585;b2;;C;3;SAO PAULO;SP;03/2015;9.377.721;147.721;8.223.019;3.258.182;1.154.702;30.708;2;0
BANCO IBM S.A.;34270520;b2;;I;3;RIO DE JANEIRO;RJ;03/2015;8.016.172;3.991.560;7.615.192;7.434.692;400.980;-3.129;2;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;;I;3;CURITIBA;PR;03/2015;7.943.165;6.704.164;6.746.234;6.396.345;1.196.931;36.304;1;0
BANCO FIBRA S.A.;58616418;b1;;I;2;SAO PAULO;SP;03/2015;7.698.433;3.792.829;6.787.428;5.830.471;911.005;-137.310;8;0
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87437687;b3C;;I;2;PORTO ALEGRE;RS;03/2015;7.679.937;260.345;7.327.264;0;352.673;3;0;0
ING;51073;b1;;C;3;SAO PAULO;SP;03/2015;7.203.915;2.381.447;6.359.359;4.786.660;844.556;19.033;2;0
CREDIT AGRICOLE;51066;b1;;C;3;SAO PAULO;SP;03/2015;6.993.153;1.390.837;6.205.227;2.677.959;787.926;1.634;3;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;;I;1;BELO HORIZONTE;MG;03/2015;6.641.214;5.275.537;4.897.771;4.384.483;1.743.442;12.658;1;0
BES;51482;b2;;C;3;SAO PAULO;SP;03/2015;6.269.187;1.387.157;5.612.080;4.150.322;657.107;-3.662;5;0
JOHN DEERE;50071;b1;;C;3;INDAIATUBA;SP;03/2015;5.897.573;5.912.400;5.158.075;4.878.963;739.497;21.040;2;0
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;;I;3;SAO PAULO;SP;03/2015;5.882.764;3.791.014;5.322.132;4.850.279;560.632;17.386;1;0
BANCO CLASSICO S.A.;31597552;b1;;I;2;RIO DE JANEIRO;RJ;03/2015;5.812.280;0;1.257.225;4;4.555.056;165;1;0
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;;I;2;BRASILIA;DF;03/2015;5.673.607;1.058.111;636.827;505.629;5.036.779;35.680;54;0
J.MALUCELLI;30881;b1;;C;2;CURITIBA;PR;03/2015;5.660.626;3.764.057;4.283.989;4.217.503;1.376.637;39.185;2;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;;I;3;PORTO ALEGRE;RS;03/2015;5.528.913;4.912.566;4.720.723;4.397.866;808.190;891;1;0
BANCO FIDIS S/A;62237425;b2;;I;3;BETIM;MG;03/2015;5.366.874;4.274.035;4.802.250;4.725.371;564.624;12.531;2;0
INDUSVAL;50531;b1;;C;2;SAO PAULO;SP;03/2015;5.256.827;2.775.758;4.585.452;4.225.625;671.376;-6.743;14;0
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;;I;1;BELEM;PA;03/2015;5.219.661;3.132.424;4.630.851;4.414.147;588.810;19.494;66;43
ORIGINAL;51781;b1;;C;2;SAO PAULO;SP;03/2015;5.145.840;2.674.184;3.030.631;2.627.105;2.115.209;31.477;2;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;;I;3;SAO PAULO;SP;03/2015;4.444.423;1.121.779;3.706.074;2.836.185;738.348;24.263;1;0
PORTO SEGURO;51444;n1;;C;2;SAO PAULO;SP;03/2015;4.376.759;4.235.403;3.884.910;992.865;491.849;47.118;3;0
BANCO CSF S.A.;8357240;b2;;I;3;SAO PAULO;SP;03/2015;4.371.243;4.230.567;3.142.333;220.073;1.228.910;114.624;1;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;;I;1;PORTO ALEGRE;RS;03/2015;4.290.181;3.708.593;3.521.495;3.449.832;768.686;-7.574;1;0
BANCO VOLVO BRASIL S.A.;58017179;b2;;I;3;CURITIBA;PR;03/2015;4.197.234;4.047.095;3.509.545;3.305.639;687.689;8.705;1;0
COOPERATIVA CENTRAL DE CRÉDITO E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;;I;2;CURITIBA;PR;03/2015;4.070.393;101.600;3.914.412;89;155.980;0;0;0
BANCO CATERPILLAR S.A.;2658435;b2;;I;3;SAO PAULO;SP;03/2015;4.031.281;3.671.498;3.353.326;3.293.412;677.954;-5.228;1;0
SOFISA;31873;b1;;C;2;SAO PAULO;SP;03/2015;3.987.703;1.896.961;3.312.481;3.114.504;675.222;21.461;17;0
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;;I;1;ARACAJU;SE;03/2015;3.903.381;1.830.885;3.621.742;3.267.444;281.639;4.266;62;9
