Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Sudeste;Centro-oeste;Nordeste;Norte;Sul;Região não Informada;Total Exterior;
BB;49.906;b1;C;1;;199;BRASILIA;DF;12/2015;705.255.067;330.657.333;80.393.830;77.479.248;29.263.905;118.388.040;2.014.630;67.058.082
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;12/2015;673.708.539;335.752.167;80.036.119;104.517.272;27.855.419;123.883.799;1.663.763;0
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;12/2015;538.694.716;218.514.751;20.636.154;41.229.787;11.196.633;47.160.095;7.021.519;192.935.777
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;12/2015;434.977.483;173.557.924;24.872.919;43.422.294;14.234.578;45.152.203;6.452.301;127.285.265
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;12/2015;391.671.844;237.706.772;35.302.105;45.419.872;6.395.046;29.582.932;37.265.116;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;12/2015;260.218.400;147.977.798;14.590.310;22.096.501;5.340.377;32.095.470;1.840.171;36.277.774
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;12/2015;71.483.400;33.593.604;5.618.764;5.074.173;2.128.378;13.811.158;1.229.656;10.027.668
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;12/2015;66.123.684;5.084.408;2.778.097;313.185;541;533.883;20.871;57.392.699
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;12/2015;51.546.602;25.394.975;3.700.292;7.717.401;1.841.814;9.686.565;436.683;2.768.873
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;12/2015;49.648.872;23.879.326;3.171.012;3.692.366;1.067.342;6.469.527;563.785;10.805.514
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;12/2015;31.138.785;4.101.774;444.602;1.073.699;364.815;24.665.663;218.114;270.116
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;12/2015;21.088.345;15.270.607;811.577;1.268.045;682.312;2.961.754;94.050;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;12/2015;18.007.756;7.949.705;1.697.161;3.380.288;1.122.690;3.843.544;14.368;0
PAN;31.323;b1;C;2;;199;SAO PAULO;SP;12/2015;17.317.364;8.507.709;2.329.031;3.001.832;1.182.251;2.081.020;215.520;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;;8;SAO PAULO;SP;12/2015;16.189.739;5.475.980;7.694.300;1.378.892;49.267;1.591.300;0;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;;11;PORTO ALEGRE;RS;12/2015;14.573.338;47.950;3.822.653;3.378;45.654;10.645.530;8.173;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;12/2015;13.838.841;2.445.522;595.660;10.530.306;134.563;83.872;48.919;0
DAYCOVAL;51.987;b1;C;2;;199;SAO PAULO;SP;12/2015;13.678.525;7.114.736;1.501.158;2.370.503;645.206;1.821.138;81.973;143.811
ABC-BRASIL;41.856;b1;C;3;;199;SAO PAULO;SP;12/2015;12.523.337;5.350.415;775.415;649.880;180.788;1.815.809;247;3.750.783
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;;5;PORTO ALEGRE;RS;12/2015;12.356.388;466.454;291.920;12.607;2.450;11.581.230;1.728;0
BNP PARIBAS;51.516;b1;C;3;;199;SAO PAULO;SP;12/2015;11.648.565;7.068.850;893.030;1.126.158;428.222;1.701.445;430.860;0
BANCO GMAC S.A.;59.274.605;b2;I;3;;8;SAO PAULO;SP;12/2015;11.055.925;4.528.173;1.226.829;2.285.723;847.319;2.159.040;8.842;0
BANCOOB;51.750;b1;C;2;;199;BRASILIA;DF;12/2015;10.514.249;6.281.039;828.983;151.874;608.594;2.535.476;108.283;0
MERCEDES-BENZ;51.262;b2;C;3;;198;SAO PAULO;SP;12/2015;9.745.835;5.400.172;696.807;1.368.392;309.325;1.970.999;140;0
BRB;31.976;b1;C;1;;199;BRASILIA;DF;12/2015;9.494.274;466.767;8.865.227;74.080;52.024;25.004;11.172;0
BMG;30.290;b1;C;2;;199;SAO PAULO;SP;12/2015;8.632.005;4.710.292;1.128.521;989.558;566.999;1.063.896;172.738;0
MERCANTIL DO BRASIL;20.152;b1;C;2;;199;BELO HORIZONTE;MG;12/2015;8.060.554;5.896.193;383.038;999.775;116.919;481.552;183.078;0
CREDIT SUISSE;30.771;b1;C;3;;199;SAO PAULO;SP;12/2015;7.943.556;3.027.944;281.888;404.531;0;234.666;0;3.994.528
ALFA;51.293;b1;C;2;;199;SAO PAULO;SP;12/2015;7.655.784;4.489.309;959.565;807.031;210.640;1.152.771;36.468;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;;8;CURITIBA;PR;12/2015;6.669.239;1.542.317;1.781.340;538.052;236.291;2.568.944;2.295;0
CCB;32.119;b1;C;3;;199;SAO PAULO;SP;12/2015;6.221.691;2.566.622;649.252;1.068.884;130.056;963.211;24.240;819.425
JOHN DEERE;50.071;b1;C;3;;199;INDAIATUBA;SP;12/2015;6.133.680;853.848;2.956.471;609.546;300.677;1.407.293;5.845;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;;5;BELO HORIZONTE;MG;12/2015;5.893.047;5.697.678;64.629;73.950;5.384;51.390;17;0
DEUTSCHE;51.183;b1;C;3;;199;SAO PAULO;SP;12/2015;5.122.433;3.306.006;124.956;100.837;4.115;140.488;1;1.446.030
BANCO CSF S.A.;8.357.240;b2;I;3;;8;SAO PAULO;SP;12/2015;5.034.438;2.961.322;379.963;485.682;143.712;403.308;660.450;0
PORTO SEGURO;51.444;n1;C;2;;197;SAO PAULO;SP;12/2015;4.560.707;3.513.030;212.058;338.158;53.862;278.724;164.874;0
BANCO FIDIS S/A;62.237.425;b2;I;3;;8;BETIM;MG;12/2015;4.552.135;2.150.007;517.842;813.813;237.676;832.623;173;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;;8;PORTO ALEGRE;RS;12/2015;4.507.563;1.285.811;955.654;393.485;130.611;1.739.850;2.152;0
ORIGINAL;51.781;b1;C;2;;199;SAO PAULO;SP;12/2015;4.255.482;2.384.007;967.356;439.673;110.839;346.944;6.663;0
ING;51.073;b1;C;3;;199;SAO PAULO;SP;12/2015;4.216.692;3.468.532;0;321.791;0;426.369;0;0
PINE;50.304;b1;C;2;;199;SAO PAULO;SP;12/2015;4.061.348;2.369.880;268.554;362.281;74.648;476.365;109;509.511
BANCO VOLVO BRASIL S.A.;58.017.179;b2;I;3;;8;CURITIBA;PR;12/2015;4.052.656;1.427.179;440.563;520.448;251.658;1.412.659;149;0
PARANÁ BANCO;30.881;b1;C;2;;199;CURITIBA;PR;12/2015;3.987.998;1.044.489;147.511;115.153;26.637;2.561.305;92.902;0
BANCO DA AMAZONIA S.A.;4.902.979;b1;I;1;;2;BELEM;PA;12/2015;3.977.323;1.393.649;921.997;496.990;1.089.930;71.667;3.090;0
BANCO FIBRA S.A.;58.616.418;b1;I;2;;8;SAO PAULO;SP;12/2015;3.956.520;1.799.885;516.901;573.167;39.273;408.357;18.213;600.725
BANCO TOYOTA DO BRASIL S.A.;3.215.790;b2;I;3;;8;SAO PAULO;SP;12/2015;3.937.050;1.589.068;523.242;800.899;359.160;662.883;1.799;0
BANESTES;30.159;b1;C;1;;199;VITORIA;ES;12/2015;3.909.697;3.761.933;8.508;40.267;62.047;5.903;31.039;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2.885.855;n1;I;1;;30;PORTO ALEGRE;RS;12/2015;3.552.007;137.675;9.925;348;814;3.403.244;1;0
HONDA;51.396;b2;C;3;;198;SAO PAULO;SP;12/2015;3.482.667;1.243.494;553.756;993.843;396.683;280.525;14.366;0
BANCO IBM S.A.;34.270.520;b2;I;3;;8;RIO DE JANEIRO;RJ;12/2015;3.447.894;2.962.785;42.904;161.659;66.579;213.961;5;0
BANCO DO ESTADO DO PARÁ S.A.;4.913.711;b1;I;1;;8;BELEM;PA;12/2015;3.357.976;9.901;5.291;15.774;3.315.786;1.422;9.800;0
BANCO CATERPILLAR S.A.;2.658.435;b2;I;3;;8;SAO PAULO;SP;12/2015;3.308.762;1.294.900;313.795;446.383;354.791;898.892;0;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60.518.222;b1;I;3;;8;SAO PAULO;SP;12/2015;3.247.353;1.331.997;0;197.271;166.753;67.865;1;1.483.467
SOCIETE GENERALE;31.859;b1;C;3;;199;SAO PAULO;SP;12/2015;3.022.892;2.816.930;18.480;54.238;2.707;126.795;3.743;0
BANCO CARGILL S.A.;3.609.817;b1;I;3;;8;SAO PAULO;SP;12/2015;2.889.298;1.086.507;952.762;705.442;5.322;139.265;0;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.464.032;n1;I;2;;14;SAO PAULO;SP;12/2015;2.784.462;532.595;155.283;481.186;137.133;124.183;1.354.083;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CREDICITRUS;54.037.916;b3S;I;2;;9;BEBEDOURO;SP;12/2015;2.399.483;2.361.156;34.886;596;365;1.701;779;0
OMNI;50.940;n1;C;2;;197;SAO PAULO;SP;12/2015;2.254.377;1.051.909;165.656;226.473;89.320;487.187;233.833;0
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60.779.196;n1;I;2;;14;SAO PAULO;SP;12/2015;2.185.368;1.053.246;146.152;447.071;166.097;255.902;116.900;0
INTERMEDIUM;51.884;b1;C;2;;199;BELO HORIZONTE;MG;12/2015;2.127.648;1.383.229;222.617;223.101;18.951;229.842;49.908;0
