Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Quantidade de Clientes;Quantidade de Operações;
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;03/2016;27.399.219;134.012.139
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;03/2016;23.337.384;142.814.233
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;03/2016;14.360.670;51.414.520
BB;49.906;b1;C;1;;199;BRASILIA;DF;03/2016;12.146.725;46.926.937
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;03/2016;9.777.826;33.894.596
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;03/2016;4.940.894;21.000.326
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;03/2016;3.743.354;6.656.183
BMG;30.290;b1;C;2;;199;SAO PAULO;SP;03/2016;2.453.854;6.201.769
PAN;31.323;b1;C;2;;199;SAO PAULO;SP;03/2016;1.869.503;4.768.344
BANCO CSF S.A.;8.357.240;b2;I;3;;8;SAO PAULO;SP;03/2016;1.857.340;5.138.451
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;03/2016;1.684.204;5.866.138
BNP PARIBAS;51.516;b1;C;3;;199;SAO PAULO;SP;03/2016;1.592.098;7.275.228
OMNI;50.940;n1;C;2;;197;SAO PAULO;SP;03/2016;1.139.242;2.960.777
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60.779.196;n1;I;2;;14;SAO PAULO;SP;03/2016;1.046.630;1.721.899
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.464.032;n1;I;2;;14;SAO PAULO;SP;03/2016;994.703;22.797.673
PORTO SEGURO;51.444;n1;C;2;;197;SAO PAULO;SP;03/2016;904.067;1.828.734
MERCANTIL DO BRASIL;20.152;b1;C;2;;199;BELO HORIZONTE;MG;03/2016;793.798;2.117.014
DAYCOVAL;51.987;b1;C;2;;199;SAO PAULO;SP;03/2016;746.445;1.767.650
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;03/2016;719.867;1.053.029
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;03/2016;708.767;4.814.400
BANCO GMAC S.A.;59.274.605;b2;I;3;;8;SAO PAULO;SP;03/2016;583.390;648.438
DACASA FINANCEIRA;51.891;n1;C;2;;197;VITORIA;ES;03/2016;532.352;2.381.313
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;03/2016;488.245;779.373
SOCIETE GENERALE;31.859;b1;C;3;;199;SAO PAULO;SP;03/2016;482.604;2.496.484
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;03/2016;477.700;621.074
BANCOOB;51.750;b1;C;2;;199;BRASILIA;DF;03/2016;448.306;986.281
HONDA;51.396;b2;C;3;;198;SAO PAULO;SP;03/2016;444.244;473.241
PARANÁ BANCO;30.881;b1;C;2;;199;CURITIBA;PR;03/2016;390.413;1.687.074
BRB;31.976;b1;C;1;;199;BRASILIA;DF;03/2016;265.328;1.162.349
BANESTES;30.159;b1;C;1;;199;VITORIA;ES;03/2016;245.803;821.162
INTERMEDIUM;51.884;b1;C;2;;199;BELO HORIZONTE;MG;03/2016;198.332;427.860
BANCO DO ESTADO DE SERGIPE S.A.;13.009.717;b1;I;1;;8;ARACAJU;SE;03/2016;186.903;620.503
NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS;4.379.829;n1;I;2;;14;CURITIBA;PR;03/2016;180.348;622.611
CCB;32.119;b1;C;3;;199;SAO PAULO;SP;03/2016;179.435;338.434
ALFA;51.293;b1;C;2;;199;SAO PAULO;SP;03/2016;174.249;363.844
BANCO DO ESTADO DO PARÁ S.A.;4.913.711;b1;I;1;;8;BELEM;PA;03/2016;172.451;622.838
