Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;09/2016;498.294.536;2.143.136;5.904.542;14.575.947;23.918.589;10.951.820;5.437.572;210;62.931.817;1.375.037;1.148.633;2.055.930;2.130.232;94.730;0;3;6.804.564;501.644;1.616.753;3.727.788;4.763.696;443.087;295;0;11.053.263;1.952.791;12.044.751;32.182.629;73.376.749;58.078.767;152.988.057;56.244.635;386.868.378;2.162.231;5.606.380;1.528.110;149.786;24;0;0;9.446.531;292.221;535.380;1.477.505;842.765;477.997;191.695;0;3.817.564;3.103.815;4.373.013;3.642.130;3.122.941;1.508.777;1.532.129;89.613;17.372.418;0
BB;49.906;b1;C;1;;199;BRASILIA;DF;09/2016;302.548.624;176.116;4.397.053;12.003.719;23.754.654;14.242.623;8.115.402;326.481;63.016.048;511.301;3.068.404;8.736.010;9.410.630;4.214.057;1.832.159;774.013;28.546.575;58.682;852.064;2.113.939;2.635.230;389.839;92;26.776;6.076.622;37.176;560.186;1.169.540;3.095.100;3.010.000;14.623.315;18.027.073;40.522.388;1.133.288;18.251.504;2.851.793;83.635;47;0;587.312;22.907.578;1.832.254;15.214.178;38.066.911;33.161.927;20.642.752;21.713.845;1.174.925;131.806.792;332.813;1.128.388;2.887.218;1.350.042;891.249;834.822;164.531;7.589.063;2.083.556
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;09/2016;226.811.772;401.372;4.013.707;10.316.360;19.314.103;9.727.410;1.865.321;27;45.638.300;702.054;1.964.731;2.600.052;3.960.510;945.340;78.136;0;10.250.824;341.145;2.186.044;5.005.335;7.367.407;1.051.958;1.659;0;15.953.547;69.128;579.585;1.396.557;3.634.041;3.413.593;13.701.249;11.963.803;34.757.955;4.981.808;38.625.301;11.966.141;178.387;4;0;0;55.751.640;1.498;135.394;245.201;218.266;86.910;28.657;0;715.927;2.027.397;5.673.849;3.377.581;5.019.024;1.805.203;230.377;0;18.133.431;45.610.147
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;09/2016;168.668.964;223.868;4.004.762;10.273.419;16.184.661;6.318.262;1.173.755;566;38.179.292;1.482.204;5.566.060;6.096.256;4.060.028;579.464;8.517;5.894;17.798.423;434.208;3.266.949;7.502.832;8.536.436;769.221;2.788;4;20.512.438;74.464;600.608;1.333.090;3.427.604;2.880.099;12.688.161;9.596.074;30.600.101;5.304.848;19.085.356;7.423.861;236.722;649;1;26.619;32.078.056;417.052;2.910.505;5.012.899;3.625.871;1.460.584;736.063;374;14.163.349;1.913.686;5.481.372;3.421.574;2.641.478;780.856;329.855;24.768;14.593.589;743.715
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;09/2016;124.373.531;290.669;1.833.112;4.589.766;6.769.770;2.473.239;810.843;207;16.767.607;341.794;884.076;1.939.469;2.595.476;647.665;64.880;97;6.473.458;608.911;4.463.623;10.296.272;12.195.807;1.272.543;15.706;2.307;28.855.169;48.693;1.105.253;2.660.206;5.545.839;4.033.242;9.698.737;3.982.753;27.074.722;1.393.023;13.865.912;3.790.160;489.968;128.223;41.481;24;19.708.791;41.299;848.217;1.097.947;932.682;365.797;207.873;0;3.493.815;1.545.923;4.532.540;3.169.557;3.645.771;1.482.303;542.534;739;14.919.367;7.080.603
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;09/2016;32.702.657;89.109;521.566;1.197.714;1.525.913;494.233;57.567;0;3.886.102;10.357;78.183;29.947;27.134;9.394;4.877;0;159.892;689.962;4.170.814;9.491.498;11.430.620;1.193.070;1.236;0;26.977.200;0;0;0;0;0;0;0;0;293.950;899.370;261.907;204;0;0;0;1.455.431;224;6.016;19.699;53.911;25.514;3.575;0;108.938;37;27.524;21.545;53.665;12.324;0;0;115.093;0
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;09/2016;16.611.202;121.257;758.384;1.981.869;3.289.292;1.457.192;625.185;112;8.233.290;47.027;581.012;363.416;163.360;39.131;43.238;3;1.237.186;628;11.125;25.900;35.697;5.085;67;0;78.502;3.539;48.795;133.007;347.485;321.786;1.256.011;953.057;3.063.680;56.635;695.454;146.430;133;0;0;0;898.652;46.523;142.571;539.879;375.847;288.431;336.477;5.568;1.735.296;130.721;643.948;166.495;231.752;110.374;81.209;97;1.364.595;0
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;09/2016;15.691.167;0;0;0;0;0;0;0;0;41.979;24.474;111.319;56.721;64.161;0;0;298.654;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;111;72.237;6.349;3.082;1.174;79;0;83.032;15.309.480
PAN;31.323;b1;C;2;;199;SAO PAULO;SP;09/2016;14.995.772;73.730;609.501;1.656.777;2.956.179;1.402.207;569.107;0;7.267.501;4.571;4.889;12.146;3.196;129;1;0;24.931;178.748;709.871;1.584.069;2.034.777;235.283;238;0;4.742.986;1.041;6.535;16.445;35.573;26.946;60.252;11.521;158.314;313.514;1.477.760;138.727;20.309;953;108;0;1.951.371;0;0;0;0;0;0;0;0;46.719;71.323;154.877;250.888;127.408;188.238;11.216;850.669;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;;8;SAO PAULO;SP;09/2016;8.704.248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57.726;722.103;1.541.532;1.251.325;502.562;294.984;0;4.370.232;125.450;429.582;1.306.563;1.610.343;663.957;198.121;0;4.334.016;0
BRB;31.976;b1;C;1;;199;BRASILIA;DF;09/2016;8.083.232;26.695;384.570;975.784;1.960.257;962.607;286.666;0;4.596.580;19.395;399.848;387.925;672.593;253.218;84.905;0;1.817.883;2.889;19.901;48.530;62.666;8.333;3;0;142.324;752;27.765;80.755;210.724;200.219;249.839;0;770.054;10;1.593;97;0;0;0;0;1.699;18.445;45.890;65.425;67.466;46.705;52.026;0;295.958;14.185;34.191;183.565;48.015;19.756;8.044;150.977;458.732;4
