Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;03/2017;701.198.444;140.938.808;465.741.021;28.894.096;0;8;50.242.993;0;0;615.817;4.239.112;0;0;9.218.822;1.307.767;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;03/2017;622.171.502;353.619.072;60.623.918;17.844.478;170.154;35.711;105.452.359;0;43.099.922;2.188.627;248.109;0;0;4.044.264;1.612.118;33.232.770
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;03/2017;525.772.633;215.686.425;46.450.581;10.142.161;963.778;4.010.921;28.473.282;115.777;791.091;468.805;95.898;0;0;5.738;5.829.075;212.739.100
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;03/2017;421.050.975;191.039.946;55.809.890;26.264.085;14.566;12.639.334;41.289.016;182.798;370.625;3.569.069;0;0;9.051;0;6.695.623;83.166.972
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;03/2017;333.189.240;61.585.981;246;225.898.265;6.839.709;12.387.545;3.033.925;13.161.628;0;17.097;10.243.956;0;0;20.886;1;0
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;03/2017;255.829.247;155.846.258;44.408.545;6.937.205;6.453;199.523;20.931.713;1.079.556;0;156.390;590.542;0;3.459;10.013;1.869.609;23.789.983
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;03/2017;52.095.049;23.308.109;495.746;2.732.324;0;1.758.859;13.641.805;322.110;0;109.750;440;0;11.419;0;48.223;9.666.263
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;03/2017;46.364.428;37.242.854;11.377;1.086.364;59.571;1.522.942;4.491.500;111.511;0;0;94.917;0;0;0;231.799;1.511.591
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;03/2017;29.473.641;18.497.339;5.561.029;289.326;0;1.011.120;3.674.253;0;0;45.731;0;0;0;0;258.944;135.899
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;03/2017;20.266.416;14.262.540;1.137.476;468.809;0;0;4.247.322;58.432;0;0;0;0;0;0;91.837;0
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;03/2017;19.840.200;16.265.850;590.565;0;0;0;1.936.398;0;0;392.515;110.875;0;0;218.706;325.291;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;03/2017;16.853.045;15.409.075;0;152.367;0;947.603;340.209;0;0;0;0;0;0;0;3.791;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;03/2017;15.893.599;13.689.442;145.385;242.144;0;0;1.806.076;0;0;0;7.841;0;0;2.710;0;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;03/2017;13.874.551;10.715.701;0;1.145.867;0;0;2.006.791;0;0;0;0;0;0;0;6.192;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;03/2017;13.500.448;9.315.549;40.843;2.712.510;0;0;0;0;0;545.325;0;0;351;885.550;322;0
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;03/2017;12.890.447;9.842.403;2.942;189.201;0;68.832;1.444.476;317.225;141.102;221;0;0;17.418;586.509;61.712;218.408
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;03/2017;12.359.893;9.235.274;0;57.816;0;1.890.446;704.661;0;0;0;0;0;0;3.436;468.260;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;03/2017;12.356.113;6.416.445;27.112;1.150.237;0;1.325.700;1.036.194;0;20;2.322.387;0;0;29.066;0;48.951;0
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;03/2017;11.962.646;2.872.880;0;636.337;0;7.224;5.808.820;37.651;0;0;20.847;0;0;455.677;62;2.123.148
BANCOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;03/2017;11.773.113;11.187.237;62.127;222.787;0;0;160.239;0;0;0;0;0;0;0;140.722;0
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;03/2017;11.508.848;562.404;79.640;2.380.571;64.494;0;4.310.102;0;0;76.044;277.549;0;0;200.870;6;3.557.167
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;03/2017;9.303.579;7.913.636;1.083.564;70.224;0;219.867;0;0;0;11.429;0;0;0;0;4.849;11
BANCO GMAC S.A.;59.274.605;b2;I;3;S3;8;SAO PAULO;SP;03/2017;8.199.203;8.193.020;0;0;0;0;0;0;0;0;0;0;0;0;6.183;0
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;03/2017;7.799.195;6.652.818;0;0;0;33.624;848.538;0;0;0;0;0;0;57.561;206.653;0
MERCEDES-BENZ;51.262;b2;C;3;S3;198;SAO PAULO;SP;03/2017;7.752.138;6.113.827;0;1.269.769;0;0;0;368.526;0;0;0;0;0;0;16;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;03/2017;7.336.079;7.118.672;0;215.780;0;0;0;1.626;0;0;0;0;0;0;0;0
JOHN DEERE;50.071;b1;C;3;S4;199;INDAIATUBA;SP;03/2017;7.162.814;6.721.344;0;111.130;305.962;0;0;24.376;0;0;0;0;0;0;0;0
CCB;32.119;b1;C;3;S3;199;SAO PAULO;SP;03/2017;7.101.120;2.919.209;18.426;0;0;0;1.848.543;0;514.504;16.453;0;0;0;0;26.133;1.757.852
ALFA;51.293;b1;C;2;S3;199;SAO PAULO;SP;03/2017;6.718.258;4.883.136;0;713.455;0;5.304;933.597;156.941;0;0;0;0;0;0;25.825;0
MERCANTIL DO BRASIL;20.152;b1;C;2;S3;199;BELO HORIZONTE;MG;03/2017;6.303.975;4.705.625;110.790;0;0;282.077;1.093.942;0;0;1.743;0;0;0;0;109.797;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;S3;5;BELO HORIZONTE;MG;03/2017;5.995.060;2.120.530;11.255;1.498.203;0;114;37.258;379.885;14.127;200.147;540.751;0;13.720;1.178.936;134;0
CREDIT SUISSE;30.771;b1;C;3;S2;199;SAO PAULO;SP;03/2017;5.382.997;551.629;0;0;0;0;1.379.109;0;0;0;1.277.851;0;0;0;0;2.174.409
BANCO CSF S.A.;8.357.240;b2;I;3;S3;8;SAO PAULO;SP;03/2017;5.367.099;4.797.378;0;0;0;0;0;0;0;0;0;0;0;0;569.721;0
PORTO SEGURO;51.444;n1;C;2;S4;197;SAO PAULO;SP;03/2017;5.008.137;4.856.519;0;0;0;0;0;0;0;0;0;0;0;0;151.618;0
ORIGINAL;51.781;b1;C;2;S3;199;SAO PAULO;SP;03/2017;4.859.573;2.685.799;0;0;0;0;1.200.413;0;0;3.722;0;0;0;744.860;27.138;197.642
