Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;09/2017;699.937.601;364.360.001;76.292.178;124.010.783;67.059.173;29.478.745;12.740.680;4.089.176;4.088.357;17.818.509;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;09/2017;615.254.117;278.519.093;59.981.462;125.754.594;62.018.802;11.354.053;13.988.013;4.978.902;4.905.264;20.115.159;33.638.774
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;09/2017;502.780.994;117.238.393;120.003.850;17.332.180;13.658.642;7.809.807;5.960.285;4.878.150;3.505.797;12.181.028;200.212.860
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;09/2017;405.042.015;99.254.366;116.708.240;37.085.173;33.107.326;10.028.656;5.630.722;4.206.475;2.952.810;19.027.190;77.041.056
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;09/2017;316.591.664;51.157.487;84.140.268;119.377.851;40.430.717;6.053.202;11.154.521;1.799.084;44.085;2.434.449;0
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;09/2017;262.143.391;86.936.842;94.857.470;17.988.413;13.027.042;11.006.196;4.534.102;2.916.429;1.938.509;7.873.862;21.064.526
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;09/2017;53.943.687;29.775.792;10.936.041;1.456.539;808.184;575.984;49.664;46.080;17.586;1.160.460;9.117.357
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;09/2017;47.052.749;3.209.031;19.901.078;8.819.113;8.762.125;1.651.831;581.715;367.731;449.471;1.743.976;1.566.679
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;09/2017;29.625.570;2.670.450;17.915.350;3.755.324;1.592.711;737.964;351.859;365.719;530.929;1.590.879;114.385
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;09/2017;18.527.509;0;14.392.307;1.158.654;823.602;705.507;355.357;201.539;159.212;731.332;0
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;09/2017;17.249.334;5.700.619;6.685.634;2.465.215;327.373;889.775;150.776;122.674;131.284;775.986;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;09/2017;15.692.946;1.910.176;3.890.461;7.518.441;714.867;959.884;354.662;86.571;17.810;240.075;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;09/2017;13.948.573;6.340.748;5.952.816;480.656;341.790;172.039;280.493;103.372;35.630;241.029;0
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;09/2017;13.311.604;208;6.116.603;4.737.737;1.237.417;157.588;148.630;66.079;94.136;621.824;131.383
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;09/2017;13.117.720;1.137.752;2.798.335;1.091.458;721.539;1.658.344;85.914;469.362;984;566.981;4.587.051
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;09/2017;13.091.473;1.982.738;9.027.805;695.772;693.334;92.070;59.564;172.629;57.425;310.136;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;09/2017;12.857.115;466.962;7.766.537;1.845.561;1.288.561;530.662;281.385;102.038;62.848;512.561;0
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;09/2017;12.620.595;693.945;4.002.804;3.647.330;1.204.775;239.483;175.573;70.153;22.936;114.024;2.449.571
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;09/2017;10.729.596;3.844.694;3.961.337;1.071.734;124.994;438.811;121.919;249.012;147.212;769.883;0
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;09/2017;8.768.317;5.243.660;1.347.563;1.047.742;410.042;240.122;104.349;65.961;46.941;261.936;0
BANCO GMAC S.A.;59.274.605;b2;I;3;S3;8;SAO PAULO;SP;09/2017;8.660.933;27.274;6.373.972;1.042.424;920.186;121.606;34.778;24.403;19.609;96.681;0
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;09/2017;8.256.177;0;7.174.953;192.916;169.690;78.584;117.422;71.434;132.089;319.089;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;09/2017;8.083.620;7.850.979;213.485;14.770;2.085;131;107;82;117;1.865;0
MERCEDES-BENZ;51.262;b2;C;3;S3;198;SAO PAULO;SP;09/2017;7.868.198;187.246;3.974.582;2.002.121;692.625;436.199;332.825;29.675;115.348;97.578;0
ALFA;51.293;b1;C;2;S3;199;SAO PAULO;SP;09/2017;7.152.585;1.157.279;4.393.268;1.113.618;326.630;80.205;31.813;14.070;4.631;31.071;0
CCB;32.119;b1;C;3;S3;199;SAO PAULO;SP;09/2017;7.115.645;314.398;3.299.526;632.639;376.013;262.933;317.507;107.976;72.255;240.973;1.491.425
JOHN DEERE;50.071;b1;C;3;S4;199;INDAIATUBA;SP;09/2017;6.999.094;400.716;2.744.480;2.141.776;1.118.552;180.170;117.859;97.151;82.425;115.966;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;09/2017;6.912.531;874.901;2.221.310;1.648.880;1.076.725;845.288;37.745;46.877;13.288;147.518;0
MERCANTIL DO BRASIL;20.152;b1;C;2;S3;199;BELO HORIZONTE;MG;09/2017;5.904.288;435.417;3.245.812;460.031;274.586;433.013;336.648;227.584;65.166;426.031;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;S3;5;BELO HORIZONTE;MG;09/2017;5.872.781;2.054.535;478.021;1.310.421;977.557;391.631;194.376;250.300;65.519;150.422;0
BANCO CSF S.A.;8.357.240;b2;I;3;S3;8;SAO PAULO;SP;09/2017;5.613.833;0;4.375.742;133.738;95.000;129.197;173.675;109.445;101.620;495.415;0
BANCOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;09/2017;5.424.174;22.058;5.000.904;252.406;123.920;9.113;3.647;1.321;1.643;9.162;0
PORTO SEGURO;51.444;n1;C;2;S4;197;SAO PAULO;SP;09/2017;5.322.622;30.200;4.699.061;131.055;85.009;59.763;58.021;44.897;33.641;180.975;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;S4;8;PORTO ALEGRE;RS;09/2017;4.719.378;0;3.022.522;1.052.781;464.430;27.862;35.402;16.194;10.749;89.438;0
CREDIT SUISSE;30.771;b1;C;3;S2;199;SAO PAULO;SP;09/2017;4.693.381;0;2.713.053;0;315.518;16.545;67.873;33.455;0;188.517;1.358.420
BANCO TOYOTA DO BRASIL S.A.;3.215.790;b2;I;3;S4;8;SAO PAULO;SP;09/2017;4.325.618;304.827;2.843.066;617.293;469.137;50.866;15.707;5.176;3.420;16.124;0
