Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;09/2017;18.976.294;405.692;11.860.304;3.145.198;469.506;1.810.700;36.667.693;-15.768.985;-2.352.761;-607.496;0;-4.096.776;-22.826.017;13.841.677;4.720.038;2.841.412;-4.305.431;-4.912.154;-1.640.798;-295.036;9.696.286;-8.860.041;-2.755.725;11.085.951;62.997;11.148.948;-3.683.060;-1.652.681;5.813.207;-2.592.154
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;09/2017;17.849.885;422.291;9.532.349;2.943.504;0;1.249.731;31.997.759;-15.321.878;-649.534;-376.567;-26.721;-4.953.792;-21.328.491;10.669.269;3.009.480;2.440.034;-6.001.566;-5.406.341;-1.267.730;1.966.223;4.558.487;-5.603.247;-6.304.660;4.364.608;-200.059;4.164.549;-1.260.198;0;2.904.352;-1.786.383
BB;49906;b1;S1;C;1;BRASILIA;DF;09/2017;18.134.546;61.990;12.891.389;-659.509;149.550;958.804;31.536.770;-20.419.074;-1.920.917;-36.698;0;-6.314.340;-28.691.029;2.845.740;3.197.008;2.446.036;-4.921.573;-4.056.508;-1.114.039;1.064.435;9.169.088;-4.826.643;957.804;3.803.544;70.122;3.873.666;-634.048;-367.527;2.872.091;-834.174
CAIXA ECONOMICA FEDERAL;360305;b1;S1;I;1;BRASILIA;DF;09/2017;21.610.356;0;9.438.504;-2.212.412;0;2.549.743;31.386.190;-15.105.027;-4.332.785;0;-145.707;-3.203.361;-22.786.879;8.599.311;4.815.805;1.483.628;-5.593.558;-2.576.097;-941.076;367.442;2.770.583;-5.556.776;-5.230.050;3.369.261;-211.694;3.157.567;-676.725;-312.391;2.168.451;-341.069
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;09/2017;11.571.764;481.185;6.822.327;2.164.902;350.534;1.337.389;22.728.100;-9.688.564;-469.615;-396.183;0;-3.012.350;-13.566.713;9.161.388;2.572.601;1.078.014;-1.848.522;-2.829.357;-1.010.708;155.343;5.630.303;-8.253.242;-4.505.568;4.655.820;-19.298;4.636.522;-2.277.334;-439.950;1.919.239;-1.044.000
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;09/2017;9.719.345;0;5.127.639;-1.469.078;0;0;13.377.907;-494.511;-9.514.377;0;-27.295;-520.396;-10.556.579;2.821.328;54.554;0;-369.842;-82.347;-153.833;1.222.437;1.327.545;-1.553.386;445.129;3.266.457;-462;3.265.995;-1.408.401;-125;1.857.470;0
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;09/2017;1.792.697;218.274;2.198.889;26.104;0;62.997;4.298.962;-2.799.872;-153.133;-179.496;-6.404;-3.032;-3.141.937;1.157.025;225.614;88.142;-466.406;-400.645;-89.918;59.558;288.380;-192.193;-487.468;669.557;12.047;681.603;-193.008;0;488.596;0
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;09/2017;2.642.526;49.173;718.733;-158.694;0;5.553;3.257.291;-1.835.935;-48.550;-31.916;-18.094;-512.552;-2.447.046;810.245;113.116;215.333;-259.922;-319.382;-93.835;79.695;404.362;-580.721;-441.354;368.892;24.494;393.386;-199.327;-40.749;153.311;0
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;09/2017;342.147;0;1.143.362;1.233.784;35.851;28.826;2.783.969;-1.396.385;-641.256;0;0;-31.303;-2.068.945;715.024;291.981;3.888;-142.742;-1.889.965;-64.839;322.642;1.105.574;-270.418;-643.879;71.146;-26.877;44.269;863.696;-198.768;709.196;0
BANRISUL;30173;b1;S2;C;1;PORTO ALEGRE;RS;09/2017;1.653.705;7.818;519.008;-101.516;0;243.288;2.322.303;-1.038.796;-107.600;-6.444;-16.326;-33.495;-1.202.661;1.119.641;39.037;234.552;-458.956;-347.323;-86.017;70.235;204.662;-495.588;-839.399;280.242;6.789;287.031;-37.872;-28.702;220.456;-83.038
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;09/2017;543.052;13.092;959.550;-408.991;340.225;84.604;1.531.533;-540.835;-162.988;-9.542;0;-157.948;-871.314;660.219;339.495;84.748;-308.057;-403.476;-75.177;19.817;288.304;-359.633;-413.978;246.240;-864;245.376;-191.071;-49.862;4.443;0
PAN;31323;b1;S3;C;2;SAO PAULO;SP;09/2017;1.595.688;1.018;57.859;-214.146;0;0;1.440.419;-722.870;-2;-936;-3.032;-272.349;-999.189;441.230;32.919;51.629;-97.644;-456.764;-39.945;1.428;254.649;-167.656;-421.386;19.844;1.892;21.736;89.533;0;111.269;-48.300
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;S2;I;1;FORTALEZA;CE;09/2017;492.329;0;835.987;-52.866;17.741;17.179;1.310.370;-245.377;-508.388;0;0;-139.532;-893.297;417.073;505.087;16.728;-516.569;-319.217;-70.067;0;557.334;-351.239;-177.943;239.130;-1.915;237.215;-59.151;-9.807;168.258;-39.228
BANCOOB;51750;b1;S3;C;2;BRASILIA;DF;09/2017;237.631;0;605.230;0;0;9.304;852.164;-719.542;-21.816;0;0;-1.715;-743.072;109.092;149.585;16;-25.990;-35.352;-36.016;8.246;104.618;-195.133;-30.025;79.068;-609;78.459;-35.893;-1.983;40.583;0
CREFISA;52010;b1;S4;C;2;SAO PAULO;SP;09/2017;741.940;0;64.336;0;124;0;806.401;-3.840;-10;0;0;-162.113;-165.963;640.438;833;196;-7.618;-297.285;-39.877;0;101.496;-4.658;-246.912;393.526;-52;393.473;-152.859;-222;240.391;-62.447
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;S3;I;2;PORTO ALEGRE;RS;09/2017;307.694;0;453.928;175;3.805;23.578;789.180;-573.127;-54.355;0;0;5.385;-622.098;167.082;12.288;24;-26.138;-108.240;-8.134;4.683;34.160;-45.838;-137.196;29.887;1;29.886;-11.245;0;18.641;0
DAYCOVAL;51987;b1;S3;C;2;SAO PAULO;SP;09/2017;689.499;78.381;159.139;-180.161;25.906;0;772.764;-325.433;-8.128;-55.549;0;-91.919;-481.028;291.736;10.808;21.486;-71.022;-119.512;-42.087;12.506;166.696;-46.113;-67.239;224.497;4.908;229.405;-73.191;-12.579;143.635;-47.032
MERCANTIL DO BRASIL;20152;b1;S3;C;2;BELO HORIZONTE;MG;09/2017;681.810;0;61.201;-8.064;0;2.612;737.559;-183.364;-19;0;-2.025;-227.490;-412.898;324.661;9.177;52.683;-96.929;-185.522;-31.866;2.827;43.422;-89.625;-295.834;28.827;-14.725;14.101;-11.321;-221;2.558;0
BMG;30290;b1;S3;C;2;SAO PAULO;SP;09/2017;739.375;669;93.686;-101.933;0;0;731.798;-261.214;-14.442;-689;-903;-135.797;-413.045;318.753;5.742;3.511;-47.268;-226.150;-18.670;-967;247.736;-260.190;-296.256;22.497;-1.891;20.606;-4.764;-12.105;3.738;0
CREDIT SUISSE;30771;b1;S2;C;3;SAO PAULO;SP;09/2017;80.841;0;631.873;1.434;16.507;0;730.655;-714.558;-34.218;0;0;-21.583;-770.359;-39.704;196.892;0;-109.310;-74.376;-25.643;11.926;244.869;-33.931;210.427;170.723;55;170.778;-56.684;0;114.094;0
BANCO VOLKSWAGEN S.A.;59109165;b2;S3;I;3;SAO PAULO;SP;09/2017;668.576;28.305;18.843;-61.940;0;0;653.784;-157.260;-68.544;-17.158;0;-83.436;-326.398;327.386;0;14.602;-585;-72.341;-15.657;20.368;89.692;-148.903;-112.823;214.563;-6.284;208.279;-107.321;0;100.957;0
