Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;03/2018;688.190.316;123.091.135;482.787.328;29.635.506;0;0;56;37.598.920;0;0;487.564;4.290.973;0;0;10.230.326;68.508;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;03/2018;614.119.701;361.901.013;60.458.929;17.383.300;158.021;105.372;12.710;96.263.748;0;35.792.034;2.058.186;269.083;0;0;4.527.498;94.728;35.095.078
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;03/2018;538.145.694;223.498.613;46.378.036;9.358.993;168.285;963.424;6.238.905;26.747.874;5.276;479.922;448.180;88.628;0;0;5.202;393.545;223.370.813
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;03/2018;408.928.546;200.590.991;54.561.560;21.010.309;116.730;15.017;14.162.124;38.087.895;156.359;333.997;3.594.805;0;0;36.814;0;459.609;75.802.337
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;03/2018;296.878.815;53.094.826;30.869;205.965.794;679.740;6.435.861;8.393.000;2.200.075;10.267.671;0;18.475;9.792.503;0;0;0;0;0
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;03/2018;279.267.819;184.051.901;40.971.954;8.127.199;13.877;966;167.117;20.770.917;1.298.396;0;377.416;418.452;0;3.524;72.065;124.630;22.869.406
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;03/2018;61.041.525;32.203.107;324.824;2.382.376;56.203;0;1.687.428;14.362.285;363.432;0;53.853;191;0;5.655;0;1.283;9.600.889
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;03/2018;47.767.226;39.720.295;702.042;548.969;0;107.024;581.097;3.954.372;26.402;0;720;8.763;0;0;571.042;7.898;1.538.601
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;03/2018;31.116.739;21.841.084;5.414.389;218.610;0;0;9.979;3.360.444;46.477;0;44.589;0;0;0;51.342;17.691;112.135
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;03/2018;18.817.418;16.868.498;371.513;0;0;0;0;1.076.919;0;0;327.451;91.737;0;0;66.782;14.517;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;03/2018;17.489.665;14.572.278;152.228;268.203;97;0;0;2.494.284;0;0;0;0;0;0;2.576;0;0
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;03/2018;15.361.175;1.443.214;60.754;2.555.233;0;195.911;0;4.607.165;0;0;57.267;46.105;0;12.612;73.097;0;6.309.817
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;03/2018;14.796.112;11.010.392;3.366;159.714;10.566;0;223.778;1.809.259;487.452;225.598;160;7.512;0;3.057;715.270;1.860;138.129
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;03/2018;14.470.850;10.142.296;0;54.461;0;0;2.752.215;1.499.053;0;0;0;0;0;0;2.040;20.785;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;03/2018;13.979.115;9.181.955;41.747;3.423.564;2.476;0;0;0;511.453;0;523.436;0;0;735;293.748;1;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;03/2018;12.846.792;9.027.469;0;1.551.500;125.120;0;0;2.018.794;0;0;0;0;0;0;123.836;73;0
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;03/2018;12.239.799;2.732.239;0;501.680;10.107;0;1.824;6.186.516;60.423;0;38.454;17.052;0;0;505.557;2;2.185.945
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;03/2018;10.607.363;5.840.091;31.280;1.036.131;0;0;1.483.547;879.358;0;20;1.316.015;0;0;20.452;0;469;0
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;03/2018;10.401.291;6.994.522;0;191.942;0;0;0;3.205.755;9.071;0;0;0;0;0;0;0;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;03/2018;9.092.533;7.870.961;0;355.538;8.132;0;405.654;452.084;0;0;0;0;0;0;0;163;0
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;03/2018;8.817.511;8.129.189;0;2.051;0;0;23.599;491.907;0;0;0;0;0;0;8.754;4.118;157.894
BANCO GMAC S.A.;59.274.605;b2;I;3;S3;8;SAO PAULO;SP;03/2018;8.655.954;8.655.952;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;03/2018;8.619.545;7.477.629;974.354;55.391;0;0;100.474;0;0;0;11.467;0;0;0;0;231;0
MERCEDES-BENZ;51.262;b2;C;3;S3;198;SAO PAULO;SP;03/2018;8.135.967;5.560.228;89.101;1.932.858;79.831;0;0;0;473.949;0;0;0;0;0;0;0;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;03/2018;7.789.031;7.334.104;0;451.133;0;0;0;0;3.793;0;0;0;0;0;0;0;0
ALFA;51.293;b1;C;2;S3;199;SAO PAULO;SP;03/2018;7.738.979;5.687.703;0;564.202;2.364;0;4.639;1.296.124;183.543;0;0;0;0;0;0;403;0
