Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Indisponível;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;09/2019;362.523.760;3.922.905;17.254.346;49.527.323;59.978.153;2.632.079;1.256;229.207.698
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;09/2019;294.794.268;14.110.856;29.293.810;53.658.948;66.738.727;21.357.295;735;109.633.897
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;09/2019;274.505.695;0;1.022.050;2.969.588;261.885.098;8.628.959;0;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;09/2019;261.770.069;2.519.013;22.154.803;44.960.809;154.221.668;2.091.112;390;35.822.275
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;09/2019;137.608.707;9.075.966;14.316.888;23.081.626;91.134.063;0;164;0
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;09/2019;134.196.994;6.552.284;16.169.812;40.741.258;38.911.685;1.146.104;1.915;30.673.936
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;09/2019;49.812.728;404.569;1.810.942;12.104.163;26.602.040;110.625;320;8.780.069
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;09/2019;25.092.354;858.196;52.957;412.205;12.037.114;0;0;11.731.883
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;09/2019;14.037.789;106.734;409.531;4.713.125;6.363.982;1.150.940;50;1.293.428
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;09/2019;13.993.043;265.696;1.672.423;5.126.875;5.984.420;0;2;943.628
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;09/2019;11.619.855;1.108.167;111.201;397.871;8.908.941;36.946;0;1.056.729
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;09/2019;11.300.072;98.415;53.748;868.207;9.694.568;585.134;0;0
MERCEDES-BENZ;51.262;b2;C;3;S3;198;SAO PAULO;SP;09/2019;10.761.870;376.222;1.285.833;4.924.604;4.170.748;4.463;0;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;09/2019;10.090.049;102.442;800.382;3.903.484;4.839.474;444.266;1;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;09/2019;9.335.348;551.855;1.808.957;5.194.033;1.780.500;0;3;0
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;09/2019;8.822.205;292.318;1.297.013;3.074.418;3.771.694;267.122;42;119.599
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;09/2019;8.775.065;74.729;132.247;1.214.129;7.353.959;0;0;0
CCB;32.119;b1;C;3;S3;199;SAO PAULO;SP;09/2019;6.958.014;30.840;163.557;962.202;2.116.615;14.112;0;3.670.688
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;09/2019;6.624.309;0;134.014;475.880;6.014.415;0;0;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;09/2019;5.805.110;495.913;360.192;1.764.350;2.817.325;367.326;4;0
BANCO FIDIS S/A;62.237.425;b2;I;3;S4;8;BETIM;MG;09/2019;5.590.302;2.041.152;18.536;2.497.060;1.033.552;0;2;0
ORIGINAL;51.781;b1;C;2;S3;199;SAO PAULO;SP;09/2019;4.627.645;362.806;235.568;830.309;697.183;1.840.365;588;660.827
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;09/2019;4.328.709;272.240;994.991;2.440.238;579.373;41.867;0;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;S3;5;BELO HORIZONTE;MG;09/2019;4.277.043;92.152;321.228;1.977.694;1.850.181;35.788;0;0
BANCO VOLVO BRASIL S.A.;58.017.179;b2;I;3;S4;8;CURITIBA;PR;09/2019;4.128.773;531.137;858.453;2.383.238;340.706;15.240;0;0
BOCOM;52.003;b1;C;3;S4;199;SALVADOR;BA;09/2019;4.117.417;0;78.323;1.151.632;1.625.479;0;0;1.261.983
ALFA;51.293;b1;C;2;S3;199;SAO PAULO;SP;09/2019;4.064.501;348.983;349.471;1.087.297;1.876.088;402.661;0;0
ING;51.073;b1;C;3;S3;199;SAO PAULO;SP;09/2019;3.962.846;0;0;317.917;3.125.513;519.417;0;0
SCANIA BANCO S.A.;11.417.016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;09/2019;3.632.369;162.176;732.078;2.280.934;456.448;733;0;0
SOFISA;31.873;b1;C;2;S4;199;SAO PAULO;SP;09/2019;3.564.503;72.028;46.289;284.697;3.120.616;2.893;2;37.977
BANCO FIBRA S.A.;58.616.418;b1;I;2;S3;8;SAO PAULO;SP;09/2019;3.263.695;2.749;83.931;559.743;1.729.322;184.427;7;703.516
CREDIT SUISSE;30.771;b1;C;3;S3;199;SAO PAULO;SP;09/2019;3.253.494;2.040;49.782;219.368;2.693.408;920;0;287.975
PINE;50.304;b1;C;2;S3;199;SAO PAULO;SP;09/2019;3.127.056;342.773;89.409;1.043.432;1.346.171;231.182;1;74.088
JOHN DEERE;50.071;b1;C;3;S3;199;INDAIATUBA;SP;09/2019;2.870.550;24.892;100.528;1.767.334;977.796;0;0;0
BANCO GMAC S.A.;59.274.605;b2;I;3;S3;8;SAO PAULO;SP;09/2019;2.789.481;1.049.237;234.440;1.404.285;101.519;0;0;0
BANCOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;09/2019;2.211.410;631.458;771.216;743.845;48.733;16.070;87;0
JP MORGAN CHASE;20.107;b1;C;3;S3;199;SAO PAULO;SP;09/2019;2.202.584;39.760;14.457;588.563;1.559.804;0;0;0
CREDIT AGRICOLE;51.066;b1;C;3;S3;199;SAO PAULO;SP;09/2019;2.032.129;0;5.650;130.878;1.895.601;0;0;0
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29.030.467;b1;I;3;S4;8;SAO PAULO;SP;09/2019;1.993.071;0;0;39.079;1.953.992;0;0;0
BANCO IBM S.A.;34.270.520;b2;I;3;S4;8;RIO DE JANEIRO;RJ;09/2019;1.968.803;310.805;17.470;121.316;1.519.211;0;0;0
INDUSTRIAL DO BRASIL;50.988;b1;C;2;S4;199;SAO PAULO;SP;09/2019;1.960.840;6.620;54.960;654.434;597.250;492.836;0;154.739
BANCO DA AMAZONIA S.A.;4.902.979;b1;I;1;S3;2;BELEM;PA;09/2019;1.835.013;154.377;97.445;119.400;1.463.789;0;3;0
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;09/2019;1.619.934;119.549;245.024;853.475;280.427;121.460;0;0
DEUTSCHE BANK S.A. - BANCO ALEMAO;62.331.228;b1;I;3;S3;8;SAO PAULO;SP;09/2019;1.618.749;47.874;105.048;840.294;625.533;0;0;0
MIZUHO;51.554;b1;I;3;S4;199;SAO PAULO;SP;09/2019;1.615.635;0;0;317.119;580.264;0;0;718.252
BANCO CATERPILLAR S.A.;2.658.435;b2;I;3;S4;8;SAO PAULO;SP;09/2019;1.613.085;73.094;167.927;717.273;550.738;104.054;0;0
BANCO MUFG BRASIL S.A.;60.498.557;b1;I;3;S3;8;SAO PAULO;SP;09/2019;1.568.482;3.700;0;106.347;1.458.436;0;0;0
BANESTES;30.159;b1;C;1;S3;199;VITORIA;ES;09/2019;1.507.182;73.342;336.826;811.374;285.109;528;3;0
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;09/2019;1.502.828;212.855;298.541;581.145;290.753;119.533;1;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;09/2019;1.400.423;153.314;500.295;690.772;56.039;0;2;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;S4;8;PORTO ALEGRE;RS;09/2019;1.390.272;162.116;210.746;789.425;227.984;0;0;0
BANCO TRIANGULO S.A.;17.351.180;b1;I;2;S4;8;UBERLANDIA;MG;09/2019;1.378.042;11.259;270.720;960.547;117.038;18.448;30;0
SOCIETE GENERALE;31.859;b1;C;3;S3;199;SAO PAULO;SP;09/2019;1.304.408;22.461;24.908;235.025;1.022.015;0;0;0
MERCANTIL DO BRASIL;20.152;b1;C;2;S3;199;BELO HORIZONTE;MG;09/2019;1.290.206;66.953;204.963;846.151;172.138;0;2;0
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97.406.706;n1;I;3;S4;19;BARUERI;SP;09/2019;1.224.807;3.395;37.617;436.244;747.552;0;0;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2.885.855;n1;I;1;S4;30;PORTO ALEGRE;RS;09/2019;1.215.008;80.135;49.026;608.283;477.564;0;0;0
BANCO TOYOTA DO BRASIL S.A.;3.215.790;b2;I;3;S4;8;SAO PAULO;SP;09/2019;1.201.930;33.143;187.920;611.064;369.803;0;0;0
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10.663.610;n1;I;1;S4;30;SAO PAULO;SP;09/2019;1.189.948;185.926;194.808;632.362;176.852;0;0;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60.518.222;b1;I;3;S3;8;SAO PAULO;SP;09/2019;1.167.618;2.002;876;444.051;672.378;0;0;48.310
BANCO FORD S.A.;90.731.688;b2;I;3;S4;8;SAO PAULO;SP;09/2019;1.148.367;0;2.615;1.013.095;132.657;0;0;0
SICOOB COCRED COOPERATIVA DE CRÉDITO;71.328.769;b3S;I;2;S4;9;SERTAOZINHO;SP;09/2019;1.142.400;64.107;331.540;501.040;231.614;14.098;1;0
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3.584.906;n1;I;1;S4;30;CURITIBA;PR;09/2019;1.128.423;98.757;37.771;767.766;223.275;853;1;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82.639.451;b3S;I;2;S5;9;BLUMENAU;SC;09/2019;1.041.790;324.327;571.871;143.662;1.467;458;4;0
INTER;51.884;b1;C;2;S4;199;BELO HORIZONTE;MG;09/2019;1.011.264;290.097;121.886;368.355;230.921;0;5;0
BANCO LUSO BRASILEIRO S.A.;59.118.133;b1;I;2;S4;8;SAO PAULO;SP;09/2019;993.213;276.093;194.931;481.379;24.327;16.483;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78.414.067;b3S;I;2;S4;9;MEDIANEIRA;PR;09/2019;925.846;182.161;385.513;298.818;59.353;0;1;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37.395.399;b3S;I;2;S5;9;GOIANIA;GO;09/2019;899.490;28.018;244.099;570.879;55.284;1.209;1;0
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78.825.270;b3S;I;2;S5;9;CHAPECO;SC;09/2019;892.858;154.631;419.590;275.084;40.857;2.694;2;0
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E PROFISSIONAIS DA AREA DE SAUDE DO BRASIL LTDA.;42.898.825;b3S;I;2;S5;9;BELO HORIZONTE;MG;09/2019;885.820;32.542;86.138;611.468;148.818;6.855;1;0
RENDIMENTO;51.468;b1;C;2;S4;199;SAO PAULO;SP;09/2019;879.703;3.585;139.366;394.103;326.692;15.957;1;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE CARLOS BARBOSA - SICREDI SERRANA RS;90.608.712;b3S;I;2;S4;9;CARLOS BARBOSA;RS;09/2019;841.360;136.357;322.216;354.104;28.680;0;2;0
BANCO RODOBENS S.A.;33.603.457;b1;I;2;S4;8;SAO PAULO;SP;09/2019;837.261;108.423;240.344;380.200;108.294;0;1;0
