Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;03/2013;68.100.389;122.589.208;16.500.560;248.497.156;7.711.901;463.399.214;222.490.316;5.224;38.187.920;2.893.165;23.206.900;0;64.293.209;74.465.957;824.648.697;2.280.780;169.244.846;996.174.322;379.748;62.428.380;1.058.982.450
ITAU;10069;b1;;C;2;SAO PAULO;SP;03/2013;39.616.261;87.071.786;8.453.760;109.806.811;445.239;245.393.857;301.782.149;11.804.696;6.013.571;36.479.514;16.069.488;211.850;70.579.119;62.442.431;680.197.557;8.776.948;191.793.203;880.767.708;1.025.966;83.083.929;964.877.602
BRADESCO;10045;b1;;C;2;OSASCO;SP;03/2013;36.028.020;70.162.669;488.601;100.047.702;50.046;206.777.038;284.260.522;4.420.338;4.039.988;31.045.422;13.238.596;735.140;53.479.484;46.199.569;590.716.613;2.590.546;110.136.913;703.444.072;552.218;69.627.875;773.624.165
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;03/2013;24.620.275;181.534.284;277.509;105.112.467;11.758.603;323.303.139;102.372.864;31.580.759;0;19.841.010;3.109.634;2.251.048;56.782.452;132.281.788;614.740.243;535;90.910.956;705.651.734;0;25.432.000;731.083.735
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;03/2013;0;0;0;0;20.563.753;20.563.753;7.808.506;0;188.434;0;0;0;188.434;404.759.538;433.320.231;501.621;197.554.367;631.376.219;0;46.799.011;678.175.230
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;03/2013;12.644.471;27.915.328;3.473.945;78.901.056;93.158;123.027.958;86.531.652;11.648.933;1.657.869;26.804.421;15.305.559;1.092.722;56.509.504;25.553.920;291.623.034;4.107.109;99.456.709;395.186.852;274.964;63.862.790;459.324.606
HSBC;51152;b1;;C;3;CURITIBA;PR;03/2013;10.134.360;5.955.413;284.228;35.406.204;222.663;52.002.868;7.254.172;3.475.259;919.345;17.111.459;1.639.765;0;23.145.828;10.230.344;92.633.213;5.187.039;33.976.656;131.796.908;0;10.081.559;141.878.467
SAFRA;10083;b1;;C;2;SAO PAULO;SP;03/2013;655.112;1.321.061;3.766.884;4.760.165;228;10.503.450;54.939.992;680.676;2.470.325;11.278.312;2.729.690;280.975;17.439.979;11.686.950;94.570.371;4.792.255;18.075.484;117.438.110;31.564;7.117.568;124.587.242
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;03/2013;320.400;0;2.756.196;9.416.094;0;12.492.691;40.913.730;224.238;2.128.171;11.698.680;6.986.126;1.524.367;22.561.582;9.698.303;85.666.306;2.526.916;26.021.614;114.214.835;33.725;7.670.772;121.919.333
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;03/2013;489.957;0;528.774;14.261.461;0;15.280.191;41.237.229;1.094.428;1.199.799;4.760.912;5.483.276;0;12.538.414;1.855.220;70.911.054;5.267.893;16.750.782;92.929.729;136.963;10.551.102;103.617.794
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;03/2013;4.688.414;1.009.979;142.607;9.130.829;165.388;15.137.216;3.614.242;59.437;354.906;233.071;0;0;647.415;6.712.680;26.111.552;3.626.108;25.010.734;54.748.394;18.597;7.762.806;62.529.797
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;03/2013;2.757.966;6.054.944;435.065;18.309.432;2.609;27.560.015;1.654.340;299.554;0;52.395;0;0;351.949;2.728.538;32.294.842;34.276;10.828.112;43.157.230;8.668;4.779.960;47.945.858
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;03/2013;193.041;0;0;5.493.190;0;5.686.231;1.977.668;0;0;0;0;0;0;18.193.185;25.857.084;2.587.026;15.016.247;43.460.357;1.373;3.479.573;46.941.303
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;03/2013;1.394;0;0;2.492.668;0;2.494.061;14.322.026;14.787;17.728;152.163;0;0;184.678;9.308.514;26.309.279;194.820;9.031.372;35.535.472;19.215;3.507.661;39.062.348
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;03/2013;108.059;1.583.818;723.910;6.355.797;1.243.680;10.015.264;992.543;0;45.779;0;1.298.544;0;1.344.324;3.203.621;15.555.752;6.697;14.338.200;29.900.650;0;2.487.741;32.388.390
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;03/2013;437.157;0;162.797;1.847.164;0;2.447.119;2.246.321;0;0;0;0;0;0;3.793.918;8.487.358;1.707.336;20.497.349;30.692.043;2.035;1.514.311;32.208.389
BMG;30290;b1;;C;2;BELO HORIZONTE;MG;03/2013;71.841;0;25.210;7.558.074;0;7.655.125;0;601;0;238.182;2.120.752;0;2.359.535;55.688;10.070.348;401.463;14.394.373;24.866.184;42;3.234.793;28.101.019
BANCO VOLKSWAGEN S.A.;59109165;b2;;I;3;SAO PAULO;SP;03/2013;0;0;3.748.683;3.514.261;0;7.262.944;0;0;0;622.503;0;0;622.503;10.140.781;18.026.228;8.966;5.084.473;23.119.667;156.484;2.093.248;25.369.399
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;03/2013;40.517;3.070.377;6.334.857;15.410;0;9.461.161;7.114.053;0;5.469;0;0;0;5.469;3.694.566;20.275.249;57;394.229;20.669.535;0;644.871;21.314.406
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;03/2013;123.501;0;192.538;4.208.531;66.448;4.591.017;3.104.930;0;0;559.842;0;0;559.842;3.900.932;12.156.721;656.874;5.648.662;18.462.257;17.047;2.610.074;21.089.379
PANAMERICANO;31323;b1;;C;2;SAO PAULO;SP;03/2013;106.832;0;4.203.709;2.742.594;0;7.053.135;1.340.142;1.337.904;422.051;1.588.560;584.654;0;3.933.169;202.062;12.528.507;31.751;5.657.371;18.217.629;2.375;2.822.083;21.042.088
BANCOOB;51750;b1;;C;2;BRASILIA;DF;03/2013;16.965;1.564.017;10.434.004;83.024;0;12.098.011;2.154.436;0;2.400;0;0;0;2.400;1.070.562;15.325.409;0;888.106;16.213.515;46;534.796;16.748.357
BIC;32119;b1;;C;2;SAO PAULO;SP;03/2013;254.602;15.166;435.087;6.773.997;0;7.478.852;38.694;0;419.830;226.478;928.847;101.536;1.676.692;3.229.655;12.423.893;3.031;2.227.974;14.654.898;24.663;1.935.280;16.614.842
ALFA;51293;b1;;C;2;SAO PAULO;SP;03/2013;37.137;0;1.805.607;781.767;0;2.624.511;1.935.511;0;189.293;4.131.356;0;1.366.429;5.687.078;1.429.548;11.676.647;248.757;861.324;12.786.728;12.496;1.955.530;14.754.753
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;03/2013;53.839;0;552.825;2.754.926;0;3.361.591;52.305;171.904;926.762;1.365.523;250.135;0;2.714.325;3.713.212;9.841.432;155.188;2.202.742;12.199.363;26.039;1.756.534;13.981.936
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;03/2013;521.388;256.114;76.559;7.136.527;0;7.990.588;1.263.416;0;182.431;146.142;44.457;0;373.031;45.419;9.672.454;4.096;2.999.934;12.676.483;1.237;883.193;13.560.913
SOCIETE GENERALE;31859;b1;;C;3;SAO PAULO;SP;03/2013;16.795;0;112.906;823.368;0;953.069;25.011;0;0;99.391;0;0;99.391;3.790.282;4.867.752;884.257;6.944.083;12.696.092;59.987;675.483;13.431.561
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;03/2013;28.671;0;1.229.461;280.153;0;1.538.285;280.177;0;1.417.499;0;0;0;1.417.499;6.236.443;9.472.404;64.161;2.465.899;12.002.464;0;1.086.237;13.088.701
BANESTES;30159;b1;;C;1;VITORIA;ES;03/2013;1.145.084;1.940.486;8.250;4.328.205;0;7.422.024;3.275.277;24.580;0;150.246;0;0;174.826;439.301;11.311.428;0;861.482;12.172.911;1.690;752.410;12.927.010
BANCO DAYCOVAL S.A.;62232889;b1;;I;2;SAO PAULO;SP;03/2013;290.413;0;121.369;2.936.987;4.034;3.352.803;1.184.519;129.973;198.071;2.034.359;1.216.708;0;3.579.112;1.018.226;9.134.659;2.104;1.258.803;10.395.566;8.772;2.447.192;12.851.531
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;03/2013;542.253;506.781;2.397;798.515;815.014;2.664.960;70.001;0;0;0;0;0;0;560.165;3.295.126;0;5.397.524;8.692.651;0;2.008.283;10.700.934
FIBRA;49951;b1;;C;2;SAO PAULO;SP;03/2013;119.061;0;254.620;4.629.920;0;5.003.601;154.820;0;229.941;1.141.203;941.805;0;2.312.948;887.754;8.359.123;26.613;909.957;9.295.693;3.893;1.019.308;10.318.894
PINE;50304;b1;;C;2;SAO PAULO;SP;03/2013;126.396;0;109.786;3.092.962;0;3.329.144;1.954.411;8.699;313.406;591.743;248.912;0;1.162.760;1.766.229;8.212.545;109.705;598.168;8.920.417;58.380;1.260.469;10.239.267
BOFA MERRILL LYNCH;51255;b1;;C;3;SAO PAULO;SP;03/2013;37.222;0;15.203;302.983;0;355.409;1.223.947;0;0;0;0;0;0;1.427.813;3.007.169;1.781.629;4.093.399;8.882.197;75;1.324.441;10.206.714
MERCEDES-BENZ;51262;b2;;C;3;SAO PAULO;SP;03/2013;0;0;761.385;58.189;0;819.574;0;0;0;329.339;0;0;329.339;6.795.437;7.944.349;0;817.675;8.762.025;95.860;1.267.241;10.125.125
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;;I;1;PORTO ALEGRE;RS;03/2013;0;0;0;0;0;0;0;0;0;0;0;0;0;8.048.110;8.048.110;0;315.114;8.363.224;1.196;1.344.780;9.709.200
BANCO GMAC S.A.;59274605;b2;;I;3;SAO PAULO;SP;03/2013;0;0;2.458.234;1.161.719;0;3.619.953;0;0;0;138.249;0;0;138.249;0;3.758.202;0;4.331.608;8.089.810;89.955;1.377.865;9.557.630
BRB;31976;b1;;C;1;BRASILIA;DF;03/2013;768.683;1.298.659;110.166;4.495.457;3.321;6.676.285;279.331;0;0;171.340;0;193;171.534;84.393;7.211.542;0;1.202.793;8.414.335;158;1.004.655;9.419.147
MORGAN STANLEY;51413;b1;;C;3;SAO PAULO;SP;03/2013;0;0;78.010;2.991.339;0;3.069.349;2.360.232;0;0;0;0;0;0;0;5.429.582;551.838;1.630.691;7.612.111;0;1.647.197;9.259.307
BES;51482;b2;;C;3;SAO PAULO;SP;03/2013;0;0;236.853;2.391.128;0;2.627.981;2.526.530;393;159.974;141.246;891.298;0;1.192.911;308.053;6.655.475;256.419;345.373;7.257.267;480;644.478;7.902.224
BARCLAYS;51705;b1;;C;3;SAO PAULO;SP;03/2013;104;0;83.331;600.852;0;684.287;1.300.484;0;0;0;115.057;0;115.057;284.045;2.383.873;280.285;4.212.989;6.877.147;239;789.006;7.666.392
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;;I;3;SAO PAULO;SP;03/2013;169.636;0;0;1.621.559;0;1.791.195;271.296;0;0;0;0;0;0;1.259.905;3.322.397;50.415;2.720.530;6.093.342;318;1.105.635;7.199.294
GOLDMAN SACHS;51585;b2;;C;3;SAO PAULO;SP;03/2013;0;0;119.455;203.875;0;323.331;284.999;0;0;0;0;0;0;833.273;1.441.602;774.689;3.865.859;6.082.150;0;761.079;6.843.228
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;;I;3;PORTO ALEGRE;RS;03/2013;0;0;268.297;0;0;268.297;0;0;0;0;0;0;0;4.547.139;4.815.436;0;407.384;5.222.819;12.213;581.153;5.816.186
BANCO CLASSICO S.A.;31597552;b1;;I;2;RIO DE JANEIRO;RJ;03/2013;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1.302.501;1.302.502;0;4.431.508;5.734.010
BANCO FIDIS S/A;62237425;b2;;I;3;BETIM;MG;03/2013;0;0;775.236;2.107.492;0;2.882.728;50.010;0;0;630.237;0;0;630.237;1.258.372;4.821.346;7.819;160.741;4.989.906;12.652;503.500;5.506.058
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87437687;b3C;;I;2;PORTO ALEGRE;RS;03/2013;0;0;1.043;0;0;1.043;0;0;0;0;0;0;0;0;1.043;0;5.145.628;5.146.671;0;306.489;5.453.160
BANCO CNH CAPITAL S.A.;2992446;b2;;I;3;CURITIBA;PR;03/2013;0;0;236.280;720.444;0;956.725;0;0;0;0;0;0;0;2.569.910;3.526.635;3.555;179.672;3.709.862;133.300;1.017.725;4.860.887
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;;I;2;BRASILIA;DF;03/2013;0;0;0;0;593.286;593.286;0;0;0;0;0;0;0;0;593.286;0;111.529;704.816;0;3.917.196;4.622.012
BANCO IBM S.A.;34270520;b2;;I;3;RIO DE JANEIRO;RJ;03/2013;883;0;114.011;3.653.859;0;3.768.753;0;0;0;0;0;0;0;333.332;4.102.085;0;195.166;4.297.250;0;276.188;4.573.439
SOFISA;31873;b1;;C;2;SAO PAULO;SP;03/2013;99.628;0;18.261;2.036.549;0;2.154.437;33.711;94.629;25.946;57.526;0;0;178.101;372.312;2.738.561;6.806;905.095;3.650.463;1.181;707.712;4.359.356
