Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;03/2015;27.641.048;257.455;16.939.217;903.191;423.958;1.190.489;47.355.358;-22.958.057;-15.082.098;-213.723;0;-5.949.804;-44.203.681;3.151.676;3.973.776;1.655.247;-4.942.687;-4.084.160;-996.606;5.880.925;4.523.454;-3.981.936;2.028.012;5.179.688;-23.723;5.155.965;1.386.730;-752.736;5.789.959;-1.054.134
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;03/2015;20.963.446;1.392.216;10.415.068;-395.854;804.602;1.303.551;34.483.029;-18.508.224;-13.689.281;-1.427.229;0;-5.347.907;-38.972.641;-4.489.612;4.913.141;2.268.071;-3.512.317;-4.752.184;-839.375;7.302.020;14.965.143;-11.904.992;8.439.508;3.949.895;190.156;4.140.051;4.479.045;-2.892.259;5.726.837;-2.939.632
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;03/2015;19.577.191;0;8.984.432;2.390.373;0;2.433.552;33.385.548;-16.980.276;-3.859.076;0;-2.173.347;-5.027.455;-28.040.154;5.345.394;3.966.629;954.074;-4.945.202;-2.480.804;-749.878;175.147;2.150.451;-3.986.689;-4.916.273;429.122;-122.337;306.785;1.058.286;-190.816;1.174.255;-397.770
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;03/2015;28.430.904;0;3.636.846;-781.131;240.811;0;31.527.430;-784.808;-26.694.631;0;0;-398.389;-27.877.828;3.649.601;117.835;0;-310.974;-150.123;-238.035;-340.033;823.848;-513.857;-611.338;3.038.263;139.483;3.177.746;-1.592.375;0;1.585.371;0
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;03/2015;15.720.266;818.159;10.858.213;-2.830.216;1.755.019;988.710;27.310.150;-14.209.702;-12.083.217;-676.409;0;-3.833.048;-30.802.376;-3.492.225;3.202.677;1.709.250;-2.983.453;-3.827.186;-720.134;9.227.769;1.741.289;-4.333.827;4.016.384;524.159;-35.418;488.741;3.759.289;0;4.248.030;-1.494.247
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;03/2015;10.199.396;638.233;5.566.306;-3.194.904;0;725.162;13.934.193;-12.189.716;-1.124.105;-537.772;-768.359;-1.691.671;-16.311.622;-2.377.430;1.912.285;682.746;-1.551.991;-2.970.021;-477.295;3.927;8.671.747;-6.779.943;-508.546;-2.885.975;63.667;-2.822.308;3.823.550;-262.056;739.186;-1.991
HSBC - PRUDENCIAL;1000080525;b1;;C;3;CURITIBA;PR;03/2015;2.803.264;204.324;1.562.514;1.201.842;0;199.333;5.971.277;-2.412.537;-465.129;-169.541;-904.415;-982.758;-4.934.381;1.036.897;337.376;376.730;-900.517;-1.100.459;-148.713;112.602;877.135;-951.961;-1.397.808;-360.911;-11.216;-372.127;306.567;-32.797;-98.356;0
VOTORANTIM - PRUDENCIAL;1000080484;b1;;C;2;SAO PAULO;SP;03/2015;3.394.015;288.955;1.258.098;582.837;237.633;0;5.761.538;-3.921.340;-140.419;-284.427;0;-688.632;-5.034.818;726.721;110.532;132.358;-393.277;-277.458;-112.840;37.626;790.834;-712.863;-425.088;301.632;-2.976;298.656;81.609;-258.411;121.854;0
SAFRA - PRUDENCIAL;1000080109;b1;;C;2;SAO PAULO;SP;03/2015;1.777.280;138.973;2.597.442;-323.426;359.060;29.836;4.579.165;-3.785.467;-438.225;-109.602;0;-342.599;-4.675.894;-96.729;119.666;66.420;-411.609;-284.861;-36.080;629.947;392.173;-215.375;260.281;163.553;7.535;171.087;285.520;0;456.607;0
BANRISUL - PRUDENCIAL;1000080154;b1;;C;1;PORTO ALEGRE;RS;03/2015;1.610.969;11.951;504.880;452.807;193.146;165.345;2.939.098;-985.303;-404.573;-8.096;0;-200.951;-1.598.923;1.340.175;54.876;266.082;-382.459;-326.102;-85.796;45.315;67.989;-791.996;-1.152.091;188.084;-532;187.552;-16.389;-24.131;147.032;-76.992
