Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;06/2014;11.500.115;297.420.099;120.790.144;609.557.725;-23.711.084;585.846.642;271.383;1.742.231;913.940;-53.521;2.874.033;165.665.993;98.577.105;24.200.614;1.306.874.744;913.940;1.305.960.804
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;06/2014;20.442.104;161.250.547;186.241.651;358.525.132;-22.819.233;335.705.899;1.244.214;17.087.691;10.610.414;-502.186;28.440.133;170.103.738;89.665.679;45.530.721;1.037.380.474;10.610.414;1.026.770.060
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;06/2014;11.486.230;85.277.606;166.121.553;544.184.727;-25.104.994;519.079.733;0;0;0;0;0;54.426.315;116.732.554;10.251.386;963.375.376;0;963.375.376
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;06/2014;225.105;2.511.901;164.749.113;300.647.285;-2.153.618;298.493.667;0;0;0;0;0;41.186.272;291.043.796;16.154.100;814.363.953;0;814.363.953
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;06/2014;11.281.058;137.653.680;160.389.785;297.144.971;-20.159.855;276.985.116;77.648;9.355.497;4.604.873;-386.665;13.651.353;86.194.537;59.308.201;38.091.516;783.555.247;4.604.873;778.950.374
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;06/2014;5.001.766;32.671.584;110.383.773;194.988.969;-14.042.081;180.946.888;60.967;7.287.260;3.909.529;-107.714;11.150.042;102.883.150;47.209.937;19.581.624;509.828.764;3.909.529;505.919.235
HSBC - PRUDENCIAL;1000080525;b1;;C;3;CURITIBA;PR;06/2014;2.656.558;17.396.985;32.988.835;55.701.049;-3.426.204;52.274.846;12.452;1.209.715;459.286;-48.699;1.632.754;37.996.549;14.073.499;3.570.286;162.590.312;459.286;162.131.026
SAFRA - PRUDENCIAL;1000080109;b1;;C;2;SAO PAULO;SP;06/2014;669.296;40.593.026;28.763.221;45.608.790;-1.429.628;44.179.162;38.477;1.343.697;881.359;-12.605;2.250.927;12.876.663;2.340.587;2.262.968;133.935.850;881.359;133.054.491
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;06/2014;1.113.149;33.109.635;40.442.670;14.969.349;-1.223.208;13.746.141;0;0;0;0;0;20.289.946;393.870;7.544.711;116.640.123;0;116.640.123
VOTORANTIM - PRUDENCIAL;1000080484;b1;;C;2;SAO PAULO;SP;06/2014;118.732;6.560.103;30.479.119;51.848.122;-3.705.352;48.142.771;22.535;1.609.564;1.041.314;-55.369;2.618.044;10.357.781;957.516;404.633;99.638.698;1.041.314;98.597.384
BANRISUL - PRUDENCIAL;1000080154;b1;;C;1;PORTO ALEGRE;RS;06/2014;1.082.743;311.436;17.841.988;27.015.313;-1.526.856;25.488.457;478;137.083;65.266;-6.402;196.426;4.150.101;7.974.231;291.193;57.336.576;65.266;57.271.310
CITIBANK - PRUDENCIAL;1000080192;b1;;C;3;SAO PAULO;SP;06/2014;465.548;6.448.033;15.613.628;11.699.590;-787.802;10.911.788;226;173.706;11.759;-4.854;180.837;15.567.538;3.466.308;825.865;53.479.544;11.759;53.467.786
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;;I;1;FORTALEZA;CE;06/2014;127.539;9.612.609;12.508.467;11.258.783;-804.700;10.454.082;0;0;0;0;0;2.836.373;640.798;227.308;36.407.176;0;36.407.176
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;;C;3;SAO PAULO;SP;06/2014;280.488;9.855.024;11.467.726;856.373;-26.345;830.027;0;0;0;0;0;7.616.316;89.409;166.548;30.305.539;0;30.305.539
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;;C;3;SAO PAULO;SP;06/2014;679.186;10.501.614;8.845.165;4.600.621;-340.827;4.259.795;0;0;0;0;0;3.959.074;63.503;1.179.367;29.487.704;0;29.487.704
