Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA (e) = (c) + (d);RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;09/2016;115.364.144;571.403;115.935.547;23.621.589;139.557.136;673.404.102;2.401.449;735.714;19.361.187;2.192.101;24.690.451;37.826.292;735.920.845;1.304.148.955;15,68%;15,75%;18,96%;8,89%;23,60%
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;09/2016;65.500.135;22.475.780;87.975.915;39.084.774;127.060.689;668.871.950;8.866.827;1.923;7.549.210;0;16.417.959;37.151.992;722.441.901;1.201.276.434;9,07%;12,18%;17,59%;7,32%;15,64%
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;09/2016;86.587.234;0;86.587.234;43.293.617;129.880.851;568.153.371;62.179.750;0;7.556.713;0;69.736.463;32.338.860;670.228.694;942.276.701;12,92%;12,92%;19,38%;9,19%;9,49%
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;09/2016;72.654.258;0;72.654.258;22.401.334;95.055.592;588.914.119;2.947.880;40.035;14.772.919;29.877;17.790.711;50.443.507;657.148.336;1.089.655.114;11,06%;11,06%;14,46%;6,67%;44,40%
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;09/2016;53.760.608;0;53.760.608;22.981.547;76.742.155;511.280.239;319.641;1.922.727;3.743.481;0;5.985.849;52.781.594;570.047.682;1.314.733.939;9,43%;9,43%;13,46%;4,09%;14,61%
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;09/2016;55.002.769;4.109.871;59.112.640;4.189.561;63.302.201;304.446.620;3.563.852;0;20.789.316;684.820;25.037.989;30.086.072;359.570.681;615.244.819;15,30%;16,44%;17,60%;9,61%;16,78%
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;09/2016;18.691.605;4.183.533;22.875.139;3.420.868;26.296.006;98.224.298;4.494.704;25.651.484;27.718.319;4.990.673;62.855.180;3.385.968;164.465.446;194.409.387;11,37%;13,91%;15,99%;11,77%;31,53%
SAFRA - PRUDENCIAL;1000080109;b1;;C;2;SAO PAULO;SP;09/2016;9.652.925;989.150;10.642.075;2.107.762;12.749.838;73.656.215;314.775;0;2.942.218;84.405;3.341.397;5.255.002;82.252.615;173.783.851;11,74%;12,94%;15,50%;6,12%;26,49%
VOTORANTIM - PRUDENCIAL;1000080484;b1;;C;2;SAO PAULO;SP;09/2016;6.893.922;0;6.893.922;2.842.749;9.736.671;56.870.700;147.407;0;944.208;37.922;1.129.537;4.614.996;62.615.233;124.510.107;11,01%;11,01%;15,55%;5,54%;15,06%
CITIBANK - PRUDENCIAL;1000080192;b1;;C;3;SAO PAULO;SP;09/2016;8.273.594;0;8.273.594;0;8.273.594;37.912.612;1.408.670;42.475;8.706.612;133.523;10.291.281;4.661.925;52.865.818;86.488.408;15,65%;15,65%;15,65%;9,57%;5,96%
