Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
ITAU;10069;b1;;C;2;SAO PAULO;SP;09/2010;13.238.070;5.883.252;4.724.852;1.501.711;0;1.325.197;26.673.082;-8.952.090;-550.838;-4.641.149;-255.412;-4.113.050;-18.512.539;8.160.544;2.606.126;837.517;-2.427.328;-3.908.957;-785.414;433.205;3.058.071;-3.253.901;-3.440.680;4.719.863;189.779;4.909.642;-1.229.955;-620.515;3.059.172;-969.333
BRADESCO;10045;b1;;C;2;OSASCO;SP;09/2010;9.647.665;3.226.020;4.200.503;1.048.477;50.115;953.401;19.126.181;-7.856.867;-408.580;-2.689.863;0;-2.254.304;-13.209.613;5.916.568;1.657.172;713.978;-1.960.974;-2.610.775;-680.429;629.603;1.753.035;-1.864.799;-2.363.189;3.553.380;-106.971;3.446.408;-914.589;0;2.531.819;-717.988
BB;49906;b1;;C;1;BRASILIA;DF;09/2010;12.509.820;417.017;5.551.642;-948.763;481.008;1.064.331;19.075.054;-9.587.161;-679.364;-307.706;0;-2.487.032;-13.061.263;6.013.791;2.428.580;979.618;-3.241.378;-2.684.731;-750.312;456.508;2.509.849;-1.822.542;-2.124.408;3.889.383;16.410;3.905.793;-945.830;-335.200;2.624.763;-673.935
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;09/2010;7.462.208;1.572.802;3.208.917;135.064;1.452.080;599.555;14.430.627;-4.624.384;-221.657;-1.645.938;0;-1.869.226;-8.361.205;6.069.422;1.435.726;550.526;-1.207.857;-2.600.268;-630.642;63.566;992.685;-3.397.864;-4.794.127;1.275.295;532.957;1.808.252;-481.816;-295.701;1.030.735;-530.000
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;09/2010;5.223.800;0;3.658.611;-98.153;0;1.368.484;10.152.742;-5.279.867;-1.047.562;0;-616;-940.656;-7.268.700;2.884.041;2.432.758;256.782;-2.472.928;-1.328.810;-345.408;169.424;1.067.747;-2.032.817;-2.253.251;630.790;-32.461;598.329;240.700;-90.326;748.703;-189.118
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;09/2010;4.212.552;0;1.899.063;-588.513;10.136;0;5.533.238;-359.822;-2.616.635;0;0;-130.289;-3.106.746;2.426.492;26.727;0;-133.347;-64.088;-86.642;901.603;1.129.878;-2.020.599;-246.468;2.180.024;-2.771;2.177.253;-270.557;0;1.906.697;0
HSBC;51152;b1;;C;3;CURITIBA;PR;09/2010;2.130.424;623.011;955.053;67.032;53.793;360.030;4.189.341;-1.917.169;-53.630;-473.866;0;-418.020;-2.862.685;1.326.656;408.267;162.498;-518.712;-875.039;-135.049;112.346;261.809;-329.319;-913.200;413.456;-11.914;401.542;-99.808;-74.887;226.847;0
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;09/2010;2.539.012;715.171;1.311.992;-917.036;20.410;108.720;3.778.268;-1.781.338;-104.476;-496.999;0;-323.446;-2.706.259;1.072.009;83.162;223.238;-210.707;129.882;-115.283;0;486.083;-1.079.570;-483.195;588.814;-25.977;562.837;-173.422;-123.682;265.733;0
SAFRA;10083;b1;;C;2;SAO PAULO;SP;09/2010;937.102;1.171.689;864.651;-156.237;0;16.625;2.833.830;-1.110.034;-106.171;-1.036.201;-17.126;-20.495;-2.290.027;543.803;110.120;36.048;-212.893;-147.147;-14.821;-4.389;172.178;-92.221;-153.124;390.679;-10.887;379.792;-155.873;0;223.919;0
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;09/2010;888.026;11.923;593.923;-335.830;218.299;2.517;1.378.859;-352.908;-24.544;-9.039;0;-303.665;-690.156;688.702;343.039;32.686;-266.910;-469.181;-90.382;4.658;114.694;-155.368;-486.764;201.939;-14.711;187.228;-119.618;-10.040;57.570;0
