Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA (e) = (c) + (d);RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
ITAU;10069;b1;;C;2;SAO PAULO;SP;09/2010;NA;NA;56.370.600;16.892.651;73.134.853;436.754.321;0;1.160.455;7.852.477;2.353.945;11.366.877;24.958.892;473.080.091;NA;NA%;NA%;15,46%;NA%;37,81%
BB;49906;b1;;C;1;BRASILIA;DF;09/2010;NA;NA;50.158.510;19.190.252;65.459.183;411.468.463;0;12.790;264.372;32.440;309.602;27.337.884;439.115.949;NA;NA%;NA%;14,91%;NA%;19,82%
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;09/2010;NA;NA;37.489.149;26.343.494;63.401.512;354.976.551;0;0;1.036.078;0;1.036.078;6.630.541;362.643.171;NA;NA%;NA%;17,48%;NA%;0,52%
BRADESCO;10045;b1;;C;2;OSASCO;SP;09/2010;NA;NA;47.649.528;8.078.434;55.636.311;330.476.252;0;4.910;1.439.079;115.453;1.559.442;15.986.981;348.022.675;NA;NA%;NA%;15,99%;NA%;47,29%
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;09/2010;NA;NA;65.715.641;7.260.298;72.898.929;224.767.481;0;13.764;6.585.337;687.745;7.286.846;13.290.528;245.344.855;NA;NA%;NA%;29,71%;NA%;39,57%
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;09/2010;NA;NA;17.676.108;15.401.466;33.076.327;178.997.754;0;0;419.489;0;419.489;14.732.575;194.149.818;NA;NA%;NA%;17,04%;NA%;15,10%
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;09/2010;NA;NA;8.261.072;3.683.662;11.944.733;76.650.382;0;13.920;7.568.206;308.933;7.891.059;3.790.301;88.331.742;NA;NA%;NA%;13,52%;NA%;1,27%
HSBC;51152;b1;;C;3;CURITIBA;PR;09/2010;NA;NA;7.228.561;2.093.027;9.321.589;59.011.720;0;0;1.614.949;79.446;1.694.396;6.296.645;67.002.761;NA;NA%;NA%;13,91%;NA%;36,25%
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;09/2010;NA;NA;5.185.473;536.574;5.722.048;28.614.483;9.247.586;63.580;1.654.626;235.685;11.201.478;5.727.567;45.543.528;NA;NA%;NA%;12,56%;NA%;14,70%
SAFRA;10083;b1;;C;2;SAO PAULO;SP;09/2010;NA;NA;5.258.045;719.033;5.977.078;42.057.976;0;35.737;699.809;7.574;743.120;1.000.402;43.801.498;NA;NA%;NA%;13,65%;NA%;24,23%
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;09/2010;NA;NA;3.742.012;-4.872;3.608.203;17.270.785;0;0;2.986.707;21.441;3.008.149;3.152.527;23.431.460;NA;NA%;NA%;15,40%;NA%;7,93%
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;09/2010;NA;NA;2.091.801;1.074.574;3.166.375;19.259.296;0;181.886;4.136;0;186.022;3.286.946;22.732.264;NA;NA%;NA%;13,93%;NA%;5,90%
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;09/2010;NA;NA;3.411.430;0;3.406.986;12.799.327;1.280.255;209.801;3.761.927;1.439.361;6.691.345;2.424.804;21.915.476;NA;NA%;NA%;15,55%;NA%;8,43%
BMG;30290;b1;;C;2;BELO HORIZONTE;MG;09/2010;NA;NA;2.268.937;931.396;3.200.332;19.064.051;0;0;1.075.809;0;1.075.809;246.966;20.386.826;NA;NA%;NA%;15,70%;NA%;1,67%
BANCO VOLKSWAGEN S.A.;59109165;b2;;I;3;SAO PAULO;SP;09/2010;NA;NA;1.829.034;261.881;2.090.916;17.010.000;0;0;0;0;0;505.978;17.515.977;NA;NA%;NA%;11,94%;NA%;7,51%
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;09/2010;NA;NA;3.146.894;91.874;3.017.691;11.033.358;2.146.659;0;782.654;340.070;3.269.384;2.716.390;17.019.132;NA;NA%;NA%;17,73%;NA%;13,99%
BIC;32119;b1;;C;2;SAO PAULO;SP;09/2010;NA;NA;1.935.033;946.483;2.881.516;15.000.422;0;0;66.723;33.103;99.827;887.613;15.987.861;NA;NA%;NA%;18,02%;NA%;2,63%
PANAMERICANO;31323;b1;;C;2;SAO PAULO;SP;09/2010;NA;NA;1.515.780;757.890;2.273.670;11.928.863;0;0;501.397;0;501.397;3.168.791;15.599.051;NA;NA%;NA%;14,58%;NA%;7,25%
