Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;09/2015;64.818.480;149.763.605;41.465.484;199.618.270;6.474.553;462.140.392;321.909.454;18.473.991;134.555.176;47.240;41.811.597;542.207;195.430.211;123.616.304;1.103.096.362;4.736.313;222.351.026;1.330.183.701;440.533;73.367.572;1.403.991.805
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;09/2015;61.650.564;111.450.932;18.388.647;114.849.708;562.172;306.902.024;319.999.514;12.415.741;10.050.205;6.883.560;26.160.105;3.974.103;59.483.715;104.003.372;790.388.625;42.346.005;266.891.491;1.099.626.121;1.862.558;108.251.168;1.209.739.847
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;09/2015;24.263.343;234.466.371;2.543.199;166.815.091;12.563.951;440.651.957;170.274.358;107.371.252;1.688.334;42.002.783;15.664.424;658.595;167.385.388;215.598.506;993.910.209;191.454;134.934.707;1.129.036.369;0;27.095.173;1.156.131.542
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;09/2015;0;0;0;0;15.285.455;15.285.455;1.924;0;5.815.325;0;31.443.483;0;37.258.808;561.774.317;614.320.504;4.295.797;286.164.914;904.781.214;0;33.793.587;938.574.801
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;09/2015;24.367.903;89.616.088;1.017.019;89.947.294;26.957;204.975.261;244.409.555;18.988.410;7.139.092;78.925.949;9.699.145;547.614;115.300.211;69.643.160;634.328.187;18.149.179;136.173.651;788.651.016;432.301;86.246.812;875.330.130
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;09/2015;18.358.235;35.540.168;3.265.646;88.334.573;191.561;145.690.183;139.545.603;23.267.812;2.577.584;55.940.479;15.777.877;1.638.641;99.202.393;54.123.379;438.561.558;29.873.057;175.020.690;643.455.305;395.560;59.882.290;703.733.156
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;09/2015;73.725.411;0;983.621;22.827.692;0;97.536.725;45.318.400;706.958;2.150.112;12.204.630;8.997.736;35.964;24.095.401;11.584.533;178.535.059;43.505.002;47.281.250;269.321.311;195.053;18.874.208;288.390.573
HSBC - PRUDENCIAL;1000080525;b1;;C;3;CURITIBA;PR;09/2015;10.449.112;5.748.503;1.180.963;36.536.599;389.553;54.304.730;1.925.351;3.803.215;2.099.595;32.411.730;2.195.892;0;40.510.432;13.219.113;109.959.627;12.963.293;45.679.852;168.602.772;0;10.072.666;178.675.438
SAFRA - PRUDENCIAL;1000080109;b1;;C;2;SAO PAULO;SP;09/2015;518.318;1.620.274;758.003;7.453.192;181;10.349.967;59.457.672;2.468.787;5.334.798;12.750.352;3.247.563;1.743.076;25.544.576;19.505.180;114.857.394;6.782.292;15.071.456;136.711.142;28.336;8.717.762;145.457.239
VOTORANTIM - PRUDENCIAL;1000080484;b1;;C;2;SAO PAULO;SP;09/2015;87.140;0;1.877.217;2.862.134;0;4.826.490;30.086.950;518.595;2.681.497;13.422.702;8.288.215;539;24.911.549;8.111.014;67.936.003;3.784.711;31.013.572;102.734.286;39.938;7.777.684;110.551.908
CITIBANK - PRUDENCIAL;1000080192;b1;;C;3;SAO PAULO;SP;09/2015;5.476.243;1.066.988;51.203;7.262.439;174.220;14.031.094;11.713.817;310.207;519.504;964.479;0;339.972;2.134.162;8.251.191;36.130.264;13.786.650;23.724.863;73.641.776;23.621;7.341.035;81.006.432
BANRISUL - PRUDENCIAL;1000080154;b1;;C;1;PORTO ALEGRE;RS;09/2015;2.675.039;7.521.564;893.718;25.938.796;5.746;37.034.864;6.424.607;738.556;0;1.341.359;0;0;2.079.915;4.575.096;50.114.482;339.625;8.679.615;59.133.722;16.106;6.114.936;65.264.763
