Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;12/2015;1.403.599.145;717.826.171;1.332.284.723;1.108.696.665;71.314.422;5.662.856;135.551.196;16,13%;16,70%;5.434;1.473
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;12/2015;1.238.646.330;469.556.011;1.127.584.911;831.502.269;111.061.419;10.861.289;128.465.152;17,78%;27,72%;3.806;945
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;12/2015;1.203.854.469;679.486.587;1.177.237.591;1.041.160.799;26.616.878;3.045.060;78.962.391;14,43%;14,34%;3.408;843
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;12/2015;930.575.889;406.703.109;899.582.602;599.875.457;30.993.287;2.683.959;94.996.694;14,74%;15,25%;4;0
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;12/2015;883.981.368;366.993.204;795.061.429;634.801.667;88.919.940;8.473.010;102.825.350;16,80%;35,24%;4.525;1.198
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;12/2015;678.126.465;261.292.834;621.054.833;430.303.984;57.071.632;2.490.674;57.964.025;15,72%;21,25%;2.758;1.181
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;12/2015;254.295.455;58.899.721;234.627.224;135.697.476;19.668.231;3.392.021;26.325.043;15,46%;34,94%;13;0
HSBC - PRUDENCIAL;1000080525;b1;;C;3;CURITIBA;PR;12/2015;173.770.548;71.293.796;164.216.162;109.820.302;9.554.385;-778.533;15.368.309;13,67%;16,01%;853;450
SAFRA - PRUDENCIAL;1000080109;b1;;C;2;SAO PAULO;SP;12/2015;147.533.312;49.605.197;138.618.463;117.973.863;8.914.850;766.615;12.017.698;14,80%;23,48%;110;5
VOTORANTIM - PRUDENCIAL;1000080484;b1;;C;2;SAO PAULO;SP;12/2015;110.423.975;51.227.923;102.807.310;70.221.813;7.616.665;213.943;10.742.263;15,23%;4,68%;94;0
CITIBANK - PRUDENCIAL;1000080192;b1;;C;3;SAO PAULO;SP;12/2015;76.602.765;21.096.755;68.917.179;36.861.515;7.685.586;530.737;7.490.694;13,63%;11,99%;134;18
BANRISUL - PRUDENCIAL;1000080154;b1;;C;1;PORTO ALEGRE;RS;12/2015;66.908.910;32.030.761;60.700.597;52.670.171;6.208.313;508.841;7.389.175;17,79%;3,95%;535;204
BNP PARIBAS - PRUDENCIAL;1000080673;b1;;C;3;SAO PAULO;SP;12/2015;46.392.859;11.648.579;43.558.845;15.624.515;2.834.014;230.601;3.348.044;13,39%;1,91%;10;0
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;;C;3;SAO PAULO;SP;12/2015;44.126.786;7.708.592;40.488.536;24.539.773;3.638.250;266.284;5.229.177;15,52%;10,01%;10;0
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;;I;1;FORTALEZA;CE;12/2015;41.421.935;13.838.273;38.578.749;17.631.873;2.843.186;147.595;5.270.254;14,08%;4,38%;303;3
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;;C;3;SAO PAULO;SP;12/2015;35.019.564;1.811.997;30.889.805;9.011.932;4.129.759;224.405;4.111.063;16,66%;2,97%;8;1
SICREDI - PRUDENCIAL;1000080745;b1;;C;2;PORTO ALEGRE;RS;12/2015;31.518.376;14.573.332;30.345.666;29.099.875;1.172.710;51.779;1.309.021;18,41%;7,87%;5;0
DEUTSCHE - PRUDENCIAL;1000080532;b1;;C;3;SAO PAULO;SP;12/2015;29.256.968;5.122.434;27.495.824;8.845.530;1.761.144;118.730;1.743.439;13,46%;1,36%;2;0
PAN;1000080257;b1;;C;2;SAO PAULO;SP;12/2015;26.162.584;17.325.766;22.518.768;17.969.936;3.643.816;77.970;3.320.457;16,52%;16,17%;4;0
BANCOOB - PRUDENCIAL;1000080879;b1;;C;2;BRASILIA;DF;12/2015;25.013.123;10.520.469;23.989.964;22.152.690;1.023.159;64.038;1.017.914;17,00%;8,06%;4;0
ABC-BRASIL - PRUDENCIAL;1000080312;b1;;C;3;SAO PAULO;SP;12/2015;24.243.638;11.487.818;21.733.980;17.660.487;2.509.658;200.556;3.217.732;16,18%;1,26%;6;0
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;;C;3;SAO PAULO;SP;12/2015;22.977.124;19.271.839;20.375.054;15.668.737;2.602.070;268.702;3.558.701;18,93%;0,94%;1;0
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;;I;3;SAO PAULO;SP;12/2015;22.595.428;16.189.739;20.996.258;17.238.619;1.599.169;41.368;2.087.898;11,78%;1,16%;17;0
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;;C;3;SAO PAULO;SP;12/2015;22.121.625;645.246;20.634.631;2.159.331;1.486.994;115.228;1.483.208;14,03%;3,45%;2;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;;C;2;SAO PAULO;SP;12/2015;22.049.029;13.678.174;19.262.277;16.574.832;2.786.751;251.137;2.778.956;17,71%;8,83%;39;0
BANESTES - PRUDENCIAL;1000080147;b1;;C;1;VITORIA;ES;12/2015;18.026.382;3.913.549;16.865.837;16.126.434;1.160.545;68.488;1.150.507;19,76%;22,92%;135;27
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;;C;3;SAO PAULO;SP;12/2015;17.919.269;3.033.408;16.549.986;7.297.386;1.369.284;-57.521;1.368.528;24,14%;6,60%;5;0
BMG - PRUDENCIAL;1000080178;b1;;C;2;SAO PAULO;SP;12/2015;17.153.203;8.738.441;14.008.349;9.028.767;3.144.854;119.373;2.042.960;19,09%;36,16%;23;0
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;;C;3;SAO PAULO;SP;12/2015;15.466.327;43.994;13.084.555;6.211.061;2.381.772;271.076;2.374.407;18,20%;0,50%;2;0
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;;C;1;PORTO ALEGRE;RS;12/2015;14.960.557;12.356.388;12.617.639;12.000.261;2.342.917;164.211;2.342.917;16,74%;1,44%;3;0
CCB - PRUDENCIAL;1000080295;b1;;C;3;SAO PAULO;SP;12/2015;14.194.833;6.297.882;13.394.287;10.230.203;800.547;-223.559;1.482.276;14,75%;10,68%;36;0
GMAC - PRUDENCIAL;1000080848;b2;;C;3;SAO PAULO;SP;12/2015;14.072.236;11.585.163;12.408.196;6.664.266;1.664.040;137.088;1.483.992;12,68%;3,21%;1;0
BRB - PRUDENCIAL;1000080288;b1;;C;1;BRASILIA;DF;12/2015;13.630.283;10.093.433;12.289.940;10.350.971;1.340.342;62.009;1.594.423;15,73%;14,23%;123;7
BCO TOKYO-MITSUBISHI BM S.A. - PRUDENCIAL;1000081713;b1;;I;3;SAO PAULO;SP;12/2015;13.627.452;1.661.166;12.320.271;6.899.207;1.307.181;84.116;1.303.579;22,18%;4,52%;2;0
ALFA - PRUDENCIAL;1000080570;b1;;C;2;SAO PAULO;SP;12/2015;13.620.172;7.640.756;11.456.939;10.705.489;2.163.233;66.037;2.122.056;23,48%;11,44%;43;1
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;;C;3;SAO PAULO;SP;12/2015;12.918.448;0;11.619.545;2.504.900;1.298.902;144.154;1.268.905;19,78%;0,78%;2;0
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;;C;2;BELO HORIZONTE;MG;12/2015;12.461.204;8.045.853;11.712.451;9.401.435;748.754;21.786;1.083.740;13,68%;20,42%;195;2
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;;I;1;BELEM;PA;12/2015;12.083.092;3.977.323;10.158.933;4.232.230;1.924.159;142.271;2.883.142;17,18%;8,99%;124;3
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;;C;3;SAO PAULO;SP;12/2015;10.467.538;2.202.057;9.666.269;4.179.273;801.269;13.365;793.405;13,14%;2,73%;3;0
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;;C;3;SAO PAULO;SP;12/2015;10.174.480;9.745.835;8.696.606;8.021.709;1.477.874;49.532;1.556.809;14,87%;0,13%;2;0
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87437687;b3C;;I;2;PORTO ALEGRE;RS;12/2015;9.868.706;280.166;9.516.051;0;352.655;0;217.629;17,61%;2,66%;0;0
ING - PRUDENCIAL;1000080501;b1;;C;3;SAO PAULO;SP;12/2015;9.649.475;4.216.692;8.777.458;5.855.143;872.017;62.000;871.218;19,90%;0,28%;2;0
PINE - PRUDENCIAL;1000080374;b1;;C;2;SAO PAULO;SP;12/2015;8.886.899;4.120.607;7.724.042;6.842.585;1.162.857;20.853;1.139.146;15,01%;12,41%;9;0
HAITONG - PRUDENCIAL;1000080666;b2;;C;3;SAO PAULO;SP;12/2015;8.029.391;796.957;7.378.150;6.868.827;651.241;7.903;630.466;17,85%;5,10%;5;0
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;;I;3;SAO PAULO;SP;12/2015;7.956.748;3.247.353;7.167.250;5.773.526;789.498;67.161;1.552.134;24,03%;0,40%;1;0
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;;I;3;CURITIBA;PR;12/2015;7.409.985;6.669.134;6.202.284;5.862.661;1.207.702;72.971;1.197.493;17,56%;1,20%;1;0
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;;I;1;BELO HORIZONTE;MG;12/2015;7.300.651;5.893.114;5.611.955;5.081.938;1.688.696;-28.868;986.491;15,19%;10,60%;1;0
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;;C;2;SAO PAULO;SP;12/2015;6.778.942;3.386.754;5.763.080;4.446.619;1.015.862;131.143;649.426;14,24%;1,64%;7;0
ORIGINAL - PRUDENCIAL;1000080903;b1;;C;2;SAO PAULO;SP;12/2015;6.664.471;4.255.482;4.487.673;4.167.094;2.176.798;54.906;1.956.339;28,68%;22,72%;2;0
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;;I;3;SAO PAULO;SP;12/2015;6.386.721;3.937.050;5.769.871;5.211.675;616.851;40.465;593.148;14,80%;2,96%;1;0
JOHN DEERE - PRUDENCIAL;1000080343;b1;;C;3;INDAIATUBA;SP;12/2015;6.171.236;6.133.680;5.347.808;4.967.051;823.428;56.726;902.349;14,67%;0,52%;2;0
APE POUPEX - PRUDENCIAL;1000081184;n1;;I;2;BRASILIA;DF;12/2015;5.943.919;1.316.731;755.880;609.191;5.188.039;63.069;778.059;19,86%;6,59%;54;0
J.MALUCELLI - PRUDENCIAL;1000080233;b1;;C;2;CURITIBA;PR;12/2015;5.804.051;3.987.998;4.422.259;4.327.407;1.381.792;78.572;1.190.403;27,18%;34,78%;2;0
BANCO IBM S.A. - PRUDENCIAL;1000081689;b2;;I;3;RIO DE JANEIRO;RJ;12/2015;5.583.341;3.447.891;5.177.347;4.808.927;405.994;23.141;405.994;20,26%;35,57%;2;0
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;;I;1;BELEM;PA;12/2015;5.269.067;3.357.976;4.577.305;4.360.806;691.762;157.944;682.236;20,71%;15,98%;90;32
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;;C;2;RIO DE JANEIRO;RJ;12/2015;5.262.524;0;1.099.065;27;4.163.459;79.850;4.163.459;49,16%;0,01%;1;0
BANCO FIDIS - PRUDENCIAL;1000081751;b2;;I;3;BETIM;MG;12/2015;5.240.881;4.552.135;4.618.834;4.527.023;622.047;50.593;605.389;18,75%;1,44%;2;0
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;;I;3;SAO PAULO;SP;12/2015;5.139.077;5.034.438;3.705.118;33.034;1.433.959;208.344;1.418.302;34,90%;2,85%;1;0
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;;I;3;PORTO ALEGRE;RS;12/2015;5.116.110;4.507.563;4.288.318;4.050.482;827.791;63.496;826.013;20,51%;2,14%;1;0
HONDA - PRUDENCIAL;1000080611;b2;;C;3;SAO PAULO;SP;12/2015;5.078.360;3.482.667;3.637.551;3.017.590;1.440.808;178.419;955.356;23,31%;2,09%;2;0
COOPERATIVA CENTRAL DE CRÉDITO E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;;I;2;CURITIBA;PR;12/2015;5.060.123;115.186;4.904.157;87;155.966;0;97.742;18,20%;4,37%;0;0
PORTO SEGURO - PRUDENCIAL;1000080642;n1;;C;2;SAO PAULO;SP;12/2015;4.937.997;4.559.329;4.370.312;1.074.280;567.686;76.460;567.189;12,55%;0,73%;3;0
BARCLAYS - PRUDENCIAL;1000080817;b1;;C;3;SAO PAULO;SP;12/2015;4.609.795;17.075;4.299.153;1.722.219;310.642;14.051;301.960;20,86%;6,39%;1;0
BCO CATERPILLAR S.A. - PRUDENCIAL;1000081397;b2;;C;3;SAO PAULO;SP;12/2015;4.594.470;4.586.843;3.876.151;3.685.624;718.319;26.397;704.823;14,96%;0,92%;1;0
VOLVO - PRUDENCIAL;1000080769;b2;;C;3;CURITIBA;PR;12/2015;4.328.570;4.052.656;3.640.522;3.466.576;688.048;4.823;686.164;17,10%;1,81%;1;0
BADESUL DESENVOLVIMENTO AF/RS - PRUDENCIAL;1000081029;n1;;I;1;PORTO ALEGRE;RS;12/2015;4.248.197;3.552.007;3.502.334;3.357.558;745.863;1.695;565.863;14,53%;5,87%;1;0
SOFISA - PRUDENCIAL;1000080271;b1;;C;2;SAO PAULO;SP;12/2015;4.189.858;1.918.098;3.498.853;3.167.141;691.006;49.490;612.866;20,99%;13,39%;17;0
BCO CARGILL S.A. - PRUDENCIAL;1000081414;b1;;I;3;SAO PAULO;SP;12/2015;4.148.445;2.889.298;3.698.954;3.104.185;449.491;15.518;449.491;16,09%;0,07%;1;0
