Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;09/2018;12.766.958;434.821.291;168.602.588;580.399.218;-33.015.588;547.383.630;115.064;230.736;118.007;-12.649;451.158;193.450.413;75.765.637;35.684.534;1.468.926.210;118.007;1.468.808.203
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;09/2018;28.942.852;315.194.317;229.337.390;459.934.054;-32.693.243;427.240.811;7.622.588;1.755.187;1.086.292;-306.299;10.157.768;228.439.831;128.685.749;55.330.258;1.423.328.976;1.086.292;1.422.242.684
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;09/2018;10.610.232;186.599.613;201.416.452;683.962.350;-35.050.737;648.911.613;0;0;0;0;0;81.185.866;140.605.210;13.267.088;1.282.596.075;0;1.282.596.075
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;09/2018;15.095.876;111.956.291;292.203.564;344.789.500;-33.332.260;311.457.240;32.488;3.445.454;1.482.520;-81.463;4.878.998;169.123.613;89.540.804;69.852.745;1.064.109.131;1.482.520;1.062.626.611
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;09/2018;503;67.402.553;167.321.475;316.017.248;-18.452.009;297.565.239;0;0;0;0;0;35.073.554;209.836.237;14.280.307;791.479.867;0;791.479.867
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;09/2018;14.940.874;56.923.428;175.611.823;244.351.548;-16.599.958;227.751.590;20.612;4.694.690;2.099.582;-73.564;6.741.319;181.170.371;95.251.478;12.600.058;770.990.941;2.099.582;768.891.359
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;09/2018;1.584.632;47.853.509;40.929.829;57.799.519;-2.627.067;55.172.452;6.739;1.548.212;702.407;-23.105;2.234.253;15.663.343;9.397.299;4.922.173;177.757.491;702.407;177.055.084
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;09/2018;893.836;61.323.163;37.535.530;17.285.265;-592.885;16.692.380;0;0;0;0;0;32.749.507;2.869.259;9.611.594;161.675.268;0;161.675.268
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;09/2018;405.473;13.249.453;23.705.936;44.842.726;-2.860.535;41.982.191;327;221.504;494;-671;221.653;13.694.060;808.323;2.430.611;96.497.700;494;96.497.207
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;09/2018;1.598.306;16.151.581;29.032.625;7.237.377;-97.958;7.139.419;959;49.991;6.315;-338;56.927;24.594.126;3.326.667;295.145;82.194.796;6.315;82.188.480
CIELO - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;09/2018;422.021;275.566;3.623.408;0;0;0;0;0;0;0;0;3.816.205;60.573.950;11.600.890;80.312.039;0;80.312.039
