Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k);
;;;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
BANCO DO BRASIL S.A.;0;BB;49906;80329;b1;1;1;BRASILIA;DF;03/2019;18.917.789;0;9.198.621;317.100;100.215;519.306;29.053.032;-14.413.858;-3.571.142;0;0;-4.797.890;-22.782.890;6.270.141;2.237.868;2.433.197;-4.758.243;-3.729.494;-929.674;2.287.728;3.057.804;-2.634.892;-2.035.706;4.234.435;-3.390;4.231.045;200.996;-514.519;3.917.522;0
CAIXA ECONOMICA FEDERAL;360305;;;80738;b1;1;6;BRASILIA;DF;03/2019;18.740.637;0;6.908.976;-339.094;26.011;1.584.956;26.921.486;-10.029.822;-4.511.947;0;0;-2.827.353;-17.369.123;9.552.363;4.918.970;1.619.524;-5.680.775;-2.449.252;-931.596;490.719;1.671.602;-5.047.211;-5.408.019;4.144.344;-52.075;4.092.269;128.712;-598.111;3.622.870;0
ITAÚ UNIBANCO S.A.;60701190;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;03/2019;11.183.740;1.411;10.071.017;1.555.813;327.275;1.202.297;24.341.554;-12.557.137;-1.292.396;-1.532;0;-1.446.957;-15.298.022;9.043.531;2.485.204;2.136.237;-2.908.391;-3.217.013;-872.567;1.697.403;5.042.799;-3.700.156;663.514;9.707.045;-88.894;9.618.151;-1.119.357;-3.468.613;5.030.182;0
BANCO BRADESCO S.A.;60746948;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;03/2019;13.720.686;1.984;8.293.166;-315.912;775.053;1.138.681;23.613.658;-11.124.648;-2.590.420;-1.659;0;-3.472.495;-17.189.222;6.424.436;1.930.428;1.984.034;-3.949.167;-4.393.785;-794.016;4.716.300;2.321.535;-2.607.270;-791.941;5.632.495;-97.905;5.534.591;285.851;0;5.820.442;0
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER;30379;80185;b1;3;8;SAO PAULO;SP;03/2019;9.260.430;19;5.965.116;-1.026.095;2.358.703;981.981;17.540.154;-7.979.554;-2.143.569;-19;0;-2.536.005;-12.659.147;4.881.007;2.490.969;1.046.328;-1.652.332;-2.338.992;-740.554;1.810.130;3.150.541;-4.021.367;-255.276;4.625.731;663;4.626.394;-800.860;-426.990;3.398.544;0
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;;;81847;b4;1;4;RIO DE JANEIRO;RJ;03/2019;10.484.361;0;3.293.920;-5.407;0;0;13.772.875;-907.540;-9.027.497;0;-23.239;-278.510;-10.236.786;3.536.089;58.344;0;-280.328;-83.171;-163.947;9.324.690;268.027;-269.163;8.854.452;12.390.540;9.228;12.399.769;-1.321.984;0;11.077.784;0
BANCO BTG PACTUAL S.A.;30306294;BTG PACTUAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;03/2019;230.073;0;2.026.430;-261.636;1.064.026;19.110;3.078.002;-1.096.261;-1.029.910;0;0;-21.065;-2.147.237;930.765;256.557;1.189;-68.248;-125.705;-27.527;330.501;724.361;-1.345.818;-254.691;676.074;41.315;717.389;-10.597;-87.948;618.845;0
BANCO ITAUCARD S.A.;17192451;ITAU;10069;80099;b2;2;8;SAO PAULO;SP;03/2019;2.725.754;62.168;202.235;-34.557;4.322;2.431;2.962.353;-587.057;-171.865;-61.210;0;-1.188.014;-2.008.147;954.207;1.235.729;602.681;-28.477;-1.209.408;-227.417;257.077;464.229;-1.279.519;-185.104;769.103;4.184;773.287;-225.470;-3.445;544.371;0
BANCO SAFRA S.A.;58160789;SAFRA;10083;80109;b1;2;8;SAO PAULO;SP;03/2019;1.453.558;3.846;1.498.525;-243.232;46.487;102.955;2.862.138;-1.987.987;-156.134;-3.819;0;123.051;-2.024.889;837.249;202.935;52.669;-490.136;-357.210;-61.355;370.758;476.936;-595.750;-401.153;436.096;-7.016;429.080;114.969;0;544.049;0
BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;92702067;BANRISUL;30173;80154;b1;1;8;PORTO ALEGRE;RS;03/2019;1.618.618;5.065;370.169;7.426;18.745;190.896;2.210.918;-848.901;-113.000;-3.388;0;-5.803;-971.092;1.239.826;35.474;263.469;-489.806;-385.261;-89.872;93.030;167.089;-412.888;-818.765;421.061;247;421.309;-67.753;-33.599;319.957;0
