Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
BANCO DO BRASIL S.A.;0;BB;49906;80329;b1;1;1;BRASILIA;DF;03/2019;57.598.772;174.155.762;5.309.554;196.087.620;8.507.412;441.659.120;489.947.681;15.835.970;81.959.871;5.671.606;0;112.490;103.579.937;155.450.459;1.190.637.197;5.334.012;176.748.616;1.372.719.826;349.938;94.521.969;1.467.591.733
CAIXA ECONOMICA FEDERAL;360305;;;80738;b1;1;6;BRASILIA;DF;03/2019;28.041.109;296.625.398;272.359;189.287.773;9.559.156;523.785.796;174.943.565;55.148.157;642.807;3.434.495;7.155.703;800.782;67.181.944;303.809.229;1.069.720.534;1.222.996;176.574.076;1.247.517.605;0;45.375.156;1.292.892.761
BANCO BRADESCO S.A.;60746948;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;03/2019;30.341.471;108.574.753;22.803.343;175.013.297;548.803;337.281.667;258.784.338;25.166.864;12.889.843;127.312.825;1.952.441;3.500.178;170.822.152;106.031.031;872.919.188;16.560.155;120.311.798;1.009.791.140;94.254;126.674.052;1.136.559.447
ITAÚ UNIBANCO S.A.;60701190;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;03/2019;20.146.260;124.720.540;25.738.155;174.684.287;495.546;345.784.788;333.448.976;11.914.437;18.375.939;38.238.273;40.134.807;3.473.401;112.136.858;62.673.748;854.044.370;15.961.532;125.810.937;995.816.838;425.776;90.783.575;1.087.026.189
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;;;81847;b4;1;4;RIO DE JANEIRO;RJ;03/2019;0;0;0;0;9.334.747;9.334.747;57.178.993;0;411.223;2.392.398;13.965.452;0;16.769.073;320.618.758;403.901.570;634.269;344.812.531;749.348.369;0;100.196.504;849.544.874
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER;30379;80185;b1;3;8;SAO PAULO;SP;03/2019;16.222.157;46.211.153;6.144.410;182.815.498;193.042;251.586.260;114.778.258;27.019.839;13.896.688;31.268.181;36.908.247;3.249.140;112.342.095;44.552.557;523.259.171;9.957.037;175.346.185;708.562.393;252.123;75.879.316;784.693.832
BANCO BTG PACTUAL S.A.;30306294;BTG PACTUAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;03/2019;385.733;0;846.094;7.804.389;0;9.036.217;43.425.669;1.829.996;1.483.256;6.684.894;0;180.968;10.179.113;15.551.400;78.192.398;19.535.093;33.830.121;131.557.612;117.266;19.394.621;151.069.499
ITAÚ UNIBANCO HOLDING S.A.;60872504;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;03/2019;0;0;0;0;0;0;0;0;0;0;18.122.749;0;18.122.749;0;18.122.749;34.860;5.397.757;23.555.366;0;119.896.663;143.452.030
BANCO SAFRA S.A.;58160789;SAFRA;10083;80109;b1;2;8;SAO PAULO;SP;03/2019;854.751;2.269.905;13.626.792;13.018.513;8.274;29.778.235;33.466.842;778.974;8.255.818;27.300.932;3.592.810;3.208.833;43.137.366;4.456.300;110.838.743;1.448.845;11.547.308;123.834.896;66.966;12.127.922;136.029.784
BANCO ITAUCARD S.A.;17192451;ITAU;10069;80099;b2;2;8;SAO PAULO;SP;03/2019;232.298;0;33.333.570;0;2.980;33.568.848;1.578.652;0;0;0;0;0;0;122.092;35.269.591;235.104;48.944.707;84.449.402;1.337.307;9.929.974;95.716.683
CIELO S.A.;1027058;;;84710;n4;2;41;BARUERI;SP;03/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;7.192.515;7.192.515;132.603;67.903.761;75.228.878;0;9.040.130;84.269.008
