Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BANCO DO BRASIL S.A.;0;BB;49906;80329;b1;1;1;BRASILIA;DF;06/2016;1.438.390.461;645.523.645;1.365.804.040;1.122.037.737;72.586.421;4.751.915;5.438;1.424
CAIXA ECONOMICA FEDERAL;360305;;;80738;b1;1;6;BRASILIA;DF;06/2016;1.214.034.280;691.578.123;1.188.138.987;1.046.426.588;25.895.293;1.991.846;3.413;835
ITAÚ UNIBANCO S.A.;60701190;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;06/2016;1.120.858.568;228.735.649;1.047.156.241;902.964.424;73.702.327;5.851.740;3.622;930
BANCO BRADESCO S.A.;60746948;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;06/2016;990.813.939;245.405.584;894.456.052;732.476.677;96.357.887;8.255.309;4.503;1.169
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;;;81847;b4;1;4;RIO DE JANEIRO;RJ;06/2016;939.613.054;368.819.835;902.737.104;603.983.895;36.875.950;-2.173.927;4;0
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER;30379;80185;b1;3;8;SAO PAULO;SP;06/2016;719.857.465;179.775.755;657.883.866;506.369.291;61.973.599;2.555.221;2.657;1.195
DIBENS LEASING S.A. ARRENDAMENTO MERCANTIL;65654303;ITAU;10069;80099;n1;2;19;SAO PAULO;SP;06/2016;166.602.823;0;162.338.755;162.106.912;4.264.068;514.850;1;0
HSBC BANK BRASIL S.A. - BANCO MULTIPLO;1701201;HSBC;51152;80525;b1;3;8;CURITIBA;PR;06/2016;142.704.807;54.587.636;134.372.332;105.569.942;8.332.475;-777.421;851;429
ITAÚ UNIBANCO HOLDING S.A.;60872504;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;06/2016;132.497.413;0;18.585.653;12.968.590;113.911.760;8.938.277;1;0
BANCO SAFRA S.A.;58160789;SAFRA;10083;80109;b1;2;8;SAO PAULO;SP;06/2016;128.632.511;29.016.545;119.168.665;104.686.687;9.463.846;830.265;109;5
BANCO BTG PACTUAL S.A.;30306294;BTG PACTUAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;06/2016;118.734.865;7.316.437;97.907.160;56.130.607;20.827.705;2.011.719;7;0
BANCO ITAUCARD S.A.;17192451;ITAU;10069;80099;b2;2;8;SAO PAULO;SP;06/2016;104.217.326;60.741.934;84.184.200;41.376.416;20.033.126;606.361;1;0
BANCO VOTORANTIM S.A.;59588111;VOTORANTIM;51011;80484;b1;2;8;SAO PAULO;SP;06/2016;103.553.354;11.845.119;95.270.936;81.917.918;8.282.418;194.409;14;0
BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL;47509120;BRADESCO;10045;80075;n1;2;19;OSASCO;SP;06/2016;102.402.806;2.384.870;99.234.591;96.023.915;3.168.216;92.306;1;0
SANTANDER LEASING S.A. ARRENDAMENTO MERCANTIL;47193149;SANTANDER;30379;80185;n1;3;19;SAO PAULO;SP;06/2016;91.903.409;2.088.164;86.171.187;84.198.986;5.732.222;176.708;1;0
BANCO CITIBANK S.A.;33479023;CITIBANK;30403;80192;b1;3;8;SAO PAULO;SP;06/2016;79.721.675;19.899.600;74.329.071;48.590.030;5.392.604;227.005;126;16
BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;92702067;BANRISUL;30173;80154;b1;1;8;PORTO ALEGRE;RS;06/2016;66.782.807;29.629.608;60.339.960;52.399.486;6.442.847;389.623;536;205
