Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
BANCO DO BRASIL S.A.;0;BB;49906;80329;b1;1;1;BRASILIA;DF;06/2019;9.653.069;512.789.026;155.359.833;536.442.581;-33.229.328;503.213.252;0;0;0;0;0;185.825.537;77.786.428;52.013.926;1.496.641.072;0;1.496.641.072
CAIXA ECONOMICA FEDERAL;360305;;;80738;b1;1;6;BRASILIA;DF;06/2019;9.543.925;216.896.205;216.076.230;673.527.892;-35.532.433;637.995.459;0;0;0;0;0;82.684.481;137.244.786;13.786.386;1.314.227.472;0;1.314.227.472
BANCO BRADESCO S.A.;60746948;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;06/2019;12.707.370;178.962.201;284.945.991;283.273.522;-24.501.090;258.772.432;0;633;633;0;1.265;142.404.602;95.384.754;187.090.562;1.160.269.178;633;1.160.268.545
ITAÚ UNIBANCO S.A.;60701190;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;06/2019;9.217.791;332.944.921;175.433.062;220.608.242;-15.656.606;204.951.636;76;1.502;1.520;-148;2.950;123.345.680;112.122.294;139.011.615;1.097.029.948;1.520;1.097.028.428
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;;;81847;b4;1;4;RIO DE JANEIRO;RJ;06/2019;252.526;100.474.609;108.721.962;276.729.196;-13.436.599;263.292.597;0;0;0;0;0;24.275.248;197.806.370;115.645.482;810.468.793;0;810.468.793
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER;30379;80185;b1;3;8;SAO PAULO;SP;06/2019;5.853.279;95.578.958;165.437.583;168.816.876;-15.034.763;153.782.112;0;21.972;21.972;0;43.945;209.356.206;87.733.263;89.391.230;807.176.575;21.972;807.154.603
BANCO BTG PACTUAL S.A.;30306294;BTG PACTUAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;06/2019;684.198;50.900.499;42.852.554;10.720.242;-765.151;9.955.091;0;0;0;0;0;34.159.622;2.295.877;15.693.064;156.540.905;0;156.540.905
BANCO SAFRA S.A.;58160789;SAFRA;10083;80109;b1;2;8;SAO PAULO;SP;06/2019;310.577;57.907.158;17.907.394;40.479.789;-1.821.954;38.657.835;0;0;0;0;0;9.651.217;12.673.282;10.090.437;147.197.899;0;147.197.899
ITAÚ UNIBANCO HOLDING S.A.;60872504;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;06/2019;2;3.454.683;6.770.089;0;0;0;0;0;0;0;0;5.940.868;11.356;122.366.216;138.543.215;0;138.543.215
BANCO ITAUCARD S.A.;17192451;ITAU;10069;80099;b2;2;8;SAO PAULO;SP;06/2019;410.750;2.164.210;7.182.311;29.604.739;-5.078.042;24.526.697;15.459;918.969;726.401;-6.787;1.654.042;56.162.599;275.133;11.171.954;103.547.696;726.401;102.821.295
