Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BANCO DO BRASIL S.A.;0;BB;49906;;b1;1;1;BRASILIA;DF;12/2001;154.807.351;42.074.285;146.059.998;123.755.171;8.747.353;777.906;3.070;1.575
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;;;;b4;1;4;RIO DE JANEIRO;RJ;12/2001;114.693.473;34.704.075;102.490.357;39.072.445;12.203.116;583.356;5;0
CAIXA ECONOMICA FEDERAL;360305;;;;b1;1;6;BRASILIA;DF;12/2001;101.330.651;20.946.301;97.439.182;85.701.145;3.891.470;-293.719;1.694;335
BANCO BRADESCO S.A.;60746948;BRADESCO;10045;;b1;2;8;SAO GONCALO;RJ;12/2001;78.989.231;32.010.568;69.221.284;62.269.803;9.767.946;1.128.029;2.406;446
BANCO ITAU S.A.;60701190;ITAU;10069;;b1;2;8;SAO PAULO;SP;12/2001;66.856.805;19.653.129;58.292.839;47.431.357;8.563.966;1.488.018;1.506;761
UNIBANCO-UNIAO DE BANCOS BRASILEIROS S.A.;33700394;UNIBANCO;10100;;b1;2;8;SAO PAULO;SP;12/2001;43.158.168;17.611.692;37.085.775;33.834.716;6.072.393;541.240;903;570
BANCO ABN AMRO S.A.;33066408;ABN AMRO;10076;;b1;3;8;SAO PAULO;SP;12/2001;32.835.421;12.652.815;27.700.662;15.793.991;5.134.758;132.052;756;705
BANCO DO ESTADO DE SAO PAULO S.A. - BANESPA;61411633;SANTANDER BANESPA;30379;;b1;3;8;SAO PAULO;SP;12/2001;29.019.986;5.350.673;26.027.237;14.415.977;2.992.749;853.689;580;735
BANCO SAFRA S.A.;58160789;SAFRA;10083;;b1;2;8;SAO PAULO;SP;12/2001;27.442.337;7.598.576;25.652.301;20.403.836;1.790.036;227.228;77;9
HSBC BANK BRASIL S.A. - BANCO MULTIPLO;1701201;HSBC;51152;;b1;3;8;CURITIBA;PR;12/2001;22.554.389;6.829.332;21.606.466;16.749.509;947.923;14.870;992;602
BANCO NOSSA CAIXA S.A.;43073394;;;;b1;1;8;SAO PAULO;SP;12/2001;22.167.216;2.948.025;20.812.048;19.248.038;1.355.168;176.478;497;309
BANCO SANTANDER BRASIL S.A.;61472676;SANTANDER BANESPA;30379;;b1;3;8;SAO PAULO;SP;12/2001;19.103.436;4.250.989;17.855.208;13.546.545;1.248.228;-124.061;225;94
BANCO CITIBANK S.A.;33479023;CITIBANK;30403;;b1;3;8;SAO PAULO;SP;12/2001;18.145.848;6.386.195;16.854.777;10.290.347;1.291.071;56.470;52;4
BANCO SUDAMERIS BRASIL S.A.;60942638;SUDAMERIS;31330;;b1;3;8;SAO PAULO;SP;12/2001;17.280.826;6.898.750;15.995.009;13.555.280;1.285.818;123.494;293;64
BANKBOSTON BANCO MULTIPLO S.A.;60394079;BANKBOSTON;30300;;b1;3;8;SAO PAULO;SP;12/2001;15.305.384;4.434.128;13.822.367;10.770.827;1.483.017;282.196;57;10
BANCO DE CREDITO NACIONAL S.A.;60898723;BRADESCO;10045;;b1;2;8;SAO GONCALO;RJ;12/2001;14.512.561;6.376.568;13.248.578;12.248.531;1.263.983;142.823;205;70
