Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k);
;;;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
BANCO DO BRASIL S.A.;0;BB;49906;;b1;1;1;BRASILIA;DF;09/2008;8.516.924;13.220;5.697.712;-127.308;0;589.621;14.690.169;-6.840.186;-3.055.171;-11.230;-24.281;-1.362.442;-11.293.311;3.396.858;1.705.351;673.392;-2.272.711;-1.594.288;-465.694;910.318;882.842;-1.147.260;-1.308.050;2.088.808;15.668;2.104.477;1.043;-238.563;1.866.957;-405.930
BANCO BRADESCO S.A.;60746948;BRADESCO;10045;;b1;2;8;OSASCO;SP;09/2008;6.418.923;0;6.158.838;-2.350.875;2.271.422;477.471;12.975.780;-8.333.707;-2.824.140;0;0;-1.304.431;-12.462.278;513.502;917.920;539.357;-1.445.698;-1.599.310;-168.712;3.375.545;331.551;-1.847.549;103.103;616.605;-2.269;614.336;1.295.899;0;1.910.235;-496.592
BANCO ITAÚ S.A.;60701190;ITAU;10069;;b1;2;8;SAO PAULO;SP;09/2008;3.786.282;423.022;7.103.062;-1.681.865;385.194;343.435;10.359.129;-9.254.064;-736.082;-309.896;0;-475.997;-10.776.039;-416.911;615.643;531.347;-732.936;-1.429.942;-135.595;1.579.478;433.213;-858.741;2.466;-414.444;18.287;-396.158;950.962;-191.120;363.684;-95.587
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;;;;b4;1;4;RIO DE JANEIRO;RJ;09/2008;8.905.100;0;479.679;455.446;16.315;0;9.856.540;-409.768;-7.614.819;0;0;-124.225;-8.148.812;1.707.728;16.241;0;-144.367;-33.782;-83.634;490.517;124.259;-660.565;-291.331;1.416.397;-680;1.415.717;-427.659;-18;988.040;0
CAIXA ECONOMICA FEDERAL;360305;;;;b1;1;6;BRASILIA;DF;09/2008;2.847.598;0;4.657.091;-258.606;4.569;1.202.948;8.453.601;-4.176.349;-647.888;0;0;-565.498;-5.389.735;3.063.866;1.746.466;142.079;-2.111.293;-1.109.070;-279.476;43.689;495.089;-1.267.637;-2.340.153;723.713;140.916;864.629;-103.505;-38.577;722.547;-154.309
BANCO ABN AMRO REAL S.A.;33066408;SANTANDER;30379;;b1;3;8;SAO PAULO;SP;09/2008;4.440.718;0;2.549.440;-552.631;225.034;230.237;6.892.798;-4.451.966;-850.454;0;0;-773.755;-6.076.174;816.623;365.388;275.954;-682.521;-1.014.515;-246.795;754.661;177.732;-1.251.642;-1.621.737;-805.114;-28.187;-833.301;528.228;-97.443;-402.516;0
UNIBANCO-UNIAO DE BANCOS BRASILEIROS S.A.;33700394;UNIBANCO;10100;;b1;2;8;SAO PAULO;SP;09/2008;3.175.956;26.177;2.906.638;-1.265.327;509.608;162.179;5.515.231;-5.026.601;-797.336;0;0;-255.266;-6.079.202;-563.972;221.962;244.998;-542.021;-465.918;-31.031;1.219.117;396.681;-381.413;662.375;98.404;-7.161;91.243;701.209;-88.916;703.536;-275.207
BANCO SANTANDER S.A.;90400888;SANTANDER;30379;;b1;3;8;SAO PAULO;SP;09/2008;2.992.842;62.404;1.301.130;170.462;551.274;154.813;5.232.925;-2.949.744;-674.991;-49.386;0;-741.985;-4.416.106;816.819;729.925;160.656;-471.705;-650.208;-207.367;360.477;879.054;-1.178.590;-377.758;439.061;6.785;445.847;153.342;-101.040;498.149;0
BANCO ITAÚ BBA S.A.;17298092;ITAU;10069;;b1;2;8;SAO PAULO;SP;09/2008;1.426.862;147.635;2.429.115;-452.467;563.497;6.789;4.121.431;-3.383.389;-1.223.122;-107.982;0;-74.219;-4.788.712;-667.281;85.144;12.306;-68.690;-100.467;-48.565;793.341;23.703;-181.339;515.435;-151.846;439;-151.407;423.405;-56.755;215.243;-92.500
HSBC BANK BRASIL S.A. - BANCO MULTIPLO;1701201;HSBC;51152;;b1;3;8;CURITIBA;PR;09/2008;2.227.911;569.631;1.064.939;-19.833;0;147.797;3.990.445;-1.789.709;-255.632;-422.322;-137.163;-622.862;-3.227.688;762.756;364.464;163.127;-450.890;-784.120;-118.221;210.239;219.478;-203.117;-599.041;163.715;-15.113;148.603;134.580;-72.960;210.223;-156.000
BANCO FINASA BMC S.A.;7207996;BRADESCO;10045;;b1;2;8;OSASCO;SP;09/2008;1.284.484;1.594.768;390.572;-20.272;0;0;3.249.552;-973.479;1;-1.192.279;0;-426.722;-2.592.481;657.071;19.163;1.579;-25.513;-95.247;-10.508;24.699;119.139;-366.932;-333.620;323.451;-47.807;275.644;-90.033;0;185.611;0
BANCO VOTORANTIM S.A.;59588111;VOTORANTIM;51011;;b1;2;8;SAO PAULO;SP;09/2008;1.380.432;0;2.419.661;-850.901;173.367;43.714;3.166.272;-2.449.364;-700.419;0;0;-55.292;-3.205.075;-38.804;31.834;277;-44.947;-38.535;-5.867;312.961;94.047;-244.482;105.289;66.485;29;66.514;108.658;-2.541;172.631;0
BANCO ITAULEASING S.A.;49925225;ITAU;10069;;b2;2;8;SAO PAULO;SP;09/2008;36.759;2.701.660;198.462;0;0;0;2.936.881;-111.947;-1.226;-2.099.519;0;-144.377;-2.357.069;579.811;8.480;40.604;-2.167;-117.802;-21.557;6.195;27.010;-40.690;-99.927;479.885;90.945;570.830;-212.899;-83;357.848;0
BANCO SAFRA S.A.;58160789;SAFRA;10083;;b1;2;8;SAO PAULO;SP;09/2008;1.129.706;158.937;978.578;-164.788;410.909;25.336;2.538.678;-1.637.562;-535.669;-117.700;0;-47.829;-2.338.760;199.918;40.617;19.419;-172.757;-151.768;-5.074;356.736;154.697;-74.845;167.026;366.943;3.560;370.504;318.616;0;689.120;0
BANCO ITAUCARD S.A.;17192451;ITAU;10069;;b2;2;8;SAO PAULO;SP;09/2008;753.543;1.588.089;4.811;0;0;0;2.346.443;-233.810;-5.387;-1.268.043;0;-334.280;-1.841.519;504.924;660.978;37.306;-6.363;-601.641;-84.437;292.602;130.951;-286.187;143.208;648.132;59.617;707.749;-147.124;-561;560.064;0
BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL;47509120;BRADESCO;10045;;n1;2;19;OSASCO;SP;09/2008;4.265;1.142.804;1.196.955;0;0;0;2.344.023;-1.304.269;-13.633;-855.515;0;-55.706;-2.229.123;114.900;6.253;0;0;-5.405;-10.948;1.042;203.312;-14.995;179.261;294.161;17.915;312.076;-106.318;0;205.759;0
BFB LEASING S.A. ARRENDAMENTO MERCANTIL;43425008;ITAU;10069;;n1;2;19;SAO PAULO;SP;09/2008;0;906.381;1.247.057;0;0;0;2.153.438;-1.353.969;0;-687.543;0;-13.170;-2.054.682;98.756;8.485;33.038;-34;-25.283;-1.066;135.669;6.403;-4.867;152.345;251.100;12.834;263.935;-49.834;0;214.101;0
