Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
BANCO DO BRASIL S.A.;0;BB;49906;80329;b1;1;1;BRASILIA;DF;03/2014;64.937.703;144.111.158;6.138.848;209.375.029;7.117.325;431.680.063;271.245.432;8.057.405;87.749.921;2.344.732;0;2.412;98.154.471;134.095.579;935.175.544;24.951.009;154.776.278;1.114.902.831;316.624;71.464.555;1.186.684.010
ITAÚ UNIBANCO S.A.;60701190;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;03/2014;17.655.646;103.609.331;167.044.679;64.011.576;569.058;352.890.291;341.677.489;8.588.667;7.355.187;23.577.755;30.651.124;839.138;71.011.870;71.683.017;837.262.667;8.832.804;97.801.053;943.896.524;175.647;46.668.113;990.740.284
CAIXA ECONOMICA FEDERAL;360305;;;80738;b1;1;6;BRASILIA;DF;03/2014;24.310.490;214.614.189;3.394.763;122.177.665;10.360.260;374.857.368;136.886.164;58.931.788;0;28.466.851;6.245.340;3.119.281;96.763.260;168.601.295;777.108.088;165.944;106.229.122;883.503.154;0;26.686.870;910.190.024
BANCO BRADESCO S.A.;60746948;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;03/2014;37.746.436;82.098.296;115.569.636;70.716.441;73.389;306.204.198;283.927.364;7.023.452;4.643.358;48.209.686;1.131.729;760.636;61.768.861;87.133.932;739.034.354;2.067.007;72.957.755;814.059.116;23.541;73.325.996;887.408.654
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;;;81847;b4;1;4;RIO DE JANEIRO;RJ;03/2014;0;0;50.000;0;18.827.030;18.877.030;7.107.685;0;273.752;0;17.192.824;0;17.466.576;437.674.482;481.125.773;329.470;244.347.009;725.802.253;0;39.640.735;765.442.987
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER;30379;80185;b1;3;8;SAO PAULO;SP;03/2014;14.385.725;35.023.334;29.305.233;77.312.065;137.997;156.164.354;103.628.173;18.892.638;1.740.185;27.903.274;16.520.654;79;65.056.830;17.298.040;342.147.397;2.839.732;106.173.928;451.161.056;301.185;57.209.853;508.672.095
DIBENS LEASING S.A. ARRENDAMENTO MERCANTIL;65654303;ITAU;10069;80099;n1;2;19;SAO PAULO;SP;03/2014;0;0;0;0;0;0;0;0;0;0;0;143.196.155;143.196.155;6.843;143.202.998;0;307.509;143.510.507;0;24.064.831;167.575.338
HSBC BANK BRASIL S.A. - BANCO MULTIPLO;1701201;HSBC;51152;80525;b1;3;8;CURITIBA;PR;03/2014;11.678.081;7.252.571;3.233.335;36.197.699;221.913;58.583.599;7.085.902;3.526.332;1.544.986;26.297.265;1.147.071;0;32.515.654;7.323.699;105.508.854;5.870.611;41.748.986;153.128.452;0;9.977.714;163.106.165
BANCO ITAUCARD S.A.;17192451;ITAU;10069;80099;b2;2;8;SAO PAULO;SP;03/2014;733;0;83.512.219;0;0;83.512.952;0;0;0;0;286.647;0;286.647;181.791;83.981.390;181.162;41.989.500;126.152.052;617.672;18.377.641;145.147.365
BANCO SAFRA S.A.;58160789;SAFRA;10083;80109;b1;2;8;SAO PAULO;SP;03/2014;670.358;1.524.789;9.913.042;3.024.799;268;15.133.257;58.212.239;2.032.439;3.118.725;13.206.317;2.365.439;265.063;20.987.984;4.390.182;98.723.661;6.179.740;9.444.004;114.347.405;29.221;7.832.394;122.209.020
