Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
BANCO DO BRASIL S.A.;0;BB;49906;80329;b1;1;1;BRASILIA;DF;03/2017;10.087.206;414.557.392;126.853.374;554.979.220;-34.398.531;520.580.689;0;0;0;0;0;175.084.926;70.372.890;49.013.282;1.366.549.758;0;1.366.549.758
CAIXA ECONOMICA FEDERAL;360305;;;80738;b1;1;6;BRASILIA;DF;03/2017;9.056.963;169.377.355;182.038.664;702.270.046;-34.581.024;667.689.022;0;0;0;0;0;80.379.514;159.747.706;13.772.185;1.282.061.411;0;1.282.061.411
ITAÚ UNIBANCO S.A.;60701190;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;03/2017;6.197.015;326.951.558;295.737.417;219.534.183;-22.020.206;197.513.977;1.403;29.916;24.710;-1.878;54.150;82.651.120;89.131.254;123.669.694;1.121.906.184;24.710;1.121.881.475
BANCO BRADESCO S.A.;60746948;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;03/2017;10.149.570;250.074.955;282.141.980;257.978.352;-27.767.882;230.210.471;18;18.808;18.637;-149;37.314;101.326.918;66.616.079;155.328.192;1.095.885.478;18.637;1.095.866.841
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;;;81847;b4;1;4;RIO DE JANEIRO;RJ;03/2017;2.972;61.697.848;109.886.518;333.176.591;-14.286.408;318.890.184;0;0;0;0;0;21.591.698;265.812.999;88.178.387;866.060.606;0;866.060.606
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER;30379;80185;b1;3;8;SAO PAULO;SP;03/2017;4.797.538;78.315.580;202.928.881;150.882.672;-13.906.763;136.975.909;1;26.864;26.860;-1;53.724;205.018.341;65.923.787;63.141.729;757.155.489;26.860;757.128.629
DIBENS LEASING S.A. ARRENDAMENTO MERCANTIL;65654303;ITAU;10069;80099;n1;2;19;SAO PAULO;SP;03/2017;66;141.118.147;16.950;0;0;0;0;0;0;0;0;307.082;137;2.207.631;143.650.014;0;143.650.014
BANCO SAFRA S.A.;58160789;SAFRA;10083;80109;b1;2;8;SAO PAULO;SP;03/2017;215.550;48.574.632;43.797.294;27.982.961;-2.188.294;25.794.667;0;0;0;0;0;10.329.422;1.922.381;7.657.495;138.291.441;0;138.291.441
ITAÚ UNIBANCO HOLDING S.A.;60872504;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;03/2017;23.798;37.477.622;8.979;0;0;0;0;0;0;0;0;4.864.244;15.665;94.326.080;136.716.389;0;136.716.389
BANCO BTG PACTUAL S.A.;30306294;BTG PACTUAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;03/2017;274.812;27.215.006;43.638.563;7.457.322;-962.627;6.494.695;0;0;0;0;0;27.654.768;1.991.070;20.400.844;127.669.756;0;127.669.756
BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL;47509120;BRADESCO;10045;80075;n1;2;19;OSASCO;SP;03/2017;4.677;22.102.575;75.298.109;0;0;0;41.595;4.167.131;1.737.892;-158.062;5.788.557;1.094.680;27.021;62.255;104.377.874;1.737.892;102.639.982
BANCO VOTORANTIM S.A.;59588111;VOTORANTIM;51011;80484;b1;2;8;SAO PAULO;SP;03/2017;99.426;39.854.587;39.465.086;9.627.935;-714.856;8.913.078;0;0;0;0;0;6.323.336;263.242;5.054.685;99.973.440;0;99.973.440
BANCO ITAUCARD S.A.;17192451;ITAU;10069;80099;b2;2;8;SAO PAULO;SP;03/2017;349.561;11.416;17.995.740;23.208.341;-4.463.682;18.744.659;11.661;4.128.071;2.639.853;-72.851;6.706.735;46.495.617;655.470;9.934.180;100.893.378;2.639.853;98.253.525
BANCO CITIBANK S.A.;33479023;CITIBANK;30403;80192;b1;3;8;SAO PAULO;SP;03/2017;562.915;10.735.890;24.871.137;13.900.067;-1.026.511;12.873.556;0;0;0;0;0;21.692.993;5.447.268;982.951;77.166.710;0;77.166.710
