Instituição financeira;Código;TCB;TD;TC;Segmento;Cidade;UF;Data;Exportações;;Importações;;Total Primário Comercial;;Transferências do Exterior;;Transferências para o Exterior;;Total Primário Financeiro;;Total Primário;;Interbancário Compra;;Interbancário Venda;;Total Interbancário;;Total;;
;;;;;;;;;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor Total;
SANTANDER;30.379;b1;C;3;199;SAO PAULO;SP;06/2016;14.062;7.621.622;56.816;5.434.498;70.878;13.056.120;54.789;13.072.351;88.981;13.647.298;143.770;26.719.649;214.648;39.775.769;2.124;24.418.254;2.046;23.687.300;4.170;48.105.554;218.818;87.881.323
CITIBANK;30.403;b1;C;3;199;SAO PAULO;SP;06/2016;4.928;2.893.667;19.265;4.122.292;24.193;7.015.960;26.576;18.801.642;42.834;21.941.319;69.410;40.742.961;93.603;47.758.921;835;9.264.494;811;6.084.717;1.646;15.349.211;95.249;63.108.132
BRADESCO;10.045;b1;C;2;199;OSASCO;SP;06/2016;16.809;8.888.928;33.680;4.899.728;50.489;13.788.656;77.621;7.143.060;45.685;13.790.214;123.306;20.933.275;173.795;34.721.930;1.968;10.369.138;1.895;8.932.014;3.863;19.301.152;177.658;54.023.082
SOCIETE GENERALE;31.859;b1;C;3;199;SAO PAULO;SP;06/2016;98;111.911;551;63.225;649;175.136;453;2.198.401;840;2.213.079;1.293;4.411.480;1.942;4.586.615;410;20.720.013;392;20.654.282;802;41.374.295;2.744;45.960.911
ITAU;10.069;b1;C;2;199;SAO PAULO;SP;06/2016;21.755;3.871.506;48.058;3.596.770;69.813;7.468.276;138.786;10.222.284;90.991;14.930.116;229.777;25.152.400;299.590;32.620.676;782;7.663.007;758;5.444.090;1.540;13.107.097;301.130;45.727.773
JP MORGAN CHASE;20.107;b1;C;3;199;SAO PAULO;SP;06/2016;565;1.210.791;6.208;1.590.742;6.773;2.801.533;2.531;12.349.093;4.916;13.545.188;7.447;25.894.281;14.220;28.695.814;671;9.345.017;616;7.501.215;1.287;16.846.232;15.507;45.542.046
BB;49.906;b1;C;1;199;BRASILIA;DF;06/2016;26.603;11.198.487;30.083;4.407.490;56.686;15.605.977;57.660;4.306.542;132.135;7.788.129;189.795;12.094.671;246.481;27.700.648;973;4.271.011;1.003;7.740.385;1.976;12.011.396;248.457;39.712.044
HSBC;51.152;b1;C;3;199;CURITIBA;PR;06/2016;7.132;1.646.442;24.135;2.034.991;31.267;3.681.433;23.881;6.736.368;42.525;7.317.577;66.406;14.053.945;97.673;17.735.378;753;11.284.692;717;8.946.433;1.470;20.231.125;99.143;37.966.503
BNP PARIBAS;51.516;b1;C;3;199;SAO PAULO;SP;06/2016;651;893.664;1.870;415.928;2.521;1.309.591;2.201;6.531.823;3.939;6.214.543;6.140;12.746.366;8.661;14.055.957;881;3.688.025;937;4.563.107;1.818;8.251.132;10.479;22.307.089
BTG PACTUAL;49.944;b1;C;2;199;RIO DE JANEIRO;RJ;06/2016;82;523.190;69;4.690;151;527.880;818;851.921;1.227;908.379;2.045;1.760.300;2.196;2.288.180;285;9.579.473;306;10.046.922;591;19.626.395;2.787;21.914.575
BOFA MERRILL LYNCH;51.255;b1;C;3;199;SAO PAULO;SP;06/2016;464;1.930.561;951;474.542;1.415;2.405.103;1.074;6.028.478;3.438;5.830.495;4.512;11.858.973;5.927;14.264.076;126;3.127.689;144;3.469.773;270;6.597.462;6.197;20.861.538
CREDIT SUISSE;30.771;b1;C;3;199;SAO PAULO;SP;06/2016;6;38.239;0;0;6;38.239;692;2.074.714;661;1.248.312;1.353;3.323.026;1.359;3.361.264;407;7.026.332;550;7.974.476;957;15.000.808;2.316;18.362.073
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60.498.557;b1;I;3;8;SAO PAULO;SP;06/2016;434;203.839;1.264;237.900;1.698;441.739;1.500;1.774.173;1.584;661.699;3.084;2.435.872;4.782;2.877.611;1.450;5.351.814;1.339;6.435.360;2.789;11.787.174;7.571;14.664.785
DEUTSCHE;51.183;b1;C;3;199;SAO PAULO;SP;06/2016;489;1.101.010;2.539;605.582;3.028;1.706.592;1.070;2.495.680;3.208;2.274.686;4.278;4.770.367;7.306;6.476.959;186;3.447.351;187;4.565.993;373;8.013.344;7.679;14.490.302
Banco Central do Brasil;38.166;;;;0;BRASILIA;DF;06/2016;0;0;0;0;0;0;25;63.235;0;0;25;63.235;25;63.235;21;7.190.000;21;7.190.000;42;14.380.000;67;14.443.235
GOLDMAN SACHS;51.585;b2;C;3;198;SAO PAULO;SP;06/2016;0;0;0;0;0;0;778;2.579.402;646;2.732.428;1.424;5.311.831;1.424;5.311.831;85;2.806.561;80;2.694.428;165;5.500.990;1.589;10.812.820
VOTORANTIM;51.011;b1;C;2;199;SAO PAULO;SP;06/2016;396;1.043.436;2.810;463.288;3.206;1.506.725;877;1.233.374;3.353;1.539.247;4.230;2.772.621;7.436;4.279.346;953;2.534.840;2.137;2.894.514;3.090;5.429.354;10.526;9.708.700
SAFRA;10.083;b1;C;2;199;SAO PAULO;SP;06/2016;549;414.099;2.340;222.613;2.889;636.712;2.438;1.075.965;6.366;751.895;8.804;1.827.860;11.693;2.464.573;507;3.210.451;505;3.713.462;1.012;6.923.913;12.705;9.388.486
MORGAN STANLEY;51.413;b1;C;3;199;SAO PAULO;SP;06/2016;0;0;0;0;0;0;1.399;2.039.705;1.105;2.593.397;2.504;4.633.102;2.504;4.633.102;94;2.061.282;83;1.612.820;177;3.674.102;2.681;8.307.203
SOCOPA;50.328;b1;C;2;199;SAO PAULO;SP;06/2016;411;167.686;1.752;85.065;2.163;252.751;2.557;277.142;6.389;337.034;8.946;614.176;11.109;866.927;6.844;1.760.441;32.084;1.790.310;38.928;3.550.750;50.037;4.417.677
STANDARD CHARTERED BANK (BRASIL) S.A. ? BANCO DE INVESTIMENTO;11.932.017;b2;I;3;13;SAO PAULO;SP;06/2016;44;76.864;185;57.621;229;134.485;234;674.630;236;379.991;470;1.054.621;699;1.189.106;364;1.436.151;365;1.747.929;729;3.184.080;1.428;4.373.186
ING;51.073;b1;C;3;199;SAO PAULO;SP;06/2016;108;730.142;15;43.554;123;773.696;35;235.908;254;191.437;289;427.346;412;1.201.042;30;704.514;51;1.465.246;81;2.169.759;493;3.370.802
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;6;BRASILIA;DF;06/2016;856;937.650;643;39.022;1.499;976.672;15.043;326.438;4.261;296.782;19.304;623.220;20.803;1.599.891;323;407.407;436;1.335.328;759;1.742.735;21.562;3.342.627
CCB;32.119;b1;C;3;199;SAO PAULO;SP;06/2016;254;131.978;153;39.712;407;171.690;142;738.114;502;271.912;644;1.010.026;1.051;1.181.716;73;490.307;105;989.512;178;1.479.820;1.229;2.661.536
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60.518.222;b1;I;3;8;SAO PAULO;SP;06/2016;471;146.350;1.374;136.499;1.845;282.849;1.046;779.465;1.476;373.979;2.522;1.153.444;4.367;1.436.292;163;402.386;228;816.443;391;1.218.829;4.758;2.655.121
CREDIT AGRICOLE;51.066;b1;C;3;199;SAO PAULO;SP;06/2016;18;291.268;2;6.248;20;297.515;54;90.855;167;22.629;221;113.484;241;410.999;174;929.591;191;1.296.689;365;2.226.280;606;2.637.279
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;8;SAO PAULO;SP;06/2016;214;740.855;42;22.546;256;763.401;222;467.244;671;458.919;893;926.162;1.149;1.689.563;34;178.475;55;748.704;89;927.179;1.238;2.616.742
BANCO BONSUCESSO S.A.;71.027.866;b1;I;2;8;BELO HORIZONTE;MG;06/2016;18;874;22;4.525;40;5.399;119;17.009;568;20.370;687;37.379;727;42.778;764;1.272.728;1.778;1.255.313;2.542;2.528.042;3.269;2.570.819
CONFIDENCE;51.671;b2;C;2;198;SAO PAULO;SP;06/2016;197;8.949;2.606;108.663;2.803;117.611;3.673;116.282;12.716;329.689;16.389;445.971;19.192;563.582;10.890;1.145.120;26.294;838.652;37.184;1.983.772;56.376;2.547.354
RENDIMENTO;51.468;b1;C;2;199;SAO PAULO;SP;06/2016;144;4.836;642;60.262;786;65.098;59.935;263.617;19.689;429.691;79.624;693.308;80.410;758.407;3.531;893.811;27.630;672.957;31.161;1.566.769;111.571;2.325.175
BEXS;51.743;b2;C;2;198;SAO PAULO;SP;06/2016;107;550.570;258;7.485;365;558.055;778;84.324;3.869;199.210;4.647;283.534;5.012;841.589;1.805;367.843;1.096;797.750;2.901;1.165.593;7.913;2.007.182
OURINVEST;51.901;b2;C;2;198;SAO PAULO;SP;06/2016;165;53.172;1.203;47.187;1.368;100.359;882;71.732;2.496;140.729;3.378;212.460;4.746;312.819;896;772.408;23.160;698.664;24.056;1.471.071;28.802;1.783.891
DAYCOVAL;51.987;b1;C;2;199;SAO PAULO;SP;06/2016;809;84.345;1.068;55.937;1.877;140.283;1.358;54.541;4.993;160.195;6.351;214.736;8.228;355.019;1.338;606.004;3.838;514.672;5.176;1.120.676;13.404;1.475.694
ABC-BRASIL;41.856;b1;C;3;199;SAO PAULO;SP;06/2016;189;70.153;424;28.084;613;98.237;80;234.857;704;162.710;784;397.567;1.397;495.804;109;241.971;138;447.987;247;689.958;1.644;1.185.761
BANCO BARCLAYS S.A.;61.146.577;b1;I;3;8;SAO PAULO;SP;06/2016;0;0;0;0;0;0;68;313.920;85;398.781;153;712.701;153;712.701;47;274.992;45;169.751;92;444.742;245;1.157.444
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;4;RIO DE JANEIRO;RJ;06/2016;152;245.070;0;0;152;245.070;259;93.569;228;296.767;487;390.336;639;635.406;16;250.446;10;268.761;26;519.207;665;1.154.613
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29.030.467;b1;I;3;8;SAO PAULO;SP;06/2016;115;197.585;36;52.122;151;249.707;16;129.180;276;140.212;292;269.392;443;519.099;13;95.022;23;240.026;36;335.048;479;854.146
MIZUHO;51.554;b1;I;3;199;SAO PAULO;SP;06/2016;145;160.390;322;37.658;467;198.047;181;94.306;207;97.504;388;191.810;855;389.857;230;160.279;244;280.260;474;440.538;1.329;830.395
